Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Afghanistan,Baghlan,Firing Wa Gharu,AFG,AF0915,AF09,January,2017,0,0
Afghanistan,Paktia,Sayyid Karam,AFG,AF1306,AF13,January,2017,2,0
Afghanistan,Khost,Baak,AFG,AF1409,AF14,January,2017,0,0
Afghanistan,Nangarhar,Khugyani,AFG,AF0608,AF06,January,2017,6,0
Afghanistan,Zabul,Shinkai,AFG,AF2603,AF26,January,2017,2,1
Afghanistan,Takhar,Namak Ab,AFG,AF1806,AF18,January,2017,0,0
Afghanistan,Nangarhar,Shinwar,AFG,AF0616,AF06,January,2017,6,9
Afghanistan,Balkh,Khulm,AFG,AF2110,AF21,January,2017,2,2
Afghanistan,Takhar,Rustaq,AFG,AF1810,AF18,January,2017,1,4
Afghanistan,Faryab,Gurziwan,AFG,AF2908,AF29,January,2017,0,0
Afghanistan,Takhar,Hazar Sumuch,AFG,AF1802,AF18,January,2017,0,0
Afghanistan,Nangarhar,Kama,AFG,AF0605,AF06,January,2017,2,1
Afghanistan,Daykundi,Gizab,AFG,AF2507,AF25,January,2017,2,0
Afghanistan,Khost,Sabari,AFG,AF1407,AF14,January,2017,4,4
Afghanistan,Kabul,Musahi,AFG,AF0107,AF01,January,2017,0,0
Afghanistan,Kunar,Noorgal,AFG,AF1514,AF15,January,2017,1,0
Afghanistan,Nuristan,Kamdesh,AFG,AF1606,AF16,January,2017,2,1
Afghanistan,Sar-e Pol,Sozma Qala,AFG,AF2204,AF22,January,2017,2,0
Afghanistan,Zabul,Tarang Wa Jaldak,AFG,AF2602,AF26,January,2017,4,2
Afghanistan,Ghazni,Malistan,AFG,AF1116,AF11,January,2017,0,0
Afghanistan,Logar,Baraki Barak,AFG,AF0502,AF05,January,2017,5,14
Afghanistan,Baghlan,Khwaja Hejran,AFG,AF0909,AF09,January,2017,0,0
Afghanistan,Badakhshan,Maimay,AFG,AF1722,AF17,January,2017,1,16
Afghanistan,Kunar,Khas Kunar,AFG,AF1510,AF15,January,2017,0,0
Afghanistan,Kabul,Chahar Asyab,AFG,AF0103,AF01,January,2017,0,0
Afghanistan,Takhar,Dashti Qala,AFG,AF1812,AF18,January,2017,0,0
Afghanistan,Baghlan,Dahana-e-Ghuri,AFG,AF0902,AF09,January,2017,0,0
Afghanistan,Baghlan,Andarab,AFG,AF0907,AF09,January,2017,2,7
Afghanistan,Wardak,Jaghatu,AFG,AF0408,AF04,January,2017,0,0
Afghanistan,Farah,Lash-i-Juwayn,AFG,AF3309,AF33,January,2017,0,0
Afghanistan,Farah,Anar Dara,AFG,AF3307,AF33,January,2017,0,0
Afghanistan,Faryab,Shirin Tagab,AFG,AF2906,AF29,January,2017,4,0
Afghanistan,Ghor,Char Sada,AFG,AF2304,AF23,January,2017,0,0
Afghanistan,Bamyan,Saighan,AFG,AF1003,AF10,January,2017,0,0
Afghanistan,Herat,Zendahjan,AFG,AF3205,AF32,January,2017,0,0
Afghanistan,Ghazni,Ajristan,AFG,AF1118,AF11,January,2017,0,0
Afghanistan,Paktika,Urgoon,AFG,AF1211,AF12,January,2017,0,0
Afghanistan,Zabul,Naw Bahar,AFG,AF2609,AF26,January,2017,1,0
Afghanistan,Paktia,Gardez,AFG,AF1301,AF13,January,2017,6,1
Afghanistan,Badghis,Ghormach,AFG,AF3107,AF31,January,2017,7,93
Afghanistan,Urozgan,Khas Urozgan,AFG,AF2505,AF25,January,2017,0,0
Afghanistan,Paktika,Turwo,AFG,AF1219,AF12,January,2017,0,0
Afghanistan,Badakhshan,Kiran Wa Menjan,AFG,AF1726,AF17,January,2017,0,0
Afghanistan,Faryab,Dawlat Abad,AFG,AF2909,AF29,January,2017,3,0
Afghanistan,Baghlan,Gozargah-e-Noor,AFG,AF0914,AF09,January,2017,0,0
Afghanistan,Badakhshan,Jurm,AFG,AF1710,AF17,January,2017,1,4
Afghanistan,Badakhshan,Yaftal-e-Sufla,AFG,AF1704,AF17,January,2017,1,3
Afghanistan,Ghor,Duleena,AFG,AF2302,AF23,January,2017,0,0
Afghanistan,Badakhshan,Arghanj Khwah,AFG,AF1703,AF17,January,2017,1,7
Afghanistan,Samangan,Darah-e-Noor,AFG,AF2006,AF20,January,2017,0,0
Afghanistan,Panjshir,Rukha,AFG,AF0802,AF08,January,2017,0,0
Afghanistan,Kapisa,Hissa-e-Awali Kohistan,AFG,AF0204,AF02,January,2017,0,0
Afghanistan,Farah,Pur Chaman,AFG,AF3311,AF33,January,2017,1,0
Afghanistan,Jowzjan,Darzab,AFG,AF2811,AF28,January,2017,0,0
