Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Afghanistan,Baghlan,Firing Wa Gharu,AFG,AF0915,AF09,January,2017,0,0,36.148827,69.6841881
Afghanistan,Paktia,Sayyid Karam,AFG,AF1306,AF13,January,2017,2,0,33.712446,69.479727
Afghanistan,Khost,Baak,AFG,AF1409,AF14,January,2017,0,0,33.4014634,69.8912294
Afghanistan,Nangarhar,Khugyani,AFG,AF0608,AF06,January,2017,6,0,34.231504,70.149404
Afghanistan,Zabul,Shinkai,AFG,AF2603,AF26,January,2017,2,1,31.919989,67.156133
Afghanistan,Takhar,Namak Ab,AFG,AF1806,AF18,January,2017,0,0,36.471508,69.714649
Afghanistan,Nangarhar,Shinwar,AFG,AF0616,AF06,January,2017,6,9,34.187246,70.8416474
Afghanistan,Balkh,Khulm,AFG,AF2110,AF21,January,2017,2,2,36.814534,67.743267
Afghanistan,Takhar,Rustaq,AFG,AF1810,AF18,January,2017,1,4,37.106203,69.817278
Afghanistan,Faryab,Gurziwan,AFG,AF2908,AF29,January,2017,0,0,35.632357,65.283014
Afghanistan,Takhar,Hazar Sumuch,AFG,AF1802,AF18,January,2017,0,0,36.92633,69.569672
Afghanistan,Nangarhar,Kama,AFG,AF0605,AF06,January,2017,2,1,34.443008,70.656249
Afghanistan,Daykundi,Gizab,AFG,AF2507,AF25,January,2017,2,0,33.3670995,66.3577048
Afghanistan,Khost,Sabari,AFG,AF1407,AF14,January,2017,4,4,33.543516,69.9118
Afghanistan,Kabul,Musahi,AFG,AF0107,AF01,January,2017,0,0,34.369083,69.218387
Afghanistan,Kunar,Noorgal,AFG,AF1514,AF15,January,2017,1,0,34.95,71.133333
Afghanistan,Nuristan,Kamdesh,AFG,AF1606,AF16,January,2017,2,1,35.483273,71.314533
Afghanistan,Sar-e Pol,Sozma Qala,AFG,AF2204,AF22,January,2017,2,0,36.020002,66.23298
Afghanistan,Zabul,Tarang Wa Jaldak,AFG,AF2602,AF26,January,2017,4,2,32.3068942,67.129904
Afghanistan,Ghazni,Malistan,AFG,AF1116,AF11,January,2017,0,0,33.298364,67.243225
Afghanistan,Logar,Baraki Barak,AFG,AF0502,AF05,January,2017,5,14,33.929914,68.885233
Afghanistan,Baghlan,Khwaja Hejran,AFG,AF0909,AF09,January,2017,0,0,35.75,69.0
Afghanistan,Badakhshan,Maimay,AFG,AF1722,AF17,January,2017,1,16,36.8040254,71.367658
Afghanistan,Kunar,Khas Kunar,AFG,AF1510,AF15,January,2017,0,0,34.612865,70.938538
Afghanistan,Kabul,Chahar Asyab,AFG,AF0103,AF01,January,2017,0,0,34.387098,69.072739
Afghanistan,Takhar,Dashti Qala,AFG,AF1812,AF18,January,2017,0,0,37.2212227,69.4949973
Afghanistan,Baghlan,Dahana-e-Ghuri,AFG,AF0902,AF09,January,2017,0,0,35.906168,68.488694
Afghanistan,Baghlan,Andarab,AFG,AF0907,AF09,January,2017,2,7,35.624049,69.178607
Afghanistan,Wardak,Jaghatu,AFG,AF0408,AF04,January,2017,0,0,33.837467,68.355693
Afghanistan,Farah,Lash-i-Juwayn,AFG,AF3309,AF33,January,2017,0,0,31.7399258,61.6342725
Afghanistan,Farah,Anar Dara,AFG,AF3307,AF33,January,2017,0,0,33.011189,61.249004
Afghanistan,Faryab,Shirin Tagab,AFG,AF2906,AF29,January,2017,4,0,36.2585766,64.8250232
Afghanistan,Ghor,Char Sada,AFG,AF2304,AF23,January,2017,0,0,34.1605257,64.9201949
Afghanistan,Bamyan,Saighan,AFG,AF1003,AF10,January,2017,0,0,35.1147399,67.6217585
Afghanistan,Herat,Zendahjan,AFG,AF3205,AF32,January,2017,0,0,34.1577182,62.2905676
Afghanistan,Ghazni,Ajristan,AFG,AF1118,AF11,January,2017,0,0,33.515731,67.108855
Afghanistan,Paktika,Urgoon,AFG,AF1211,AF12,January,2017,0,0,32.3936231,68.7036514
Afghanistan,Zabul,Naw Bahar,AFG,AF2609,AF26,January,2017,1,0,32.217184,67.570728
Afghanistan,Paktia,Gardez,AFG,AF1301,AF13,January,2017,6,1,33.5877097,69.2685645
Afghanistan,Badghis,Ghormach,AFG,AF3107,AF31,January,2017,7,93,35.7027513,63.7598713
Afghanistan,Urozgan,Khas Urozgan,AFG,AF2505,AF25,January,2017,0,0,32.996739,66.693591
Afghanistan,Paktika,Turwo,AFG,AF1219,AF12,January,2017,0,0,31.906198,68.313666
Afghanistan,Badakhshan,Kiran Wa Menjan,AFG,AF1726,AF17,January,2017,0,0,36.028663,70.772575
Afghanistan,Faryab,Dawlat Abad,AFG,AF2909,AF29,January,2017,3,0,36.5268933,65.0327823
Afghanistan,Baghlan,Gozargah-e-Noor,AFG,AF0914,AF09,January,2017,0,0,35.75,69.0
Afghanistan,Badakhshan,Jurm,AFG,AF1710,AF17,January,2017,1,4,36.740047,70.906355
Afghanistan,Badakhshan,Yaftal-e-Sufla,AFG,AF1704,AF17,January,2017,1,3,37.311981,70.37097
Afghanistan,Ghor,Duleena,AFG,AF2302,AF23,January,2017,0,0,34.1605257,64.9201949
Afghanistan,Badakhshan,Arghanj Khwah,AFG,AF1703,AF17,January,2017,1,7,37.266237,70.821473
Afghanistan,Samangan,Darah-e-Noor,AFG,AF2006,AF20,January,2017,0,0,36.0,67.666667
Afghanistan,Panjshir,Rukha,AFG,AF0802,AF08,January,2017,0,0,35.4338536,69.7930899
