Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Cameroon,Est,Haut-Nyong,CMR,CM003002,CM00,January,1997,0,0
Cameroon,Sud,Mvila,CMR,CM009002,CM00,January,1997,0,0
Cameroon,Sud-Ouest,Lebialem,CMR,CM010003,CM01,January,1997,0,0
Cameroon,Adamaoua,Mayo-Banyo,CMR,CM001003,CM00,January,1997,0,0
Cameroon,Centre,Mbam-et-Kim,CMR,CM002004,CM00,January,1997,0,0
Cameroon,Sud-Ouest,Ndian,CMR,CM010006,CM01,January,1997,0,0
Cameroon,Sud-Ouest,Kupe-Manenguba,CMR,CM010002,CM01,January,1997,0,0
Cameroon,Nord,Benoue,CMR,CM006001,CM00,January,1997,0,0
Cameroon,Nord,Mayo-Louti,CMR,CM006003,CM00,January,1997,0,0
Cameroon,Centre,Mefou-et-Afamba,CMR,CM002005,CM00,January,1997,0,0
Cameroon,Littoral,Nkam,CMR,CM005002,CM00,January,1997,0,0
Cameroon,Nord,Faro,CMR,CM006002,CM00,January,1997,0,0
Cameroon,Est,Boumba-et-Ngoko,CMR,CM003001,CM00,January,1997,0,0
Cameroon,Ouest,Menoua,CMR,CM008005,CM00,January,1997,0,0
Cameroon,Centre,Mbam-et-Inoubou,CMR,CM002003,CM00,January,1997,0,0
Cameroon,Ouest,Mifi,CMR,CM008006,CM00,January,1997,0,0
Cameroon,Nord-Ouest,Donga-Mantung,CMR,CM007003,CM00,January,1997,0,0
Cameroon,Nord-Ouest,Bui,CMR,CM007002,CM00,January,1997,0,0
Cameroon,Extreme-Nord,Mayo-Tsanaga,CMR,CM004006,CM00,January,1997,0,0
Cameroon,Centre,Nyong-et-So'o,CMR,CM002010,CM00,January,1997,0,0
Cameroon,Adamaoua,Djerem,CMR,CM001001,CM00,January,1997,0,0
Cameroon,Centre,Mefou-et-Akono,CMR,CM002006,CM00,January,1997,0,0
Cameroon,Centre,Nyong-et-Mfoumou,CMR,CM002009,CM00,January,1997,0,0
Cameroon,Est,Kadey,CMR,CM003003,CM00,January,1997,0,0
Cameroon,Sud-Ouest,Manyu,CMR,CM010004,CM01,January,1997,0,0
Cameroon,Ouest,Bamboutos,CMR,CM008001,CM00,January,1997,0,0
Cameroon,Nord-Ouest,Ngo-Ketunjia,CMR,CM007007,CM00,January,1997,0,0
Cameroon,Adamaoua,Faro-et-Deo,CMR,CM001002,CM00,January,1997,0,0
Cameroon,Sud,Vallee-du-Ntem,CMR,CM009004,CM00,January,1997,0,0
Cameroon,Extreme-Nord,Mayo-Kani,CMR,CM004004,CM00,January,1997,0,0
Cameroon,Nord-Ouest,Menchum,CMR,CM007004,CM00,January,1997,0,0
Cameroon,Littoral,Wouri,CMR,CM005004,CM00,January,1997,0,0
Cameroon,Littoral,Moungo,CMR,CM005001,CM00,January,1997,0,0
Cameroon,Nord-Ouest,Mezam,CMR,CM007005,CM00,January,1997,0,0
Cameroon,Adamaoua,Mbere,CMR,CM001004,CM00,January,1997,0,0
Cameroon,Extreme-Nord,Logone-et-Chari,CMR,CM004002,CM00,January,1997,0,0
Cameroon,Nord,Mayo-Rey,CMR,CM006004,CM00,January,1997,0,0
Cameroon,Ouest,Nde,CMR,CM008007,CM00,January,1997,0,0
Cameroon,Sud-Ouest,Fako,CMR,CM010001,CM01,January,1997,0,0
Cameroon,Extreme-Nord,Mayo-Sava,CMR,CM004005,CM00,January,1997,0,0
Cameroon,Ouest,Koung-Khi,CMR,CM008004,CM00,January,1997,0,0
Cameroon,Centre,Lekie,CMR,CM002002,CM00,January,1997,0,0
Cameroon,Littoral,Sanaga-Maritime,CMR,CM005003,CM00,January,1997,0,0
Cameroon,Est,Lom-et-Djerem,CMR,CM003004,CM00,January,1997,0,0
Cameroon,Ouest,Haut-Nkam,CMR,CM008002,CM00,January,1997,0,0
Cameroon,Sud,Dja-et-Lobo,CMR,CM009001,CM00,January,1997,0,0
Cameroon,Extreme-Nord,Mayo-Danay,CMR,CM004003,CM00,January,1997,0,0
Cameroon,Extreme-Nord,Diamare,CMR,CM004001,CM00,January,1997,0,0
Cameroon,Sud,Ocean,CMR,CM009003,CM00,January,1997,0,0
Cameroon,Sud-Ouest,Meme,CMR,CM010005,CM01,January,1997,0,0
Cameroon,Nord-Ouest,Boyo,CMR,CM007001,CM00,January,1997,0,0
Cameroon,Adamaoua,Vina,CMR,CM001005,CM00,January,1997,0,0
Cameroon,Ouest,Hauts-Plateaux,CMR,CM008003,CM00,January,1997,0,0
Cameroon,Centre,Mfoundi,CMR,CM002007,CM00,January,1997,0,0
Cameroon,Nord-Ouest,Momo,CMR,CM007006,CM00,January,1997,0,0
Cameroon,Centre,Nyong-et-Kelle,CMR,CM002008,CM00,January,1997,0,0
Cameroon,Centre,Haute-Sanaga,CMR,CM002001,CM00,January,1997,0,0
Cameroon,Ouest,Noun,CMR,CM008008,CM00,January,1997,0,0
Cameroon,Est,Haut-Nyong,CMR,CM003002,CM00,February,1997,0,0
Cameroon,Sud,Mvila,CMR,CM009002,CM00,February,1997,0,0
Cameroon,Sud-Ouest,Lebialem,CMR,CM010003,CM01,February,1997,0,0
Cameroon,Adamaoua,Mayo-Banyo,CMR,CM001003,CM00,February,1997,0,0
Cameroon,Centre,Mbam-et-Kim,CMR,CM002004,CM00,February,1997,0,0
Cameroon,Sud-Ouest,Ndian,CMR,CM010006,CM01,February,1997,1,0
