Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Ukraine,Mykolaiv,Voznesenskyi,UKR,UA4804,UA48,January,2018,0,0
Ukraine,Kharkiv,Krasnohradskyi,UKR,UA6306,UA63,January,2018,0,0
Ukraine,Khmelnytskyi,Shepetivskyi,UKR,UA6806,UA68,January,2018,0,0
Ukraine,Kyiv,Buchanskyi,UKR,UA3208,UA32,January,2018,0,0
Ukraine,Cherkasy,Zolotoniskyi,UKR,UA7104,UA71,January,2018,0,0
Ukraine,Zakarpattia,Khustskyi,UKR,UA2112,UA21,January,2018,0,0
Ukraine,Kyiv,Vyshhorodskyi,UKR,UA3210,UA32,January,2018,0,0
Ukraine,Ivano-Frankivsk,Nadvirnianskyi,UKR,UA2612,UA26,January,2018,0,0
Ukraine,Rivne,Sarnenskyi,UKR,UA5608,UA56,January,2018,0,0
Ukraine,Dnipropetrovsk,Nikopolskyi,UKR,UA1208,UA12,January,2018,1,0
Ukraine,Odesa,Izmailskyi,UKR,UA5108,UA51,January,2018,0,0
Ukraine,Crimea,Bilohirskyi,UKR,UA0104,UA01,January,2018,0,0
Ukraine,Ternopil,Ternopilskyi,UKR,UA6104,UA61,January,2018,0,0
Ukraine,Rivne,Rivnenskyi,UKR,UA5606,UA56,January,2018,0,0
Ukraine,Kharkiv,Bohodukhivskyi,UKR,UA6302,UA63,January,2018,0,0
Ukraine,Zaporizhia,Polohivskyi,UKR,UA2310,UA23,January,2018,0,0
Ukraine,Crimea,Bakhchysaraiskyi,UKR,UA0102,UA01,January,2018,0,0
Ukraine,Kherson,Beryslavskyi,UKR,UA6502,UA65,January,2018,0,0
Ukraine,Lviv,Yavorivskyi,UKR,UA4614,UA46,January,2018,0,0
Ukraine,Odesa,Podilskyi,UKR,UA5112,UA51,January,2018,0,0
Ukraine,Zakarpattia,Mukachivskyi,UKR,UA2104,UA21,January,2018,0,0
Ukraine,Black Sea,,UKR,,,January,2018,0,0
Ukraine,Volyn,Lutskyi,UKR,UA0708,UA07,January,2018,0,0
Ukraine,Sumy,Shostkynskyi,UKR,UA5910,UA59,January,2018,0,0
Ukraine,Zaporizhia,Berdianskyi,UKR,UA2302,UA23,January,2018,0,0
Ukraine,Chernihiv,Prylutskyi,UKR,UA7408,UA74,January,2018,0,0
Ukraine,Zakarpattia,Rakhivskyi,UKR,UA2106,UA21,January,2018,0,0
Ukraine,Kirovograd,Holovanivskyi,UKR,UA3502,UA35,January,2018,0,0
Ukraine,Donetsk,Pokrovskyi,UKR,UA1416,UA14,January,2018,83,13
Ukraine,Zakarpattia,Uzhhorodskyi,UKR,UA2110,UA21,January,2018,0,0
Ukraine,Kirovograd,Novoukrainskyi,UKR,UA3506,UA35,January,2018,0,0
Ukraine,Odesa,Odeskyi,UKR,UA5110,UA51,January,2018,2,2
Ukraine,Donetsk,Donetskyi,UKR,UA1408,UA14,January,2018,154,24
Ukraine,Odesa,Berezivskyi,UKR,UA5102,UA51,January,2018,0,0
Ukraine,Khmelnytskyi,Kamianets-Podilskyi,UKR,UA6802,UA68,January,2018,0,0
Ukraine,Volyn,Volodymyr-Volynskyi,UKR,UA0702,UA07,January,2018,0,0
Ukraine,Vinnytsia,Khmilnytskyi,UKR,UA0512,UA05,January,2018,0,0
Ukraine,Donetsk,Horlivskyi,UKR,UA1406,UA14,January,2018,81,1
Ukraine,Crimea,Yaltynskyi,UKR,UA0120,UA01,January,2018,0,0
Ukraine,Cherkasy,Zvenyhorodskyi,UKR,UA7102,UA71,January,2018,0,0
Ukraine,Ternopil,Chortkivskyi,UKR,UA6106,UA61,January,2018,0,0
