Country,Month,Year,Events,Fatalities
Algeria,January,1997,42,465
Algeria,February,1997,8,145
Algeria,March,1997,0,0
Algeria,April,1997,11,415
Algeria,May,1997,4,64
Algeria,June,1997,6,123
Algeria,July,1997,17,374
Algeria,August,1997,15,665
Algeria,September,1997,10,346
Algeria,October,1997,12,233
Algeria,November,1997,5,115
Algeria,December,1997,11,634
Algeria,January,1998,7,558
Algeria,February,1998,2,45
Algeria,March,1998,1,6
Algeria,April,1998,7,149
Algeria,May,1998,9,211
Algeria,June,1998,4,32
Algeria,July,1998,4,22
Algeria,August,1998,5,83
Algeria,September,1998,2,39
Algeria,October,1998,0,0
Algeria,November,1998,2,12
Algeria,December,1998,4,112
Algeria,January,1999,2,17
Algeria,February,1999,0,0
Algeria,March,1999,2,15
Algeria,April,1999,0,0
Algeria,May,1999,1,9
Algeria,June,1999,1,14
Algeria,July,1999,3,4
Algeria,August,1999,1,29
Algeria,September,1999,11,59
Algeria,October,1999,6,19
Algeria,November,1999,11,70
Algeria,December,1999,25,133
Algeria,January,2000,23,257
Algeria,February,2000,29,233
Algeria,March,2000,17,80
Algeria,April,2000,8,50
Algeria,May,2000,9,79
Algeria,June,2000,11,92
Algeria,July,2000,18,87
Algeria,August,2000,4,43
Algeria,September,2000,7,47
Algeria,October,2000,12,82
Algeria,November,2000,5,27
Algeria,December,2000,25,312
Algeria,January,2001,0,0
Algeria,February,2001,11,66
Algeria,March,2001,47,201
Algeria,April,2001,9,101
Algeria,May,2001,10,72
Algeria,June,2001,20,131
Algeria,July,2001,5,34
Algeria,August,2001,15,88
Algeria,September,2001,10,54
Algeria,October,2001,10,59
Algeria,November,2001,2,0
Algeria,December,2001,16,84
Algeria,January,2002,23,76
Algeria,February,2002,15,70
Algeria,March,2002,17,54
Algeria,April,2002,15,107
Algeria,May,2002,18,125
Algeria,June,2002,23,73
Algeria,July,2002,14,113
Algeria,August,2002,17,116
Algeria,September,2002,26,105
Algeria,October,2002,14,78
Algeria,November,2002,11,31
Algeria,December,2002,17,52
Algeria,January,2003,20,123
Algeria,February,2003,12,31
Algeria,March,2003,15,44
Algeria,April,2003,13,26
Algeria,May,2003,16,53
Algeria,June,2003,24,93
Algeria,July,2003,7,13
Algeria,August,2003,2,4
Algeria,September,2003,17,179
Algeria,October,2003,16,35
Algeria,November,2003,7,14
Algeria,December,2003,9,15
Algeria,January,2004,2,0
Algeria,February,2004,1,1
Algeria,March,2004,2,9
Algeria,April,2004,5,0
