Country,Month,Year,Events,Fatalities
Angola,January,1997,3,40
Angola,February,1997,12,1027
Angola,March,1997,5,63
Angola,April,1997,3,200
Angola,May,1997,21,69
Angola,June,1997,51,2240
Angola,July,1997,17,214
Angola,August,1997,15,53
Angola,September,1997,54,0
Angola,October,1997,8,3
Angola,November,1997,13,301
Angola,December,1997,11,1048
Angola,January,1998,8,48
Angola,February,1998,9,77
Angola,March,1998,13,1164
Angola,April,1998,9,12
Angola,May,1998,24,64
Angola,June,1998,13,21
Angola,July,1998,35,2184
Angola,August,1998,22,390
Angola,September,1998,70,480
Angola,October,1998,34,465
Angola,November,1998,42,1080
Angola,December,1998,168,44825
Angola,January,1999,169,28782
Angola,February,1999,72,854
Angola,March,1999,81,13029
Angola,April,1999,106,22476
Angola,May,1999,68,1377
Angola,June,1999,70,274
Angola,July,1999,95,3897
Angola,August,1999,190,1551
Angola,September,1999,157,633
Angola,October,1999,137,538
Angola,November,1999,75,113
Angola,December,1999,70,201
Angola,January,2000,36,762
Angola,February,2000,12,161
Angola,March,2000,15,38
Angola,April,2000,13,324
Angola,May,2000,13,425
Angola,June,2000,27,1475
Angola,July,2000,25,180
Angola,August,2000,21,112
Angola,September,2000,21,44
Angola,October,2000,58,84
Angola,November,2000,53,186
Angola,December,2000,11,166
Angola,January,2001,6,40
Angola,February,2001,26,361
Angola,March,2001,13,316
Angola,April,2001,9,82
Angola,May,2001,51,442
Angola,June,2001,58,1223
Angola,July,2001,45,321
Angola,August,2001,33,373
Angola,September,2001,22,273
Angola,October,2001,14,203
Angola,November,2001,17,77
Angola,December,2001,7,5400
Angola,January,2002,4,47
Angola,February,2002,10,176
Angola,March,2002,7,45
Angola,April,2002,0,0
Angola,May,2002,0,0
Angola,June,2002,0,0
Angola,July,2002,0,0
Angola,August,2002,0,0
Angola,September,2002,0,0
Angola,October,2002,0,0
Angola,November,2002,1,7
Angola,December,2002,0,0
Angola,January,2003,0,0
Angola,February,2003,0,0
Angola,March,2003,0,0
Angola,April,2003,0,0
Angola,May,2003,0,0
Angola,June,2003,0,0
Angola,July,2003,0,0
Angola,August,2003,0,0
Angola,September,2003,0,0
Angola,October,2003,0,0
Angola,November,2003,0,0
Angola,December,2003,2,6
Angola,January,2004,0,0
Angola,February,2004,0,0
Angola,March,2004,1,3
Angola,April,2004,0,0
Angola,May,2004,0,0
Angola,June,2004,1,1
Angola,July,2004,2,0
Angola,August,2004,0,0
Angola,September,2004,1,13
Angola,October,2004,0,0
Angola,November,2004,0,0
Angola,December,2004,0,0
Angola,January,2005,0,0
Angola,February,2005,0,0
Angola,March,2005,0,0
Angola,April,2005,1,0
Angola,May,2005,1,3
Angola,June,2005,0,0
Angola,July,2005,0,0
Angola,August,2005,0,0
Angola,September,2005,0,0
Angola,October,2005,0,0
Angola,November,2005,0,0
Angola,December,2005,0,0
Angola,January,2006,0,0
Angola,February,2006,1,1
Angola,March,2006,0,0
Angola,April,2006,0,0
Angola,May,2006,0,0
Angola,June,2006,0,0
Angola,July,2006,1,9
Angola,August,2006,0,0
Angola,September,2006,0,0
Angola,October,2006,0,0
Angola,November,2006,0,0
Angola,December,2006,1,3
Angola,January,2007,1,3
Angola,February,2007,2,0
Angola,March,2007,0,0
Angola,April,2007,0,0
Angola,May,2007,0,0
Angola,June,2007,1,1
Angola,July,2007,1,1
Angola,August,2007,0,0
Angola,September,2007,2,4
Angola,October,2007,1,1
Angola,November,2007,0,0
Angola,December,2007,5,6
Angola,January,2008,1,0
Angola,February,2008,0,0
Angola,March,2008,3,0
Angola,April,2008,1,0
Angola,May,2008,0,0
Angola,June,2008,0,0
Angola,July,2008,1,7
Angola,August,2008,0,0
Angola,September,2008,1,0
Angola,October,2008,1,0
Angola,November,2008,0,0
Angola,December,2008,2,3
Angola,January,2009,2,0
Angola,February,2009,0,0
Angola,March,2009,3,1
Angola,April,2009,0,0
Angola,May,2009,0,0
Angola,June,2009,0,0
Angola,July,2009,2,2
Angola,August,2009,1,0
Angola,September,2009,1,0
Angola,October,2009,2,0
Angola,November,2009,0,0
Angola,December,2009,0,0
Angola,January,2010,2,2
Angola,February,2010,0,0
Angola,March,2010,0,0
Angola,April,2010,0,0
Angola,May,2010,0,0
Angola,June,2010,0,0
Angola,July,2010,0,0
Angola,August,2010,0,0
Angola,September,2010,2,2
Angola,October,2010,3,5
Angola,November,2010,1,6
Angola,December,2010,0,0
Angola,January,2011,1,0
Angola,February,2011,0,0
Angola,March,2011,1,0
Angola,April,2011,0,0
Angola,May,2011,3,0
Angola,June,2011,0,0
Angola,July,2011,0,0
Angola,August,2011,0,0
Angola,September,2011,1,1
Angola,October,2011,1,3
Angola,November,2011,0,0
Angola,December,2011,1,0
Angola,January,2012,0,0
Angola,February,2012,0,0
Angola,March,2012,0,0
Angola,April,2012,1,0
Angola,May,2012,3,0
Angola,June,2012,0,0
Angola,July,2012,0,0
Angola,August,2012,0,0
