Country,Month,Year,Events,Fatalities
Armenia,January,2018,85,0
Armenia,February,2018,115,0
Armenia,March,2018,143,0
Armenia,April,2018,138,0
Armenia,May,2018,100,3
Armenia,June,2018,140,0
Armenia,July,2018,2,0
Armenia,August,2018,156,0
Armenia,September,2018,233,1
Armenia,October,2018,122,1
Armenia,November,2018,69,0
Armenia,December,2018,70,1
Armenia,January,2019,54,0
Armenia,February,2019,78,0
Armenia,March,2019,95,0
Armenia,April,2019,93,0
Armenia,May,2019,114,0
Armenia,June,2019,107,0
Armenia,July,2019,169,1
Armenia,August,2019,121,0
Armenia,September,2019,120,0
Armenia,October,2019,180,1
Armenia,November,2019,128,0
Armenia,December,2019,105,0
Armenia,January,2020,136,0
Armenia,February,2020,97,1
Armenia,March,2020,152,1
Armenia,April,2020,154,0
Armenia,May,2020,155,0
Armenia,June,2020,141,0
Armenia,July,2020,183,1
Armenia,August,2020,200,0
Armenia,September,2020,5,3
Armenia,October,2020,16,18
Armenia,November,2020,3,3
Armenia,December,2020,1,0
Armenia,January,2021,1,0
Armenia,February,2021,0,0
Armenia,March,2021,1,0
Armenia,April,2021,2,0
Armenia,May,2021,8,1
Armenia,June,2021,5,0
Armenia,July,2021,32,5
Armenia,August,2021,19,2
Armenia,September,2021,4,1
Armenia,October,2021,6,0
Armenia,November,2021,13,14
Armenia,December,2021,10,1
Armenia,January,2022,3,4
Armenia,February,2022,0,0
Armenia,March,2022,2,1
Armenia,April,2022,0,0
Armenia,May,2022,6,2
Armenia,June,2022,1,1
Armenia,July,2022,4,0
Armenia,August,2022,1,0
Armenia,September,2022,86,201
Armenia,October,2022,18,1
Armenia,November,2022,20,0
Armenia,December,2022,5,0
Armenia,January,2023,1,0
Armenia,February,2023,1,0
Armenia,March,2023,9,2
Armenia,April,2023,13,9
Armenia,May,2023,13,4
Armenia,June,2023,30,0
Armenia,July,2023,15,0
Armenia,August,2023,22,1
Armenia,September,2023,15,6
Armenia,October,2023,2,1
Armenia,November,2023,1,0
Armenia,December,2023,1,1
Armenia,January,2024,0,0
Armenia,February,2024,2,4
Armenia,March,2024,0,0
Armenia,April,2024,22,0
Armenia,May,2024,1,0
Armenia,June,2024,1,0
Armenia,July,2024,1,0
Armenia,August,2024,0,0
Armenia,September,2024,0,0
Armenia,October,2024,0,0
Armenia,November,2024,0,0
Armenia,December,2024,0,0
Armenia,January,2025,0,0
Armenia,February,2025,0,0
Armenia,March,2025,42,0
Armenia,April,2025,52,0
Armenia,May,2025,17,0
Armenia,June,2025,20,0
Armenia,July,2025,1,0
Armenia,August,2025,2,1
Armenia,September,2025,0,0
Armenia,October,2025,1,1
Armenia,November,2025,0,0
Armenia,December,2025,0,0
Armenia,January,2026,0,0
Armenia,February,2026,0,0
Armenia,March,2026,1,0
Armenia,April,2026,3,1
Armenia,May,2026,0,0
