Country,Month,Year,Events,Fatalities
Azerbaijan,January,2018,949,4
Azerbaijan,February,2018,866,4
Azerbaijan,March,2018,832,7
Azerbaijan,April,2018,773,3
Azerbaijan,May,2018,758,3
Azerbaijan,June,2018,711,8
Azerbaijan,July,2018,701,5
Azerbaijan,August,2018,675,3
Azerbaijan,September,2018,747,4
Azerbaijan,October,2018,476,1
Azerbaijan,November,2018,432,3
Azerbaijan,December,2018,444,0
Azerbaijan,January,2019,460,0
Azerbaijan,February,2019,379,1
Azerbaijan,March,2019,434,4
Azerbaijan,April,2019,408,1
Azerbaijan,May,2019,395,1
Azerbaijan,June,2019,287,3
Azerbaijan,July,2019,195,0
Azerbaijan,August,2019,369,0
Azerbaijan,September,2019,333,1
Azerbaijan,October,2019,402,1
Azerbaijan,November,2019,364,2
Azerbaijan,December,2019,363,0
Azerbaijan,January,2020,330,1
Azerbaijan,February,2020,366,2
Azerbaijan,March,2020,353,2
Azerbaijan,April,2020,292,0
Azerbaijan,May,2020,292,1
Azerbaijan,June,2020,305,0
Azerbaijan,July,2020,537,22
Azerbaijan,August,2020,435,0
Azerbaijan,September,2020,337,251
Azerbaijan,October,2020,559,4479
Azerbaijan,November,2020,249,2279
Azerbaijan,December,2020,8,20
Azerbaijan,January,2021,10,4
Azerbaijan,February,2021,8,6
Azerbaijan,March,2021,4,2
Azerbaijan,April,2021,15,2
Azerbaijan,May,2021,8,0
Azerbaijan,June,2021,8,5
Azerbaijan,July,2021,19,4
Azerbaijan,August,2021,80,0
Azerbaijan,September,2021,13,1
Azerbaijan,October,2021,8,2
Azerbaijan,November,2021,22,2
Azerbaijan,December,2021,14,5
Azerbaijan,January,2022,18,0
Azerbaijan,February,2022,22,1
Azerbaijan,March,2022,49,3
Azerbaijan,April,2022,12,1
Azerbaijan,May,2022,20,0
Azerbaijan,June,2022,14,0
Azerbaijan,July,2022,24,0
Azerbaijan,August,2022,32,4
Azerbaijan,September,2022,51,57
Azerbaijan,October,2022,44,1
Azerbaijan,November,2022,78,0
Azerbaijan,December,2022,22,1
Azerbaijan,January,2023,2,1
Azerbaijan,February,2023,8,0
Azerbaijan,March,2023,70,8
Azerbaijan,April,2023,25,6
Azerbaijan,May,2023,43,1
Azerbaijan,June,2023,115,4
Azerbaijan,July,2023,62,0
Azerbaijan,August,2023,75,0
Azerbaijan,September,2023,152,548
Azerbaijan,October,2023,8,2
Azerbaijan,November,2023,2,0
Azerbaijan,December,2023,4,0
Azerbaijan,January,2024,1,0
Azerbaijan,February,2024,9,0
Azerbaijan,March,2024,1,0
Azerbaijan,April,2024,31,0
Azerbaijan,May,2024,2,1
Azerbaijan,June,2024,11,1
Azerbaijan,July,2024,2,0
Azerbaijan,August,2024,10,0
Azerbaijan,September,2024,6,0
Azerbaijan,October,2024,1,0
Azerbaijan,November,2024,1,0
Azerbaijan,December,2024,1,0
Azerbaijan,January,2025,4,5
Azerbaijan,February,2025,2,0
Azerbaijan,March,2025,1,0
Azerbaijan,April,2025,5,1
Azerbaijan,May,2025,4,0
Azerbaijan,June,2025,3,0
Azerbaijan,July,2025,1,0
Azerbaijan,August,2025,2,0
Azerbaijan,September,2025,0,0
Azerbaijan,October,2025,1,0
Azerbaijan,November,2025,3,0
Azerbaijan,December,2025,2,0
Azerbaijan,January,2026,2,0
Azerbaijan,February,2026,1,0
Azerbaijan,March,2026,3,0
Azerbaijan,April,2026,3,1
Azerbaijan,May,2026,1,0
