Country,Month,Year,Events,Fatalities
Bangladesh,January,2010,173,49
Bangladesh,February,2010,172,60
Bangladesh,March,2010,176,51
Bangladesh,April,2010,114,39
Bangladesh,May,2010,80,33
Bangladesh,June,2010,79,24
Bangladesh,July,2010,117,58
Bangladesh,August,2010,146,60
Bangladesh,September,2010,108,49
Bangladesh,October,2010,140,71
Bangladesh,November,2010,136,61
Bangladesh,December,2010,100,47
Bangladesh,January,2011,105,63
Bangladesh,February,2011,83,36
Bangladesh,March,2011,104,33
Bangladesh,April,2011,110,44
Bangladesh,May,2011,110,43
Bangladesh,June,2011,189,52
Bangladesh,July,2011,134,54
Bangladesh,August,2011,105,38
Bangladesh,September,2011,115,48
Bangladesh,October,2011,109,43
Bangladesh,November,2011,112,57
Bangladesh,December,2011,102,56
Bangladesh,January,2012,123,45
Bangladesh,February,2012,103,36
Bangladesh,March,2012,107,49
Bangladesh,April,2012,91,33
Bangladesh,May,2012,93,52
Bangladesh,June,2012,79,26
Bangladesh,July,2012,85,50
Bangladesh,August,2012,94,61
Bangladesh,September,2012,84,31
Bangladesh,October,2012,69,30
Bangladesh,November,2012,76,24
Bangladesh,December,2012,61,23
Bangladesh,January,2013,80,35
Bangladesh,February,2013,66,31
Bangladesh,March,2013,149,78
Bangladesh,April,2013,101,41
Bangladesh,May,2013,60,47
Bangladesh,June,2013,73,23
Bangladesh,July,2013,98,44
Bangladesh,August,2013,106,47
Bangladesh,September,2013,82,21
Bangladesh,October,2013,141,68
Bangladesh,November,2013,117,45
Bangladesh,December,2013,147,104
Bangladesh,January,2014,132,88
Bangladesh,February,2014,77,24
Bangladesh,March,2014,79,22
Bangladesh,April,2014,81,38
Bangladesh,May,2014,57,35
Bangladesh,June,2014,42,27
Bangladesh,July,2014,57,31
Bangladesh,August,2014,61,35
Bangladesh,September,2014,50,16
Bangladesh,October,2014,53,21
Bangladesh,November,2014,63,23
Bangladesh,December,2014,45,13
Bangladesh,January,2015,222,61
Bangladesh,February,2015,171,90
Bangladesh,March,2015,111,32
Bangladesh,April,2015,54,24
Bangladesh,May,2015,32,17
Bangladesh,June,2015,36,25
Bangladesh,July,2015,37,27
Bangladesh,August,2015,53,42
Bangladesh,September,2015,35,21
Bangladesh,October,2015,46,32
Bangladesh,November,2015,41,24
Bangladesh,December,2015,123,36
Bangladesh,January,2016,37,14
Bangladesh,February,2016,29,12
Bangladesh,March,2016,64,43
Bangladesh,April,2016,72,44
Bangladesh,May,2016,77,50
Bangladesh,June,2016,62,46
Bangladesh,July,2016,37,80
Bangladesh,August,2016,27,25
Bangladesh,September,2016,21,19
Bangladesh,October,2016,34,55
Bangladesh,November,2016,30,16
Bangladesh,December,2016,23,14
Bangladesh,January,2017,31,17
Bangladesh,February,2017,34,24
Bangladesh,March,2017,41,66
Bangladesh,April,2017,21,13
Bangladesh,May,2017,40,40
Bangladesh,June,2017,22,15
Bangladesh,July,2017,13,7
Bangladesh,August,2017,12,8
Bangladesh,September,2017,9,7
Bangladesh,October,2017,12,3
Bangladesh,November,2017,16,16
Bangladesh,December,2017,18,9
Bangladesh,January,2018,29,10
Bangladesh,February,2018,19,8
Bangladesh,March,2018,24,13
Bangladesh,April,2018,13,9
Bangladesh,May,2018,19,17
Bangladesh,June,2018,17,13
Bangladesh,July,2018,26,11
Bangladesh,August,2018,46,28
Bangladesh,September,2018,61,30
Bangladesh,October,2018,60,38
Bangladesh,November,2018,56,31
Bangladesh,December,2018,334,58
Bangladesh,January,2019,97,39
Bangladesh,February,2019,60,40
Bangladesh,March,2019,86,45
Bangladesh,April,2019,58,38
Bangladesh,May,2019,61,31
Bangladesh,June,2019,60,35
Bangladesh,July,2019,58,29
Bangladesh,August,2019,55,35
Bangladesh,September,2019,54,30
Bangladesh,October,2019,36,19
Bangladesh,November,2019,45,29
Bangladesh,December,2019,43,20
Bangladesh,January,2020,59,26
Bangladesh,February,2020,58,26
Bangladesh,March,2020,36,24
Bangladesh,April,2020,33,20
Bangladesh,May,2020,27,20
Bangladesh,June,2020,37,31
Bangladesh,July,2020,29,25
Bangladesh,August,2020,37,21
Bangladesh,September,2020,48,23
Bangladesh,October,2020,55,30
Bangladesh,November,2020,31,15
Bangladesh,December,2020,30,14
Bangladesh,January,2021,51,22
Bangladesh,February,2021,50,18
Bangladesh,March,2021,73,33
Bangladesh,April,2021,82,34
Bangladesh,May,2021,60,28
Bangladesh,June,2021,41,21
Bangladesh,July,2021,38,16
Bangladesh,August,2021,42,12
Bangladesh,September,2021,49,16
Bangladesh,October,2021,77,37
Bangladesh,November,2021,148,60
Bangladesh,December,2021,99,25
Bangladesh,January,2022,92,43
Bangladesh,February,2022,59,24
Bangladesh,March,2022,60,25
Bangladesh,April,2022,59,24
Bangladesh,May,2022,59,20
Bangladesh,June,2022,54,21
Bangladesh,July,2022,64,20
Bangladesh,August,2022,64,15
Bangladesh,September,2022,91,32
Bangladesh,October,2022,90,29
Bangladesh,November,2022,100,30
Bangladesh,December,2022,80,20
Bangladesh,January,2023,83,22
Bangladesh,February,2023,81,21
Bangladesh,March,2023,61,24
Bangladesh,April,2023,64,38
Bangladesh,May,2023,72,26
Bangladesh,June,2023,82,23
Bangladesh,July,2023,80,32
Bangladesh,August,2023,66,21
Bangladesh,September,2023,103,27
Bangladesh,October,2023,63,24
Bangladesh,November,2023,92,22
Bangladesh,December,2023,132,29
Bangladesh,January,2024,112,35
Bangladesh,February,2024,73,25
Bangladesh,March,2024,78,26
Bangladesh,April,2024,64,27
Bangladesh,May,2024,107,31
Bangladesh,June,2024,78,26
Bangladesh,July,2024,53,19
Bangladesh,August,2024,276,330
Bangladesh,September,2024,106,40
Bangladesh,October,2024,88,38
Bangladesh,November,2024,70,27
Bangladesh,December,2024,77,31
Bangladesh,January,2025,103,27
Bangladesh,February,2025,89,25
Bangladesh,March,2025,114,36
Bangladesh,April,2025,107,31
Bangladesh,May,2025,89,29
Bangladesh,June,2025,73,27
Bangladesh,July,2025,67,38
Bangladesh,August,2025,83,34
Bangladesh,September,2025,68,33
Bangladesh,October,2025,89,26
Bangladesh,November,2025,143,28
Bangladesh,December,2025,79,30
Bangladesh,January,2026,113,31
Bangladesh,February,2026,176,30
Bangladesh,March,2026,101,30
Bangladesh,April,2026,104,25
Bangladesh,May,2026,49,19
