Country,Month,Year,Events,Fatalities
Belize,January,2018,18,14
Belize,February,2018,15,9
Belize,March,2018,15,11
Belize,April,2018,10,6
Belize,May,2018,12,6
Belize,June,2018,13,3
Belize,July,2018,15,9
Belize,August,2018,5,6
Belize,September,2018,19,9
Belize,October,2018,8,4
Belize,November,2018,10,6
Belize,December,2018,12,8
Belize,January,2019,18,11
Belize,February,2019,9,4
Belize,March,2019,14,7
Belize,April,2019,8,5
Belize,May,2019,16,8
Belize,June,2019,13,14
Belize,July,2019,14,10
Belize,August,2019,18,12
Belize,September,2019,14,7
Belize,October,2019,12,11
Belize,November,2019,17,8
Belize,December,2019,13,7
Belize,January,2020,16,7
Belize,February,2020,19,9
Belize,March,2020,12,10
Belize,April,2020,9,3
Belize,May,2020,10,4
Belize,June,2020,5,2
Belize,July,2020,11,9
Belize,August,2020,2,2
Belize,September,2020,12,6
Belize,October,2020,13,7
Belize,November,2020,15,10
Belize,December,2020,12,6
Belize,January,2021,12,4
Belize,February,2021,5,4
Belize,March,2021,12,8
Belize,April,2021,9,2
Belize,May,2021,18,15
Belize,June,2021,6,2
Belize,July,2021,14,4
Belize,August,2021,11,10
Belize,September,2021,11,7
Belize,October,2021,11,5
Belize,November,2021,10,5
Belize,December,2021,6,1
Belize,January,2022,10,7
Belize,February,2022,8,4
Belize,March,2022,8,2
Belize,April,2022,3,1
Belize,May,2022,6,2
Belize,June,2022,8,6
Belize,July,2022,5,4
Belize,August,2022,2,1
Belize,September,2022,6,3
Belize,October,2022,4,2
Belize,November,2022,7,6
Belize,December,2022,9,10
Belize,January,2023,6,3
Belize,February,2023,4,2
Belize,March,2023,4,2
Belize,April,2023,4,2
Belize,May,2023,8,2
Belize,June,2023,5,2
Belize,July,2023,12,9
Belize,August,2023,8,5
Belize,September,2023,1,1
Belize,October,2023,1,3
Belize,November,2023,2,1
Belize,December,2023,7,6
Belize,January,2024,5,1
Belize,February,2024,5,3
Belize,March,2024,7,5
Belize,April,2024,1,1
Belize,May,2024,4,2
Belize,June,2024,11,4
Belize,July,2024,3,1
Belize,August,2024,0,0
Belize,September,2024,2,2
Belize,October,2024,3,0
Belize,November,2024,3,1
Belize,December,2024,4,4
Belize,January,2025,3,2
Belize,February,2025,6,2
Belize,March,2025,8,6
Belize,April,2025,3,2
Belize,May,2025,5,4
Belize,June,2025,1,0
Belize,July,2025,7,3
Belize,August,2025,7,3
Belize,September,2025,12,4
Belize,October,2025,4,3
Belize,November,2025,5,2
Belize,December,2025,5,6
Belize,January,2026,6,5
Belize,February,2026,6,5
Belize,March,2026,9,6
Belize,April,2026,6,2
Belize,May,2026,5,5
