Country,Month,Year,Events,Fatalities
Bolivia,January,2018,0,0
Bolivia,February,2018,0,0
Bolivia,March,2018,3,7
Bolivia,April,2018,3,9
Bolivia,May,2018,1,1
Bolivia,June,2018,2,1
Bolivia,July,2018,1,0
Bolivia,August,2018,9,3
Bolivia,September,2018,1,0
Bolivia,October,2018,0,0
Bolivia,November,2018,3,3
Bolivia,December,2018,3,0
Bolivia,January,2019,1,0
Bolivia,February,2019,1,0
Bolivia,March,2019,0,0
Bolivia,April,2019,4,0
Bolivia,May,2019,2,1
Bolivia,June,2019,1,0
Bolivia,July,2019,0,0
Bolivia,August,2019,3,0
Bolivia,September,2019,9,3
Bolivia,October,2019,1,0
Bolivia,November,2019,15,4
Bolivia,December,2019,3,1
Bolivia,January,2020,2,0
Bolivia,February,2020,1,0
Bolivia,March,2020,2,0
Bolivia,April,2020,3,0
Bolivia,May,2020,4,0
Bolivia,June,2020,2,0
Bolivia,July,2020,2,0
Bolivia,August,2020,5,1
Bolivia,September,2020,10,0
Bolivia,October,2020,6,0
Bolivia,November,2020,10,0
Bolivia,December,2020,7,0
Bolivia,January,2021,3,0
Bolivia,February,2021,3,0
Bolivia,March,2021,4,1
Bolivia,April,2021,4,0
Bolivia,May,2021,4,0
Bolivia,June,2021,2,0
Bolivia,July,2021,6,0
Bolivia,August,2021,7,3
Bolivia,September,2021,8,0
Bolivia,October,2021,5,0
Bolivia,November,2021,6,2
Bolivia,December,2021,2,0
Bolivia,January,2022,3,0
Bolivia,February,2022,0,0
Bolivia,March,2022,5,1
Bolivia,April,2022,9,2
Bolivia,May,2022,7,2
Bolivia,June,2022,9,3
Bolivia,July,2022,9,0
Bolivia,August,2022,4,0
Bolivia,September,2022,5,1
Bolivia,October,2022,5,0
Bolivia,November,2022,0,0
Bolivia,December,2022,7,0
Bolivia,January,2023,4,0
Bolivia,February,2023,5,1
Bolivia,March,2023,8,2
Bolivia,April,2023,2,0
Bolivia,May,2023,4,0
Bolivia,June,2023,6,0
Bolivia,July,2023,7,0
Bolivia,August,2023,11,0
Bolivia,September,2023,15,3
Bolivia,October,2023,8,1
Bolivia,November,2023,8,2
Bolivia,December,2023,12,5
Bolivia,January,2024,5,7
Bolivia,February,2024,4,0
Bolivia,March,2024,4,0
Bolivia,April,2024,4,0
Bolivia,May,2024,15,7
Bolivia,June,2024,3,0
Bolivia,July,2024,9,2
Bolivia,August,2024,9,1
Bolivia,September,2024,12,1
Bolivia,October,2024,4,0
Bolivia,November,2024,8,0
Bolivia,December,2024,8,0
Bolivia,January,2025,6,0
Bolivia,February,2025,7,2
Bolivia,March,2025,6,1
Bolivia,April,2025,13,6
Bolivia,May,2025,7,2
Bolivia,June,2025,11,5
Bolivia,July,2025,15,3
Bolivia,August,2025,14,1
Bolivia,September,2025,13,2
Bolivia,October,2025,8,1
Bolivia,November,2025,9,4
Bolivia,December,2025,6,0
Bolivia,January,2026,6,2
Bolivia,February,2026,13,1
Bolivia,March,2026,6,0
Bolivia,April,2026,8,4
Bolivia,May,2026,0,0
