Country,Month,Year,Events,Fatalities
Brazil,January,2018,828,751
Brazil,February,2018,765,648
Brazil,March,2018,876,717
Brazil,April,2018,898,763
Brazil,May,2018,648,562
Brazil,June,2018,758,662
Brazil,July,2018,809,680
Brazil,August,2018,1027,730
Brazil,September,2018,530,356
Brazil,October,2018,651,544
Brazil,November,2018,676,522
Brazil,December,2018,566,436
Brazil,January,2019,858,688
Brazil,February,2019,434,343
Brazil,March,2019,594,455
Brazil,April,2019,487,398
Brazil,May,2019,571,521
Brazil,June,2019,517,405
Brazil,July,2019,586,533
Brazil,August,2019,541,449
Brazil,September,2019,465,436
Brazil,October,2019,558,511
Brazil,November,2019,522,491
Brazil,December,2019,551,531
Brazil,January,2020,770,670
Brazil,February,2020,552,459
Brazil,March,2020,617,504
Brazil,April,2020,619,521
Brazil,May,2020,521,415
Brazil,June,2020,444,393
Brazil,July,2020,519,434
Brazil,August,2020,513,428
Brazil,September,2020,539,422
Brazil,October,2020,637,575
Brazil,November,2020,556,409
Brazil,December,2020,554,458
Brazil,January,2021,641,584
Brazil,February,2021,486,455
Brazil,March,2021,575,486
Brazil,April,2021,584,504
Brazil,May,2021,611,549
Brazil,June,2021,594,528
Brazil,July,2021,570,476
Brazil,August,2021,616,541
Brazil,September,2021,662,522
Brazil,October,2021,705,615
Brazil,November,2021,671,550
Brazil,December,2021,632,547
Brazil,January,2022,665,575
Brazil,February,2022,594,547
Brazil,March,2022,690,611
Brazil,April,2022,736,621
Brazil,May,2022,854,742
Brazil,June,2022,768,620
Brazil,July,2022,880,677
Brazil,August,2022,950,720
Brazil,September,2022,872,675
Brazil,October,2022,869,659
Brazil,November,2022,845,665
Brazil,December,2022,740,637
Brazil,January,2023,823,738
Brazil,February,2023,718,662
Brazil,March,2023,814,703
Brazil,April,2023,728,633
Brazil,May,2023,852,742
Brazil,June,2023,764,652
Brazil,July,2023,854,760
Brazil,August,2023,870,720
Brazil,September,2023,819,750
Brazil,October,2023,808,756
Brazil,November,2023,710,647
Brazil,December,2023,667,648
Brazil,January,2024,769,649
Brazil,February,2024,646,596
Brazil,March,2024,788,722
Brazil,April,2024,716,626
Brazil,May,2024,657,595
Brazil,June,2024,662,569
Brazil,July,2024,683,571
Brazil,August,2024,787,665
Brazil,September,2024,762,643
Brazil,October,2024,797,646
Brazil,November,2024,721,612
Brazil,December,2024,688,605
Brazil,January,2025,808,743
Brazil,February,2025,684,597
Brazil,March,2025,691,594
Brazil,April,2025,683,581
Brazil,May,2025,724,628
Brazil,June,2025,705,577
Brazil,July,2025,838,714
Brazil,August,2025,886,722
Brazil,September,2025,822,727
Brazil,October,2025,793,765
Brazil,November,2025,799,690
Brazil,December,2025,746,624
Brazil,January,2026,914,768
Brazil,February,2026,806,700
Brazil,March,2026,711,598
Brazil,April,2026,784,609
Brazil,May,2026,384,324
