Country,Month,Year,Events,Fatalities
Chile,January,2018,11,0
Chile,February,2018,5,0
Chile,March,2018,6,0
Chile,April,2018,9,0
Chile,May,2018,7,1
Chile,June,2018,11,0
Chile,July,2018,10,0
Chile,August,2018,9,0
Chile,September,2018,10,0
Chile,October,2018,12,1
Chile,November,2018,19,1
Chile,December,2018,6,1
Chile,January,2019,10,1
Chile,February,2019,8,1
Chile,March,2019,9,1
Chile,April,2019,3,0
Chile,May,2019,3,0
Chile,June,2019,3,0
Chile,July,2019,7,1
Chile,August,2019,10,1
Chile,September,2019,7,0
Chile,October,2019,64,4
Chile,November,2019,64,1
Chile,December,2019,32,2
Chile,January,2020,14,3
Chile,February,2020,13,1
Chile,March,2020,21,2
Chile,April,2020,21,0
Chile,May,2020,22,2
Chile,June,2020,23,2
Chile,July,2020,18,0
Chile,August,2020,21,0
Chile,September,2020,26,4
Chile,October,2020,20,3
Chile,November,2020,15,1
Chile,December,2020,12,2
Chile,January,2021,21,3
Chile,February,2021,24,2
Chile,March,2021,30,0
Chile,April,2021,22,0
Chile,May,2021,18,2
Chile,June,2021,18,1
Chile,July,2021,22,1
Chile,August,2021,18,4
Chile,September,2021,16,1
Chile,October,2021,21,1
Chile,November,2021,12,0
Chile,December,2021,21,1
Chile,January,2022,15,5
Chile,February,2022,16,2
Chile,March,2022,20,2
Chile,April,2022,43,1
Chile,May,2022,39,9
Chile,June,2022,14,5
Chile,July,2022,15,0
Chile,August,2022,27,3
Chile,September,2022,18,0
Chile,October,2022,17,2
Chile,November,2022,10,2
Chile,December,2022,13,2
Chile,January,2023,7,2
Chile,February,2023,9,4
Chile,March,2023,20,4
Chile,April,2023,15,7
Chile,May,2023,24,0
Chile,June,2023,18,6
Chile,July,2023,18,3
Chile,August,2023,18,0
Chile,September,2023,19,1
Chile,October,2023,20,0
Chile,November,2023,17,2
Chile,December,2023,23,7
Chile,January,2024,16,8
Chile,February,2024,16,4
Chile,March,2024,10,0
Chile,April,2024,19,9
Chile,May,2024,8,3
Chile,June,2024,10,4
Chile,July,2024,15,6
Chile,August,2024,15,5
Chile,September,2024,16,4
Chile,October,2024,16,2
Chile,November,2024,14,2
Chile,December,2024,15,6
Chile,January,2025,9,1
Chile,February,2025,9,0
Chile,March,2025,18,4
Chile,April,2025,20,4
Chile,May,2025,16,1
Chile,June,2025,17,1
Chile,July,2025,10,0
Chile,August,2025,7,2
Chile,September,2025,13,0
Chile,October,2025,20,1
Chile,November,2025,11,0
Chile,December,2025,12,1
Chile,January,2026,17,0
Chile,February,2026,17,1
Chile,March,2026,21,2
Chile,April,2026,14,3
Chile,May,2026,12,1
