Country,Month,Year,Events,Fatalities
Ecuador,January,2018,2,0
Ecuador,February,2018,1,0
Ecuador,March,2018,3,7
Ecuador,April,2018,1,0
Ecuador,May,2018,1,0
Ecuador,June,2018,1,3
Ecuador,July,2018,0,0
Ecuador,August,2018,1,1
Ecuador,September,2018,0,0
Ecuador,October,2018,1,3
Ecuador,November,2018,1,0
Ecuador,December,2018,1,0
Ecuador,January,2019,0,0
Ecuador,February,2019,1,1
Ecuador,March,2019,1,0
Ecuador,April,2019,2,0
Ecuador,May,2019,3,1
Ecuador,June,2019,5,3
Ecuador,July,2019,6,3
Ecuador,August,2019,4,0
Ecuador,September,2019,5,1
Ecuador,October,2019,4,2
Ecuador,November,2019,1,0
Ecuador,December,2019,0,0
Ecuador,January,2020,4,0
Ecuador,February,2020,1,1
Ecuador,March,2020,4,1
Ecuador,April,2020,6,1
Ecuador,May,2020,1,0
Ecuador,June,2020,6,0
Ecuador,July,2020,6,0
Ecuador,August,2020,1,0
Ecuador,September,2020,2,0
Ecuador,October,2020,5,1
Ecuador,November,2020,2,0
Ecuador,December,2020,6,15
Ecuador,January,2021,3,1
Ecuador,February,2021,3,0
Ecuador,March,2021,1,1
Ecuador,April,2021,3,0
Ecuador,May,2021,2,0
Ecuador,June,2021,4,1
Ecuador,July,2021,0,0
Ecuador,August,2021,4,0
Ecuador,September,2021,3,0
Ecuador,October,2021,2,0
Ecuador,November,2021,2,0
Ecuador,December,2021,2,2
Ecuador,January,2022,73,81
Ecuador,February,2022,97,107
Ecuador,March,2022,141,156
Ecuador,April,2022,106,141
Ecuador,May,2022,142,166
Ecuador,June,2022,109,111
Ecuador,July,2022,105,115
Ecuador,August,2022,109,112
Ecuador,September,2022,195,211
Ecuador,October,2022,137,153
Ecuador,November,2022,86,81
Ecuador,December,2022,123,124
Ecuador,January,2023,181,205
Ecuador,February,2023,208,208
Ecuador,March,2023,144,146
Ecuador,April,2023,258,285
Ecuador,May,2023,236,258
Ecuador,June,2023,193,223
Ecuador,July,2023,195,246
Ecuador,August,2023,212,224
Ecuador,September,2023,295,269
Ecuador,October,2023,200,247
Ecuador,November,2023,239,241
Ecuador,December,2023,221,256
Ecuador,January,2024,233,139
Ecuador,February,2024,139,129
Ecuador,March,2024,175,183
Ecuador,April,2024,153,182
Ecuador,May,2024,248,269
Ecuador,June,2024,224,269
Ecuador,July,2024,233,271
Ecuador,August,2024,243,292
Ecuador,September,2024,243,289
Ecuador,October,2024,245,316
Ecuador,November,2024,216,272
Ecuador,December,2024,207,269
Ecuador,January,2025,323,385
Ecuador,February,2025,238,288
Ecuador,March,2025,333,351
Ecuador,April,2025,260,295
Ecuador,May,2025,319,374
Ecuador,June,2025,253,255
Ecuador,July,2025,236,325
Ecuador,August,2025,276,365
Ecuador,September,2025,263,354
Ecuador,October,2025,269,358
Ecuador,November,2025,277,371
Ecuador,December,2025,270,341
Ecuador,January,2026,276,356
Ecuador,February,2026,258,304
Ecuador,March,2026,271,321
Ecuador,April,2026,271,348
Ecuador,May,2026,115,137
