Country,Month,Year,Events,Fatalities
Egypt,January,1997,5,6
Egypt,February,1997,3,15
Egypt,March,1997,2,14
Egypt,April,1997,2,4
Egypt,May,1997,0,0
Egypt,June,1997,4,12
Egypt,July,1997,2,9
Egypt,August,1997,2,5
Egypt,September,1997,5,21
Egypt,October,1997,2,11
Egypt,November,1997,4,69
Egypt,December,1997,1,2
Egypt,January,1998,0,0
Egypt,February,1998,0,0
Egypt,March,1998,6,22
Egypt,April,1998,1,2
Egypt,May,1998,0,0
Egypt,June,1998,0,0
Egypt,July,1998,0,0
Egypt,August,1998,1,0
Egypt,September,1998,1,0
Egypt,October,1998,0,0
Egypt,November,1998,1,2
Egypt,December,1998,0,0
Egypt,January,1999,1,1
Egypt,February,1999,0,0
Egypt,March,1999,0,0
Egypt,April,1999,0,0
Egypt,May,1999,0,0
Egypt,June,1999,0,0
Egypt,July,1999,1,1
Egypt,August,1999,0,0
Egypt,September,1999,2,5
Egypt,October,1999,1,1
Egypt,November,1999,0,0
Egypt,December,1999,0,0
Egypt,January,2000,3,29
Egypt,February,2000,0,0
Egypt,March,2000,1,0
Egypt,April,2000,0,0
Egypt,May,2000,0,0
Egypt,June,2000,2,0
Egypt,July,2000,0,0
Egypt,August,2000,0,0
Egypt,September,2000,0,0
Egypt,October,2000,8,26
Egypt,November,2000,10,20
Egypt,December,2000,1,2
Egypt,January,2001,0,0
Egypt,February,2001,2,3
Egypt,March,2001,1,0
Egypt,April,2001,0,0
Egypt,May,2001,0,0
Egypt,June,2001,2,0
Egypt,July,2001,1,1
Egypt,August,2001,0,0
Egypt,September,2001,0,0
Egypt,October,2001,0,0
Egypt,November,2001,0,0
Egypt,December,2001,0,0
Egypt,January,2002,0,0
Egypt,February,2002,2,1
Egypt,March,2002,1,0
Egypt,April,2002,1,1
Egypt,May,2002,0,0
Egypt,June,2002,0,0
Egypt,July,2002,0,0
Egypt,August,2002,1,22
Egypt,September,2002,0,0
Egypt,October,2002,0,0
Egypt,November,2002,0,0
Egypt,December,2002,0,0
Egypt,January,2003,0,0
Egypt,February,2003,0,0
Egypt,March,2003,0,0
Egypt,April,2003,0,0
Egypt,May,2003,0,0
Egypt,June,2003,0,0
Egypt,July,2003,0,0
Egypt,August,2003,0,0
Egypt,September,2003,0,0
Egypt,October,2003,0,0
Egypt,November,2003,0,0
Egypt,December,2003,0,0
Egypt,January,2004,0,0
Egypt,February,2004,0,0
Egypt,March,2004,0,0
Egypt,April,2004,0,0
Egypt,May,2004,0,0
Egypt,June,2004,0,0
Egypt,July,2004,0,0
Egypt,August,2004,0,0
Egypt,September,2004,0,0
Egypt,October,2004,1,28
Egypt,November,2004,0,0
Egypt,December,2004,0,0
Egypt,January,2005,0,0
Egypt,February,2005,1,0
Egypt,March,2005,0,0
Egypt,April,2005,2,4
Egypt,May,2005,0,0
Egypt,June,2005,0,0
Egypt,July,2005,1,88
Egypt,August,2005,0,0
Egypt,September,2005,0,0
Egypt,October,2005,1,1
Egypt,November,2005,2,1
Egypt,December,2005,7,10
Egypt,January,2006,0,0
Egypt,February,2006,0,0
Egypt,March,2006,0,0
Egypt,April,2006,2,24
Egypt,May,2006,0,0
Egypt,June,2006,0,0
Egypt,July,2006,0,0
Egypt,August,2006,0,0
Egypt,September,2006,0,0
Egypt,October,2006,0,0
Egypt,November,2006,0,0
Egypt,December,2006,0,0
Egypt,January,2007,0,0
Egypt,February,2007,0,0
Egypt,March,2007,0,0
Egypt,April,2007,0,0
Egypt,May,2007,1,0
Egypt,June,2007,0,0
Egypt,July,2007,1,0
Egypt,August,2007,0,0
Egypt,September,2007,0,0
Egypt,October,2007,0,0
Egypt,November,2007,0,0
Egypt,December,2007,0,0
Egypt,January,2008,4,3
Egypt,February,2008,1,1
Egypt,March,2008,6,5
Egypt,April,2008,1,1
Egypt,May,2008,3,3
Egypt,June,2008,1,1
Egypt,July,2008,4,3
Egypt,August,2008,3,2
Egypt,September,2008,2,2
Egypt,October,2008,2,2
Egypt,November,2008,9,2
Egypt,December,2008,2,1
Egypt,January,2009,1,0
Egypt,February,2009,2,0
Egypt,March,2009,0,0
Egypt,April,2009,3,3
Egypt,May,2009,4,1
Egypt,June,2009,2,2
Egypt,July,2009,2,1
Egypt,August,2009,0,0
Egypt,September,2009,4,7
Egypt,October,2009,3,1
Egypt,November,2009,3,1
Egypt,December,2009,2,1
Egypt,January,2010,9,14
Egypt,February,2010,8,6
Egypt,March,2010,4,3
Egypt,April,2010,4,10
Egypt,May,2010,5,6
Egypt,June,2010,11,7
Egypt,July,2010,5,11
Egypt,August,2010,2,8
Egypt,September,2010,3,3
Egypt,October,2010,1,1
Egypt,November,2010,4,0
Egypt,December,2010,0,0
Egypt,January,2011,25,55
Egypt,February,2011,36,28
Egypt,March,2011,15,79
Egypt,April,2011,11,7
Egypt,May,2011,12,21
Egypt,June,2011,7,9
Egypt,July,2011,22,11
Egypt,August,2011,19,16
Egypt,September,2011,12,1
Egypt,October,2011,16,80
Egypt,November,2011,31,10
Egypt,December,2011,21,2
Egypt,January,2012,7,5
Egypt,February,2012,6,0
Egypt,March,2012,2,1
Egypt,April,2012,3,2
Egypt,May,2012,8,22
Egypt,June,2012,8,16
Egypt,July,2012,12,5
Egypt,August,2012,20,52
Egypt,September,2012,10,1
Egypt,October,2012,15,22
Egypt,November,2012,22,13
Egypt,December,2012,13,3
Egypt,January,2013,14,11
Egypt,February,2013,27,11
Egypt,March,2013,46,30
Egypt,April,2013,19,16
Egypt,May,2013,20,13
Egypt,June,2013,47,34
Egypt,July,2013,175,186
Egypt,August,2013,138,745
Egypt,September,2013,108,125
Egypt,October,2013,94,80
Egypt,November,2013,78,104
Egypt,December,2013,56,52
Egypt,January,2014,115,120
Egypt,February,2014,57,198
Egypt,March,2014,65,66
Egypt,April,2014,63,70
Egypt,May,2014,44,35
Egypt,June,2014,36,57
Egypt,July,2014,47,135
Egypt,August,2014,63,89
Egypt,September,2014,56,125
Egypt,October,2014,63,132
Egypt,November,2014,70,125
Egypt,December,2014,49,108
Egypt,January,2015,111,133
Egypt,February,2015,77,211
Egypt,March,2015,78,211
Egypt,April,2015,78,268
Egypt,May,2015,95,180
Egypt,June,2015,70,137
Egypt,July,2015,72,531
Egypt,August,2015,49,101
Egypt,September,2015,71,609
Egypt,October,2015,53,301
Egypt,November,2015,38,77
Egypt,December,2015,38,50
Egypt,January,2016,50,198
Egypt,February,2016,47,102
Egypt,March,2016,40,190
Egypt,April,2016,28,136
Egypt,May,2016,52,235
Egypt,June,2016,46,105
Egypt,July,2016,40,76
Egypt,August,2016,28,119
Egypt,September,2016,37,100
Egypt,October,2016,41,260
Egypt,November,2016,40,100
Egypt,December,2016,22,95
Egypt,January,2017,24,93
Egypt,February,2017,37,64
Egypt,March,2017,30,102
Egypt,April,2017,61,137
Egypt,May,2017,44,120
Egypt,June,2017,27,45
Egypt,July,2017,61,205
Egypt,August,2017,25,57
Egypt,September,2017,28,68
Egypt,October,2017,35,152
Egypt,November,2017,30,413
Egypt,December,2017,33,88
Egypt,January,2018,33,51
