Country,Month,Year,Events,Fatalities
El Salvador,January,2018,92,112
El Salvador,February,2018,70,88
El Salvador,March,2018,76,104
El Salvador,April,2018,62,84
El Salvador,May,2018,44,50
El Salvador,June,2018,61,72
El Salvador,July,2018,51,62
El Salvador,August,2018,60,68
El Salvador,September,2018,47,50
El Salvador,October,2018,85,95
El Salvador,November,2018,72,100
El Salvador,December,2018,55,76
El Salvador,January,2019,103,133
El Salvador,February,2019,57,68
El Salvador,March,2019,47,62
El Salvador,April,2019,69,80
El Salvador,May,2019,71,79
El Salvador,June,2019,89,104
El Salvador,July,2019,60,66
El Salvador,August,2019,65,67
El Salvador,September,2019,75,77
El Salvador,October,2019,53,53
El Salvador,November,2019,56,60
El Salvador,December,2019,40,50
El Salvador,January,2020,41,45
El Salvador,February,2020,24,28
El Salvador,March,2020,19,14
El Salvador,April,2020,89,88
El Salvador,May,2020,23,18
El Salvador,June,2020,21,19
El Salvador,July,2020,31,29
El Salvador,August,2020,23,31
El Salvador,September,2020,29,28
El Salvador,October,2020,32,39
El Salvador,November,2020,29,23
El Salvador,December,2020,25,29
El Salvador,January,2021,49,45
El Salvador,February,2021,57,60
El Salvador,March,2021,39,33
El Salvador,April,2021,39,32
El Salvador,May,2021,47,48
El Salvador,June,2021,28,25
El Salvador,July,2021,35,35
El Salvador,August,2021,29,21
El Salvador,September,2021,24,22
El Salvador,October,2021,33,28
El Salvador,November,2021,49,54
El Salvador,December,2021,34,33
El Salvador,January,2022,31,26
El Salvador,February,2022,33,33
El Salvador,March,2022,91,96
El Salvador,April,2022,24,20
El Salvador,May,2022,25,21
El Salvador,June,2022,25,24
El Salvador,July,2022,14,10
El Salvador,August,2022,13,16
El Salvador,September,2022,11,12
El Salvador,October,2022,13,10
El Salvador,November,2022,12,11
El Salvador,December,2022,6,7
El Salvador,January,2023,6,4
El Salvador,February,2023,5,5
El Salvador,March,2023,9,7
El Salvador,April,2023,4,2
El Salvador,May,2023,6,6
El Salvador,June,2023,10,8
El Salvador,July,2023,5,5
El Salvador,August,2023,9,8
El Salvador,September,2023,6,6
El Salvador,October,2023,4,2
El Salvador,November,2023,5,5
El Salvador,December,2023,2,1
El Salvador,January,2024,2,1
El Salvador,February,2024,2,1
El Salvador,March,2024,5,5
El Salvador,April,2024,3,3
El Salvador,May,2024,2,2
El Salvador,June,2024,0,0
El Salvador,July,2024,0,0
El Salvador,August,2024,5,6
El Salvador,September,2024,2,1
El Salvador,October,2024,2,2
El Salvador,November,2024,2,0
El Salvador,December,2024,0,0
El Salvador,January,2025,2,0
El Salvador,February,2025,0,0
El Salvador,March,2025,0,0
El Salvador,April,2025,0,0
El Salvador,May,2025,4,3
El Salvador,June,2025,4,2
El Salvador,July,2025,2,0
El Salvador,August,2025,1,0
El Salvador,September,2025,2,1
El Salvador,October,2025,2,2
El Salvador,November,2025,2,1
El Salvador,December,2025,1,1
El Salvador,January,2026,1,1
El Salvador,February,2026,3,2
El Salvador,March,2026,1,1
El Salvador,April,2026,1,0
El Salvador,May,2026,2,2
