Country,Month,Year,Events,Fatalities
France,January,2020,8,1
France,February,2020,7,0
France,March,2020,21,0
France,April,2020,43,2
France,May,2020,4,0
France,June,2020,15,0
France,July,2020,5,0
France,August,2020,1,0
France,September,2020,2,0
France,October,2020,10,6
France,November,2020,15,0
France,December,2020,7,0
France,January,2021,2,0
France,February,2021,14,0
France,March,2021,6,0
France,April,2021,22,3
France,May,2021,15,1
France,June,2021,8,0
France,July,2021,3,0
France,August,2021,5,0
France,September,2021,23,0
France,October,2021,9,0
France,November,2021,6,0
France,December,2021,16,0
France,January,2022,4,0
France,February,2022,7,0
France,March,2022,19,2
France,April,2022,17,2
France,May,2022,11,1
France,June,2022,7,1
France,July,2022,37,1
France,August,2022,15,3
France,September,2022,6,0
France,October,2022,9,1
France,November,2022,3,0
France,December,2022,8,3
France,January,2023,3,0
France,February,2023,1,0
France,March,2023,10,0
France,April,2023,5,0
France,May,2023,4,0
France,June,2023,12,2
France,July,2023,20,1
France,August,2023,0,0
France,September,2023,3,0
France,October,2023,2,1
France,November,2023,6,0
France,December,2023,6,1
France,January,2024,3,2
France,February,2024,2,0
France,March,2024,6,2
France,April,2024,4,0
France,May,2024,2,2
France,June,2024,13,1
France,July,2024,15,2
France,August,2024,5,1
France,September,2024,6,1
France,October,2024,4,0
France,November,2024,1,0
France,December,2024,2,0
France,January,2025,5,0
France,February,2025,7,1
France,March,2025,12,0
France,April,2025,11,2
France,May,2025,7,1
France,June,2025,4,0
France,July,2025,19,0
France,August,2025,11,4
France,September,2025,10,1
France,October,2025,3,0
France,November,2025,3,1
France,December,2025,3,0
France,January,2026,15,2
France,February,2026,7,1
France,March,2026,13,0
France,April,2026,12,0
France,May,2026,5,0
