Country,Month,Year,Events,Fatalities
Germany,January,2020,10,1
Germany,February,2020,13,11
Germany,March,2020,6,0
Germany,April,2020,6,1
Germany,May,2020,10,0
Germany,June,2020,14,0
Germany,July,2020,10,0
Germany,August,2020,12,0
Germany,September,2020,12,0
Germany,October,2020,8,1
Germany,November,2020,16,0
Germany,December,2020,2,0
Germany,January,2021,3,0
Germany,February,2021,2,0
Germany,March,2021,10,0
Germany,April,2021,4,0
Germany,May,2021,6,0
Germany,June,2021,7,3
Germany,July,2021,10,0
Germany,August,2021,5,0
Germany,September,2021,4,1
Germany,October,2021,4,0
Germany,November,2021,0,0
Germany,December,2021,2,5
Germany,January,2022,2,0
Germany,February,2022,2,0
Germany,March,2022,0,0
Germany,April,2022,0,0
Germany,May,2022,3,1
Germany,June,2022,2,0
Germany,July,2022,1,0
Germany,August,2022,2,0
Germany,September,2022,1,0
Germany,October,2022,5,0
Germany,November,2022,0,0
Germany,December,2022,0,0
Germany,January,2023,6,0
Germany,February,2023,2,0
Germany,March,2023,4,8
Germany,April,2023,2,0
Germany,May,2023,4,0
Germany,June,2023,2,0
Germany,July,2023,8,0
Germany,August,2023,10,0
Germany,September,2023,4,0
Germany,October,2023,4,0
Germany,November,2023,4,0
Germany,December,2023,2,0
Germany,January,2024,4,0
Germany,February,2024,7,0
Germany,March,2024,5,4
Germany,April,2024,3,0
Germany,May,2024,12,1
Germany,June,2024,5,0
Germany,July,2024,7,0
Germany,August,2024,2,3
Germany,September,2024,6,3
Germany,October,2024,4,0
Germany,November,2024,4,0
Germany,December,2024,7,6
Germany,January,2025,9,2
Germany,February,2025,5,2
Germany,March,2025,5,2
Germany,April,2025,7,0
Germany,May,2025,16,0
Germany,June,2025,3,1
Germany,July,2025,4,0
Germany,August,2025,9,0
Germany,September,2025,3,0
Germany,October,2025,4,0
Germany,November,2025,5,0
Germany,December,2025,3,0
Germany,January,2026,6,0
Germany,February,2026,5,0
Germany,March,2026,1,0
Germany,April,2026,0,0
Germany,May,2026,0,0
