Country,Month,Year,Events,Fatalities
Greece,January,2018,8,0
Greece,February,2018,17,2
Greece,March,2018,4,0
Greece,April,2018,3,0
Greece,May,2018,10,0
Greece,June,2018,8,0
Greece,July,2018,2,0
Greece,August,2018,2,0
Greece,September,2018,8,4
Greece,October,2018,4,3
Greece,November,2018,6,1
Greece,December,2018,12,0
Greece,January,2019,10,1
Greece,February,2019,23,1
Greece,March,2019,16,1
Greece,April,2019,20,0
Greece,May,2019,40,0
Greece,June,2019,27,0
Greece,July,2019,9,0
Greece,August,2019,10,1
Greece,September,2019,13,0
Greece,October,2019,13,0
Greece,November,2019,17,0
Greece,December,2019,14,1
Greece,January,2020,9,1
Greece,February,2020,16,1
Greece,March,2020,33,2
Greece,April,2020,9,0
Greece,May,2020,7,0
Greece,June,2020,5,1
Greece,July,2020,7,1
Greece,August,2020,3,0
Greece,September,2020,5,0
Greece,October,2020,5,0
Greece,November,2020,2,0
Greece,December,2020,6,0
Greece,January,2021,6,0
Greece,February,2021,14,0
Greece,March,2021,16,4
Greece,April,2021,5,1
Greece,May,2021,7,0
Greece,June,2021,7,0
Greece,July,2021,2,0
Greece,August,2021,3,0
Greece,September,2021,10,2
Greece,October,2021,18,0
Greece,November,2021,13,0
Greece,December,2021,10,0
Greece,January,2022,16,0
Greece,February,2022,11,0
Greece,March,2022,6,0
Greece,April,2022,9,1
Greece,May,2022,12,0
Greece,June,2022,9,0
Greece,July,2022,11,0
Greece,August,2022,2,0
Greece,September,2022,7,8
Greece,October,2022,10,0
Greece,November,2022,10,0
Greece,December,2022,13,1
Greece,January,2023,7,0
Greece,February,2023,4,0
Greece,March,2023,10,0
Greece,April,2023,14,0
Greece,May,2023,12,0
Greece,June,2023,15,0
Greece,July,2023,12,2
Greece,August,2023,9,1
Greece,September,2023,6,1
Greece,October,2023,9,0
Greece,November,2023,25,2
Greece,December,2023,6,0
Greece,January,2024,7,0
Greece,February,2024,11,0
Greece,March,2024,7,0
Greece,April,2024,13,0
Greece,May,2024,5,0
Greece,June,2024,6,0
Greece,July,2024,10,1
Greece,August,2024,3,0
Greece,September,2024,7,1
Greece,October,2024,6,0
Greece,November,2024,6,0
Greece,December,2024,12,0
Greece,January,2025,5,0
Greece,February,2025,9,2
Greece,March,2025,4,0
Greece,April,2025,12,0
Greece,May,2025,12,0
Greece,June,2025,3,0
Greece,July,2025,10,1
Greece,August,2025,4,0
Greece,September,2025,9,0
Greece,October,2025,13,2
Greece,November,2025,14,1
Greece,December,2025,8,0
Greece,January,2026,7,0
Greece,February,2026,5,0
Greece,March,2026,3,0
Greece,April,2026,7,0
Greece,May,2026,5,2
