Country,Month,Year,Events,Fatalities
Guatemala,January,2018,87,83
Guatemala,February,2018,71,62
Guatemala,March,2018,70,58
Guatemala,April,2018,74,72
Guatemala,May,2018,82,74
Guatemala,June,2018,67,61
Guatemala,July,2018,91,82
Guatemala,August,2018,95,90
Guatemala,September,2018,77,80
Guatemala,October,2018,61,46
Guatemala,November,2018,51,39
Guatemala,December,2018,55,53
Guatemala,January,2019,87,86
Guatemala,February,2019,65,65
Guatemala,March,2019,94,92
Guatemala,April,2019,105,92
Guatemala,May,2019,104,120
Guatemala,June,2019,138,110
Guatemala,July,2019,131,140
Guatemala,August,2019,109,107
Guatemala,September,2019,86,85
Guatemala,October,2019,86,80
Guatemala,November,2019,92,72
Guatemala,December,2019,73,65
Guatemala,January,2020,78,76
Guatemala,February,2020,56,44
Guatemala,March,2020,48,35
Guatemala,April,2020,48,36
Guatemala,May,2020,46,41
Guatemala,June,2020,55,46
Guatemala,July,2020,66,56
Guatemala,August,2020,59,43
Guatemala,September,2020,42,43
Guatemala,October,2020,72,62
Guatemala,November,2020,67,53
Guatemala,December,2020,48,36
Guatemala,January,2021,65,58
Guatemala,February,2021,62,50
Guatemala,March,2021,56,59
Guatemala,April,2021,62,56
Guatemala,May,2021,66,69
Guatemala,June,2021,54,56
Guatemala,July,2021,64,58
Guatemala,August,2021,63,68
Guatemala,September,2021,54,56
Guatemala,October,2021,58,56
Guatemala,November,2021,41,37
Guatemala,December,2021,52,62
Guatemala,January,2022,81,73
Guatemala,February,2022,67,60
Guatemala,March,2022,79,75
Guatemala,April,2022,57,46
Guatemala,May,2022,67,56
Guatemala,June,2022,64,66
Guatemala,July,2022,88,88
Guatemala,August,2022,80,68
Guatemala,September,2022,76,71
Guatemala,October,2022,63,72
Guatemala,November,2022,59,50
Guatemala,December,2022,57,47
Guatemala,January,2023,60,61
Guatemala,February,2023,41,46
Guatemala,March,2023,60,54
Guatemala,April,2023,69,59
Guatemala,May,2023,99,92
Guatemala,June,2023,119,97
Guatemala,July,2023,95,76
Guatemala,August,2023,128,122
Guatemala,September,2023,120,104
Guatemala,October,2023,117,113
Guatemala,November,2023,20,20
Guatemala,December,2023,21,33
Guatemala,January,2024,28,27
Guatemala,February,2024,9,8
Guatemala,March,2024,27,30
Guatemala,April,2024,49,57
Guatemala,May,2024,19,25
Guatemala,June,2024,23,33
Guatemala,July,2024,36,28
Guatemala,August,2024,26,30
Guatemala,September,2024,36,45
Guatemala,October,2024,65,87
Guatemala,November,2024,27,34
Guatemala,December,2024,29,21
Guatemala,January,2025,53,40
Guatemala,February,2025,45,41
Guatemala,March,2025,64,66
Guatemala,April,2025,52,49
Guatemala,May,2025,89,77
Guatemala,June,2025,72,63
Guatemala,July,2025,81,100
Guatemala,August,2025,80,67
Guatemala,September,2025,79,71
Guatemala,October,2025,74,71
Guatemala,November,2025,63,58
Guatemala,December,2025,61,92
Guatemala,January,2026,68,64
Guatemala,February,2026,53,56
Guatemala,March,2026,67,68
Guatemala,April,2026,86,94
Guatemala,May,2026,36,36
