Country,Month,Year,Events,Fatalities
Honduras,January,2018,60,58
Honduras,February,2018,63,75
Honduras,March,2018,59,68
Honduras,April,2018,54,55
Honduras,May,2018,44,52
Honduras,June,2018,57,69
Honduras,July,2018,68,98
Honduras,August,2018,58,65
Honduras,September,2018,46,54
Honduras,October,2018,48,57
Honduras,November,2018,74,77
Honduras,December,2018,64,61
Honduras,January,2019,23,37
Honduras,February,2019,32,42
Honduras,March,2019,30,34
Honduras,April,2019,64,82
Honduras,May,2019,72,83
Honduras,June,2019,94,124
Honduras,July,2019,70,66
Honduras,August,2019,105,122
Honduras,September,2019,67,72
Honduras,October,2019,106,94
Honduras,November,2019,96,125
Honduras,December,2019,74,129
Honduras,January,2020,91,93
Honduras,February,2020,78,71
Honduras,March,2020,53,55
Honduras,April,2020,40,49
Honduras,May,2020,42,55
Honduras,June,2020,43,57
Honduras,July,2020,68,80
Honduras,August,2020,44,50
Honduras,September,2020,38,53
Honduras,October,2020,62,58
Honduras,November,2020,45,50
Honduras,December,2020,56,56
Honduras,January,2021,57,60
Honduras,February,2021,51,65
Honduras,March,2021,41,49
Honduras,April,2021,47,50
Honduras,May,2021,64,81
Honduras,June,2021,69,77
Honduras,July,2021,62,66
Honduras,August,2021,38,40
Honduras,September,2021,55,65
Honduras,October,2021,42,50
Honduras,November,2021,55,57
Honduras,December,2021,45,50
Honduras,January,2022,58,75
Honduras,February,2022,35,41
Honduras,March,2022,52,65
Honduras,April,2022,49,47
Honduras,May,2022,56,53
Honduras,June,2022,49,55
Honduras,July,2022,54,72
Honduras,August,2022,49,55
Honduras,September,2022,44,52
Honduras,October,2022,50,59
Honduras,November,2022,62,61
Honduras,December,2022,52,60
Honduras,January,2023,45,49
Honduras,February,2023,48,63
Honduras,March,2023,49,62
Honduras,April,2023,53,44
Honduras,May,2023,66,72
Honduras,June,2023,74,147
Honduras,July,2023,44,41
Honduras,August,2023,30,29
Honduras,September,2023,40,46
Honduras,October,2023,35,39
Honduras,November,2023,28,34
Honduras,December,2023,23,28
Honduras,January,2024,44,51
Honduras,February,2024,34,38
Honduras,March,2024,44,48
Honduras,April,2024,22,21
Honduras,May,2024,47,60
Honduras,June,2024,39,45
Honduras,July,2024,35,41
Honduras,August,2024,34,42
Honduras,September,2024,31,35
Honduras,October,2024,39,42
Honduras,November,2024,30,35
Honduras,December,2024,40,38
Honduras,January,2025,48,49
Honduras,February,2025,37,48
Honduras,March,2025,39,48
Honduras,April,2025,42,50
Honduras,May,2025,49,61
Honduras,June,2025,43,53
Honduras,July,2025,46,49
Honduras,August,2025,34,25
Honduras,September,2025,34,34
Honduras,October,2025,43,42
Honduras,November,2025,39,48
Honduras,December,2025,49,54
Honduras,January,2026,47,41
Honduras,February,2026,46,45
Honduras,March,2026,39,44
Honduras,April,2026,54,57
Honduras,May,2026,31,32
