Country,Month,Year,Events,Fatalities
India,January,2016,153,105
India,February,2016,179,108
India,March,2016,129,108
India,April,2016,270,80
India,May,2016,223,131
India,June,2016,186,147
India,July,2016,247,181
India,August,2016,296,137
India,September,2016,313,153
India,October,2016,302,193
India,November,2016,232,155
India,December,2016,180,65
India,January,2017,201,105
India,February,2017,284,108
India,March,2017,244,111
India,April,2017,249,145
India,May,2017,274,152
India,June,2017,270,151
India,July,2017,217,97
India,August,2017,236,128
India,September,2017,197,94
India,October,2017,240,88
India,November,2017,150,89
India,December,2017,203,100
India,January,2018,311,151
India,February,2018,309,128
India,March,2018,304,174
India,April,2018,346,241
India,May,2018,421,249
India,June,2018,312,183
India,July,2018,263,139
India,August,2018,392,212
India,September,2018,403,153
India,October,2018,391,145
India,November,2018,393,182
India,December,2018,448,128
India,January,2019,362,104
India,February,2019,345,163
India,March,2019,458,112
India,April,2019,843,117
India,May,2019,811,155
India,June,2019,502,179
India,July,2019,440,152
India,August,2019,461,136
India,September,2019,341,96
India,October,2019,373,134
India,November,2019,221,66
India,December,2019,204,60
India,January,2020,198,62
India,February,2020,211,64
India,March,2020,282,100
India,April,2020,441,114
India,May,2020,313,113
India,June,2020,325,196
India,July,2020,242,109
India,August,2020,274,98
India,September,2020,260,112
India,October,2020,250,111
India,November,2020,250,107
India,December,2020,219,71
India,January,2021,188,60
India,February,2021,146,44
India,March,2021,185,92
India,April,2021,345,114
India,May,2021,281,114
India,June,2021,159,79
India,July,2021,153,92
India,August,2021,149,85
India,September,2021,112,44
India,October,2021,132,77
India,November,2021,137,105
India,December,2021,135,93
India,January,2022,178,88
India,February,2022,305,69
India,March,2022,288,118
India,April,2022,238,97
India,May,2022,188,99
India,June,2022,158,87
India,July,2022,162,45
India,August,2022,184,70
India,September,2022,205,55
India,October,2022,158,52
India,November,2022,127,60
India,December,2022,127,38
India,January,2023,151,49
India,February,2023,204,61
India,March,2023,205,48
India,April,2023,166,71
India,May,2023,333,163
India,June,2023,396,141
India,July,2023,483,180
India,August,2023,303,119
India,September,2023,303,91
India,October,2023,233,74
India,November,2023,321,94
India,December,2023,259,90
India,January,2024,286,100
India,February,2024,277,77
India,March,2024,269,73
India,April,2024,363,132
India,May,2024,440,109
India,June,2024,366,123
India,July,2024,298,126
India,August,2024,242,65
India,September,2024,269,92
India,October,2024,302,127
India,November,2024,282,82
India,December,2024,214,88
India,January,2025,199,104
India,February,2025,191,97
India,March,2025,257,124
India,April,2025,302,120
India,May,2025,409,181
India,June,2025,237,93
India,July,2025,273,87
India,August,2025,227,58
India,September,2025,224,75
India,October,2025,208,52
India,November,2025,161,81
India,December,2025,266,76
India,January,2026,215,83
India,February,2026,216,51
India,March,2026,242,48
India,April,2026,328,60
India,May,2026,189,35
