Country,Month,Year,Events,Fatalities
Indonesia,January,2015,22,13
Indonesia,February,2015,11,3
Indonesia,March,2015,17,14
Indonesia,April,2015,6,2
Indonesia,May,2015,21,10
Indonesia,June,2015,10,3
Indonesia,July,2015,12,9
Indonesia,August,2015,14,8
Indonesia,September,2015,9,7
Indonesia,October,2015,11,3
Indonesia,November,2015,11,5
Indonesia,December,2015,17,24
Indonesia,January,2016,12,13
Indonesia,February,2016,10,5
Indonesia,March,2016,8,10
Indonesia,April,2016,8,5
Indonesia,May,2016,16,3
Indonesia,June,2016,3,0
Indonesia,July,2016,6,4
Indonesia,August,2016,14,3
Indonesia,September,2016,5,1
Indonesia,October,2016,4,1
Indonesia,November,2016,4,1
Indonesia,December,2016,7,5
Indonesia,January,2017,5,3
Indonesia,February,2017,2,2
Indonesia,March,2017,4,2
Indonesia,April,2017,6,7
Indonesia,May,2017,18,18
Indonesia,June,2017,7,3
Indonesia,July,2017,4,2
Indonesia,August,2017,8,2
Indonesia,September,2017,7,0
Indonesia,October,2017,18,4
Indonesia,November,2017,12,5
Indonesia,December,2017,5,1
Indonesia,January,2018,14,2
Indonesia,February,2018,8,3
Indonesia,March,2018,7,0
Indonesia,April,2018,17,8
Indonesia,May,2018,18,53
Indonesia,June,2018,24,19
Indonesia,July,2018,16,25
Indonesia,August,2018,11,4
Indonesia,September,2018,7,4
Indonesia,October,2018,11,11
Indonesia,November,2018,10,7
Indonesia,December,2018,29,38
Indonesia,January,2019,14,4
Indonesia,February,2019,18,4
Indonesia,March,2019,20,22
Indonesia,April,2019,33,7
Indonesia,May,2019,21,3
Indonesia,June,2019,13,9
Indonesia,July,2019,19,12
Indonesia,August,2019,26,9
Indonesia,September,2019,21,37
Indonesia,October,2019,14,9
Indonesia,November,2019,19,8
Indonesia,December,2019,24,13
Indonesia,January,2020,19,3
Indonesia,February,2020,20,10
Indonesia,March,2020,21,17
Indonesia,April,2020,34,23
Indonesia,May,2020,31,10
Indonesia,June,2020,18,5
Indonesia,July,2020,22,5
Indonesia,August,2020,28,14
Indonesia,September,2020,28,18
Indonesia,October,2020,29,6
Indonesia,November,2020,14,14
Indonesia,December,2020,17,9
Indonesia,January,2021,16,20
Indonesia,February,2021,28,13
Indonesia,March,2021,17,9
Indonesia,April,2021,23,18
Indonesia,May,2021,38,17
Indonesia,June,2021,23,11
Indonesia,July,2021,36,4
Indonesia,August,2021,27,7
Indonesia,September,2021,37,17
Indonesia,October,2021,36,13
Indonesia,November,2021,23,5
Indonesia,December,2021,12,4
Indonesia,January,2022,20,14
Indonesia,February,2022,15,7
Indonesia,March,2022,21,16
Indonesia,April,2022,25,10
Indonesia,May,2022,22,10
Indonesia,June,2022,19,10
Indonesia,July,2022,17,19
Indonesia,August,2022,14,7
Indonesia,September,2022,25,9
Indonesia,October,2022,15,137
Indonesia,November,2022,21,9
Indonesia,December,2022,18,12
Indonesia,January,2023,25,10
Indonesia,February,2023,22,16
Indonesia,March,2023,25,19
Indonesia,April,2023,42,27
Indonesia,May,2023,28,9
Indonesia,June,2023,14,7
Indonesia,July,2023,36,18
Indonesia,August,2023,42,23
Indonesia,September,2023,35,32
Indonesia,October,2023,22,21
Indonesia,November,2023,24,26
Indonesia,December,2023,24,7
Indonesia,January,2024,29,18
Indonesia,February,2024,66,7
Indonesia,March,2024,45,7
Indonesia,April,2024,17,12
Indonesia,May,2024,37,11
Indonesia,June,2024,27,14
Indonesia,July,2024,26,13
Indonesia,August,2024,33,10
Indonesia,September,2024,38,17
Indonesia,October,2024,31,18
Indonesia,November,2024,62,15
Indonesia,December,2024,70,20
Indonesia,January,2025,28,10
Indonesia,February,2025,46,8
Indonesia,March,2025,52,18
Indonesia,April,2025,64,32
Indonesia,May,2025,80,27
Indonesia,June,2025,52,33
Indonesia,July,2025,53,21
Indonesia,August,2025,75,18
Indonesia,September,2025,34,21
Indonesia,October,2025,56,32
Indonesia,November,2025,36,13
Indonesia,December,2025,53,12
Indonesia,January,2026,53,8
Indonesia,February,2026,69,21
Indonesia,March,2026,100,24
Indonesia,April,2026,109,46
Indonesia,May,2026,27,8
