Country,Month,Year,Events,Fatalities
Iran,January,2016,5,5
Iran,February,2016,4,2
Iran,March,2016,8,8
Iran,April,2016,7,14
Iran,May,2016,9,16
Iran,June,2016,19,61
Iran,July,2016,14,33
Iran,August,2016,5,12
Iran,September,2016,6,45
Iran,October,2016,9,58
Iran,November,2016,7,6
Iran,December,2016,5,3
Iran,January,2017,3,0
Iran,February,2017,5,3
Iran,March,2017,6,9
Iran,April,2017,7,16
Iran,May,2017,11,10
Iran,June,2017,12,62
Iran,July,2017,8,12
Iran,August,2017,6,13
Iran,September,2017,4,1
Iran,October,2017,9,13
Iran,November,2017,1,18
Iran,December,2017,19,11
Iran,January,2018,12,19
Iran,February,2018,5,2
Iran,March,2018,6,5
Iran,April,2018,12,23
Iran,May,2018,16,14
Iran,June,2018,11,28
Iran,July,2018,17,34
Iran,August,2018,20,30
Iran,September,2018,8,43
Iran,October,2018,13,19
Iran,November,2018,10,9
Iran,December,2018,4,9
Iran,January,2019,4,4
Iran,February,2019,8,30
Iran,March,2019,3,1
Iran,April,2019,5,2
Iran,May,2019,7,2
Iran,June,2019,8,3
Iran,July,2019,11,15
Iran,August,2019,12,10
Iran,September,2019,14,6
Iran,October,2019,5,1
Iran,November,2019,1,0
Iran,December,2019,11,4
Iran,January,2020,11,181
Iran,February,2020,6,6
Iran,March,2020,19,36
Iran,April,2020,4,4
Iran,May,2020,15,25
Iran,June,2020,11,11
Iran,July,2020,22,25
Iran,August,2020,33,34
Iran,September,2020,24,31
Iran,October,2020,30,20
Iran,November,2020,22,16
Iran,December,2020,11,11
Iran,January,2021,8,4
Iran,February,2021,10,9
Iran,March,2021,10,7
Iran,April,2021,14,16
Iran,May,2021,28,29
Iran,June,2021,25,21
Iran,July,2021,25,20
Iran,August,2021,23,14
Iran,September,2021,20,17
Iran,October,2021,14,8
Iran,November,2021,14,17
Iran,December,2021,12,16
Iran,January,2022,18,22
Iran,February,2022,11,12
Iran,March,2022,18,11
Iran,April,2022,15,12
Iran,May,2022,14,15
Iran,June,2022,14,11
Iran,July,2022,22,27
Iran,August,2022,14,9
Iran,September,2022,33,23
Iran,October,2022,58,61
Iran,November,2022,56,66
Iran,December,2022,30,27
Iran,January,2023,17,13
Iran,February,2023,16,7
Iran,March,2023,19,26
Iran,April,2023,12,8
Iran,May,2023,22,19
Iran,June,2023,35,22
Iran,July,2023,20,22
Iran,August,2023,10,11
Iran,September,2023,16,17
Iran,October,2023,7,12
Iran,November,2023,15,13
Iran,December,2023,12,26
Iran,January,2024,28,135
Iran,February,2024,9,8
Iran,March,2024,15,13
Iran,April,2024,18,49
Iran,May,2024,7,5
Iran,June,2024,7,7
Iran,July,2024,8,9
Iran,August,2024,5,3
Iran,September,2024,16,17
Iran,October,2024,32,50
Iran,November,2024,9,35
Iran,December,2024,8,16
Iran,January,2025,9,6
Iran,February,2025,7,5
Iran,March,2025,9,10
Iran,April,2025,5,13
Iran,May,2025,8,1
Iran,June,2025,449,1076
Iran,July,2025,39,47
Iran,August,2025,21,38
Iran,September,2025,13,20
Iran,October,2025,28,18
Iran,November,2025,23,22
Iran,December,2025,8,19
Iran,January,2026,207,4980
Iran,February,2026,104,277
Iran,March,2026,2238,1136
Iran,April,2026,673,174
Iran,May,2026,21,30
