Country,Month,Year,Events,Fatalities
Ivory Coast,January,1997,1,2
Ivory Coast,February,1997,0,0
Ivory Coast,March,1997,3,15
Ivory Coast,April,1997,0,0
Ivory Coast,May,1997,0,0
Ivory Coast,June,1997,0,0
Ivory Coast,July,1997,0,0
Ivory Coast,August,1997,1,1
Ivory Coast,September,1997,0,0
Ivory Coast,October,1997,0,0
Ivory Coast,November,1997,1,0
Ivory Coast,December,1997,0,0
Ivory Coast,January,1998,0,0
Ivory Coast,February,1998,0,0
Ivory Coast,March,1998,0,0
Ivory Coast,April,1998,0,0
Ivory Coast,May,1998,1,1
Ivory Coast,June,1998,0,0
Ivory Coast,July,1998,1,1
Ivory Coast,August,1998,0,0
Ivory Coast,September,1998,3,4
Ivory Coast,October,1998,0,0
Ivory Coast,November,1998,0,0
Ivory Coast,December,1998,3,8
Ivory Coast,January,1999,0,0
Ivory Coast,February,1999,0,0
Ivory Coast,March,1999,0,0
Ivory Coast,April,1999,1,0
Ivory Coast,May,1999,0,0
Ivory Coast,June,1999,2,0
Ivory Coast,July,1999,0,0
Ivory Coast,August,1999,0,0
Ivory Coast,September,1999,2,1
Ivory Coast,October,1999,5,1
Ivory Coast,November,1999,5,3
Ivory Coast,December,1999,4,0
Ivory Coast,January,2000,0,0
Ivory Coast,February,2000,0,0
Ivory Coast,March,2000,1,0
Ivory Coast,April,2000,0,0
Ivory Coast,May,2000,2,1
Ivory Coast,June,2000,0,0
Ivory Coast,July,2000,6,2
Ivory Coast,August,2000,3,3
Ivory Coast,September,2000,10,16
Ivory Coast,October,2000,29,225
Ivory Coast,November,2000,0,0
Ivory Coast,December,2000,19,11
Ivory Coast,January,2001,5,6
Ivory Coast,February,2001,2,1
Ivory Coast,March,2001,6,3
Ivory Coast,April,2001,1,1
Ivory Coast,May,2001,3,6
Ivory Coast,June,2001,0,0
Ivory Coast,July,2001,1,0
Ivory Coast,August,2001,2,0
Ivory Coast,September,2001,1,0
Ivory Coast,October,2001,0,0
Ivory Coast,November,2001,0,0
Ivory Coast,December,2001,0,0
Ivory Coast,January,2002,0,0
Ivory Coast,February,2002,0,0
Ivory Coast,March,2002,0,0
Ivory Coast,April,2002,0,0
Ivory Coast,May,2002,0,0
Ivory Coast,June,2002,2,0
Ivory Coast,July,2002,3,5
Ivory Coast,August,2002,0,0
Ivory Coast,September,2002,30,21
Ivory Coast,October,2002,37,203
Ivory Coast,November,2002,11,40
Ivory Coast,December,2002,37,31
Ivory Coast,January,2003,32,101
Ivory Coast,February,2003,11,48
Ivory Coast,March,2003,14,268
Ivory Coast,April,2003,42,537
Ivory Coast,May,2003,11,163
Ivory Coast,June,2003,2,10
Ivory Coast,July,2003,3,13
Ivory Coast,August,2003,2,13
Ivory Coast,September,2003,2,11
Ivory Coast,October,2003,2,11
Ivory Coast,November,2003,8,26
Ivory Coast,December,2003,3,0
Ivory Coast,January,2004,1,6
Ivory Coast,February,2004,3,4
Ivory Coast,March,2004,5,128
Ivory Coast,April,2004,0,0
Ivory Coast,May,2004,2,0
Ivory Coast,June,2004,14,172
Ivory Coast,July,2004,0,0
Ivory Coast,August,2004,1,0
Ivory Coast,September,2004,0,0
Ivory Coast,October,2004,5,1
Ivory Coast,November,2004,27,117
Ivory Coast,December,2004,5,50
Ivory Coast,January,2005,0,0
Ivory Coast,February,2005,5,67
Ivory Coast,March,2005,0,0
Ivory Coast,April,2005,7,8
Ivory Coast,May,2005,4,21
Ivory Coast,June,2005,7,117
Ivory Coast,July,2005,6,9
Ivory Coast,August,2005,3,3
Ivory Coast,September,2005,1,0
Ivory Coast,October,2005,1,0
Ivory Coast,November,2005,0,0
Ivory Coast,December,2005,2,1
Ivory Coast,January,2006,8,22
Ivory Coast,February,2006,1,12
Ivory Coast,March,2006,0,0
Ivory Coast,April,2006,1,5
Ivory Coast,May,2006,0,0
Ivory Coast,June,2006,2,10
Ivory Coast,July,2006,1,2
Ivory Coast,August,2006,0,0
Ivory Coast,September,2006,0,0
Ivory Coast,October,2006,0,0
Ivory Coast,November,2006,2,5
Ivory Coast,December,2006,0,0
Ivory Coast,January,2007,1,3
Ivory Coast,February,2007,0,0
Ivory Coast,March,2007,0,0
Ivory Coast,April,2007,0,0
Ivory Coast,May,2007,0,0
Ivory Coast,June,2007,1,0
Ivory Coast,July,2007,0,0
Ivory Coast,August,2007,0,0
Ivory Coast,September,2007,0,0
Ivory Coast,October,2007,1,1
Ivory Coast,November,2007,0,0
Ivory Coast,December,2007,1,1
Ivory Coast,January,2008,0,0
Ivory Coast,February,2008,0,0
