Country,Month,Year,Events,Fatalities
Jamaica,January,2018,22,27
Jamaica,February,2018,19,18
Jamaica,March,2018,21,25
Jamaica,April,2018,21,20
Jamaica,May,2018,11,18
Jamaica,June,2018,13,17
Jamaica,July,2018,14,16
Jamaica,August,2018,21,20
Jamaica,September,2018,14,14
Jamaica,October,2018,14,21
Jamaica,November,2018,12,17
Jamaica,December,2018,10,11
Jamaica,January,2019,31,37
Jamaica,February,2019,25,27
Jamaica,March,2019,21,25
Jamaica,April,2019,23,27
Jamaica,May,2019,21,16
Jamaica,June,2019,24,24
Jamaica,July,2019,22,26
Jamaica,August,2019,18,24
Jamaica,September,2019,17,17
Jamaica,October,2019,14,9
Jamaica,November,2019,22,28
Jamaica,December,2019,17,21
Jamaica,January,2020,23,22
Jamaica,February,2020,23,23
Jamaica,March,2020,19,18
Jamaica,April,2020,21,22
Jamaica,May,2020,18,17
Jamaica,June,2020,24,23
Jamaica,July,2020,22,22
Jamaica,August,2020,11,14
Jamaica,September,2020,33,29
Jamaica,October,2020,28,29
Jamaica,November,2020,15,20
Jamaica,December,2020,21,27
Jamaica,January,2021,33,36
Jamaica,February,2021,23,22
Jamaica,March,2021,22,29
Jamaica,April,2021,21,22
Jamaica,May,2021,18,13
Jamaica,June,2021,31,27
Jamaica,July,2021,25,35
Jamaica,August,2021,19,24
Jamaica,September,2021,26,34
Jamaica,October,2021,17,16
Jamaica,November,2021,18,22
Jamaica,December,2021,29,22
Jamaica,January,2022,22,22
Jamaica,February,2022,23,21
Jamaica,March,2022,32,40
Jamaica,April,2022,25,26
Jamaica,May,2022,36,37
Jamaica,June,2022,35,42
Jamaica,July,2022,28,34
Jamaica,August,2022,45,39
Jamaica,September,2022,39,42
Jamaica,October,2022,41,35
Jamaica,November,2022,28,25
Jamaica,December,2022,26,25
Jamaica,January,2023,33,28
Jamaica,February,2023,32,23
Jamaica,March,2023,39,36
Jamaica,April,2023,35,32
Jamaica,May,2023,34,34
Jamaica,June,2023,37,36
Jamaica,July,2023,45,51
Jamaica,August,2023,36,33
Jamaica,September,2023,43,49
Jamaica,October,2023,35,43
Jamaica,November,2023,27,29
Jamaica,December,2023,31,29
Jamaica,January,2024,35,28
Jamaica,February,2024,27,18
Jamaica,March,2024,40,37
Jamaica,April,2024,25,19
Jamaica,May,2024,42,39
Jamaica,June,2024,29,34
Jamaica,July,2024,24,26
Jamaica,August,2024,27,34
Jamaica,September,2024,25,25
Jamaica,October,2024,33,37
Jamaica,November,2024,19,26
Jamaica,December,2024,22,24
Jamaica,January,2025,27,29
Jamaica,February,2025,24,23
Jamaica,March,2025,25,22
Jamaica,April,2025,32,29
Jamaica,May,2025,27,22
Jamaica,June,2025,24,24
Jamaica,July,2025,18,22
Jamaica,August,2025,18,17
Jamaica,September,2025,27,27
Jamaica,October,2025,20,27
Jamaica,November,2025,20,25
Jamaica,December,2025,18,24
Jamaica,January,2026,19,21
Jamaica,February,2026,30,32
Jamaica,March,2026,20,23
Jamaica,April,2026,30,34
Jamaica,May,2026,9,9
