Country,Month,Year,Events,Fatalities
Jordan,January,2016,2,12
Jordan,February,2016,2,0
Jordan,March,2016,1,8
Jordan,April,2016,1,3
Jordan,May,2016,0,0
Jordan,June,2016,4,16
Jordan,July,2016,0,0
Jordan,August,2016,0,0
Jordan,September,2016,3,1
Jordan,October,2016,1,1
Jordan,November,2016,2,0
Jordan,December,2016,3,24
Jordan,January,2017,2,12
Jordan,February,2017,1,0
Jordan,March,2017,1,0
Jordan,April,2017,4,4
Jordan,May,2017,6,14
Jordan,June,2017,0,0
Jordan,July,2017,3,5
Jordan,August,2017,1,0
Jordan,September,2017,0,0
Jordan,October,2017,0,0
Jordan,November,2017,0,0
Jordan,December,2017,0,0
Jordan,January,2018,11,1
Jordan,February,2018,9,1
Jordan,March,2018,13,2
Jordan,April,2018,6,0
Jordan,May,2018,19,2
Jordan,June,2018,6,1
Jordan,July,2018,7,1
Jordan,August,2018,5,4
Jordan,September,2018,5,1
Jordan,October,2018,2,1
Jordan,November,2018,9,5
Jordan,December,2018,3,1
Jordan,January,2019,4,3
Jordan,February,2019,4,5
Jordan,March,2019,4,2
Jordan,April,2019,4,1
Jordan,May,2019,3,2
Jordan,June,2019,5,1
Jordan,July,2019,6,4
Jordan,August,2019,4,2
Jordan,September,2019,8,1
Jordan,October,2019,4,1
Jordan,November,2019,5,1
Jordan,December,2019,5,1
Jordan,January,2020,3,0
Jordan,February,2020,6,1
Jordan,March,2020,8,3
Jordan,April,2020,3,2
Jordan,May,2020,3,0
Jordan,June,2020,2,0
Jordan,July,2020,5,1
Jordan,August,2020,5,0
Jordan,September,2020,4,1
Jordan,October,2020,2,0
Jordan,November,2020,5,3
Jordan,December,2020,3,0
Jordan,January,2021,1,0
Jordan,February,2021,3,0
Jordan,March,2021,9,0
Jordan,April,2021,2,2
Jordan,May,2021,2,0
Jordan,June,2021,0,0
Jordan,July,2021,4,3
Jordan,August,2021,4,2
Jordan,September,2021,0,0
Jordan,October,2021,1,1
Jordan,November,2021,2,1
Jordan,December,2021,0,0
Jordan,January,2022,0,0
Jordan,February,2022,1,0
Jordan,March,2022,2,0
Jordan,April,2022,0,0
Jordan,May,2022,1,0
Jordan,June,2022,2,0
Jordan,July,2022,7,4
Jordan,August,2022,4,1
Jordan,September,2022,2,1
Jordan,October,2022,5,1
Jordan,November,2022,5,1
Jordan,December,2022,7,5
Jordan,January,2023,2,0
Jordan,February,2023,0,0
Jordan,March,2023,7,2
Jordan,April,2023,4,0
Jordan,May,2023,0,0
Jordan,June,2023,3,3
Jordan,July,2023,3,1
Jordan,August,2023,1,0
Jordan,September,2023,2,1
Jordan,October,2023,1,0
Jordan,November,2023,1,0
Jordan,December,2023,0,0
Jordan,January,2024,1,3
Jordan,February,2024,0,0
Jordan,March,2024,0,0
Jordan,April,2024,0,0
Jordan,May,2024,1,0
Jordan,June,2024,0,0
Jordan,July,2024,3,0
Jordan,August,2024,1,0
Jordan,September,2024,2,0
Jordan,October,2024,0,0
Jordan,November,2024,0,0
Jordan,December,2024,0,0
Jordan,January,2025,0,0
Jordan,February,2025,0,0
Jordan,March,2025,0,0
Jordan,April,2025,1,0
Jordan,May,2025,0,0
Jordan,June,2025,2,0
Jordan,July,2025,0,0
Jordan,August,2025,1,2
Jordan,September,2025,1,2
Jordan,October,2025,3,3
Jordan,November,2025,1,2
Jordan,December,2025,0,0
Jordan,January,2026,0,0
Jordan,February,2026,10,1
Jordan,March,2026,15,0
Jordan,April,2026,6,0
Jordan,May,2026,0,0
