Country,Month,Year,Events,Fatalities
Kenya,January,1997,3,6
Kenya,February,1997,3,9
Kenya,March,1997,6,179
Kenya,April,1997,4,7
Kenya,May,1997,4,22
Kenya,June,1997,3,1
Kenya,July,1997,6,22
Kenya,August,1997,25,70
Kenya,September,1997,16,97
Kenya,October,1997,10,29
Kenya,November,1997,14,16
Kenya,December,1997,12,12
Kenya,January,1998,21,7
Kenya,February,1998,3,0
Kenya,March,1998,3,2
Kenya,April,1998,14,6
Kenya,May,1998,6,2
Kenya,June,1998,1,0
Kenya,July,1998,4,85
Kenya,August,1998,3,225
Kenya,September,1998,5,2
Kenya,October,1998,28,286
Kenya,November,1998,3,0
Kenya,December,1998,5,0
Kenya,January,1999,18,12
Kenya,February,1999,12,8
Kenya,March,1999,12,104
Kenya,April,1999,7,1
Kenya,May,1999,11,2
Kenya,June,1999,10,21
Kenya,July,1999,13,0
Kenya,August,1999,15,159
Kenya,September,1999,4,1
Kenya,October,1999,10,3
Kenya,November,1999,12,13
Kenya,December,1999,10,15
Kenya,January,2000,7,28
Kenya,February,2000,11,93
Kenya,March,2000,8,22
Kenya,April,2000,17,72
Kenya,May,2000,12,37
Kenya,June,2000,13,42
Kenya,July,2000,7,70
Kenya,August,2000,23,17
Kenya,September,2000,7,19
Kenya,October,2000,20,17
Kenya,November,2000,12,13
Kenya,December,2000,9,13
Kenya,January,2001,21,59
Kenya,February,2001,12,56
Kenya,March,2001,28,135
Kenya,April,2001,8,17
Kenya,May,2001,9,20
Kenya,June,2001,6,23
Kenya,July,2001,23,37
Kenya,August,2001,6,10
Kenya,September,2001,12,87
Kenya,October,2001,4,8
Kenya,November,2001,10,46
Kenya,December,2001,10,140
Kenya,January,2002,14,31
Kenya,February,2002,8,11
Kenya,March,2002,13,96
Kenya,April,2002,5,6
Kenya,May,2002,8,4
Kenya,June,2002,7,18
Kenya,July,2002,16,58
Kenya,August,2002,6,6
Kenya,September,2002,29,94
Kenya,October,2002,20,21
Kenya,November,2002,20,54
Kenya,December,2002,22,25
Kenya,January,2003,19,29
Kenya,February,2003,8,7
Kenya,March,2003,7,12
Kenya,April,2003,5,6
Kenya,May,2003,4,9
Kenya,June,2003,12,32
Kenya,July,2003,10,26
Kenya,August,2003,6,15
Kenya,September,2003,3,19
Kenya,October,2003,5,3
Kenya,November,2003,8,11
Kenya,December,2003,5,0
Kenya,January,2004,5,13
Kenya,February,2004,8,49
Kenya,March,2004,5,2
Kenya,April,2004,5,17
Kenya,May,2004,2,4
Kenya,June,2004,8,3
Kenya,July,2004,7,74
Kenya,August,2004,6,13
Kenya,September,2004,7,1
Kenya,October,2004,4,3
Kenya,November,2004,5,3
Kenya,December,2004,8,0
Kenya,January,2005,29,57
Kenya,February,2005,9,7
Kenya,March,2005,9,59
Kenya,April,2005,16,63
Kenya,May,2005,11,15
Kenya,June,2005,5,9
Kenya,July,2005,20,121
Kenya,August,2005,3,4
Kenya,September,2005,0,0
Kenya,October,2005,5,4
Kenya,November,2005,8,5
Kenya,December,2005,3,6
Kenya,January,2006,7,37
Kenya,February,2006,4,6
Kenya,March,2006,7,11
Kenya,April,2006,10,10
Kenya,May,2006,9,20
Kenya,June,2006,6,26
Kenya,July,2006,12,28
Kenya,August,2006,11,38
Kenya,September,2006,9,13
Kenya,October,2006,4,19
Kenya,November,2006,12,16
Kenya,December,2006,6,32
Kenya,January,2007,14,37
Kenya,February,2007,4,5
Kenya,March,2007,5,7
Kenya,April,2007,15,43
Kenya,May,2007,25,150
Kenya,June,2007,35,123
Kenya,July,2007,22,83
Kenya,August,2007,19,50
Kenya,September,2007,7,14
Kenya,October,2007,4,3
Kenya,November,2007,37,21
Kenya,December,2007,83,168
Kenya,January,2008,161,539
Kenya,February,2008,7,28
Kenya,March,2008,30,146
Kenya,April,2008,10,28
Kenya,May,2008,9,25
Kenya,June,2008,6,6
Kenya,July,2008,4,92
Kenya,August,2008,10,156
Kenya,September,2008,10,41
Kenya,October,2008,7,21
Kenya,November,2008,10,10
Kenya,December,2008,7,5
Kenya,January,2009,8,31
Kenya,February,2009,2,5
Kenya,March,2009,2,3
Kenya,April,2009,7,29
Kenya,May,2009,3,4
Kenya,June,2009,6,5
Kenya,July,2009,9,4
Kenya,August,2009,11,52
Kenya,September,2009,8,0
Kenya,October,2009,18,40
Kenya,November,2009,10,2
Kenya,December,2009,12,5
Kenya,January,2010,12,20
Kenya,February,2010,8,5
Kenya,March,2010,3,10
Kenya,April,2010,3,2
Kenya,May,2010,5,4
Kenya,June,2010,11,20
Kenya,July,2010,6,10
Kenya,August,2010,4,10
Kenya,September,2010,5,4
Kenya,October,2010,9,34
Kenya,November,2010,12,23
Kenya,December,2010,22,69
Kenya,January,2011,15,17
Kenya,February,2011,18,10
Kenya,March,2011,11,15
Kenya,April,2011,3,4
Kenya,May,2011,11,67
Kenya,June,2011,13,37
Kenya,July,2011,2,4
Kenya,August,2011,1,1
Kenya,September,2011,1,1
Kenya,October,2011,10,13
Kenya,November,2011,13,36
Kenya,December,2011,9,7
Kenya,January,2012,18,34
Kenya,February,2012,28,19
Kenya,March,2012,13,27
Kenya,April,2012,7,5
Kenya,May,2012,13,11
Kenya,June,2012,22,10
Kenya,July,2012,20,33
Kenya,August,2012,21,93
Kenya,September,2012,26,76
Kenya,October,2012,29,39
Kenya,November,2012,25,83
Kenya,December,2012,27,80
Kenya,January,2013,46,57
Kenya,February,2013,38,43
Kenya,March,2013,50,62
Kenya,April,2013,36,46
Kenya,May,2013,35,63
Kenya,June,2013,26,63
