Country,Month,Year,Events,Fatalities
Kyrgyzstan,January,2018,0,0
Kyrgyzstan,February,2018,3,0
Kyrgyzstan,March,2018,2,0
Kyrgyzstan,April,2018,6,1
Kyrgyzstan,May,2018,4,0
Kyrgyzstan,June,2018,2,0
Kyrgyzstan,July,2018,1,0
Kyrgyzstan,August,2018,2,0
Kyrgyzstan,September,2018,2,0
Kyrgyzstan,October,2018,3,1
Kyrgyzstan,November,2018,7,2
Kyrgyzstan,December,2018,5,0
Kyrgyzstan,January,2019,2,0
Kyrgyzstan,February,2019,3,0
Kyrgyzstan,March,2019,2,2
Kyrgyzstan,April,2019,5,0
Kyrgyzstan,May,2019,9,0
Kyrgyzstan,June,2019,5,0
Kyrgyzstan,July,2019,5,1
Kyrgyzstan,August,2019,12,1
Kyrgyzstan,September,2019,4,4
Kyrgyzstan,October,2019,0,0
Kyrgyzstan,November,2019,1,0
Kyrgyzstan,December,2019,2,0
Kyrgyzstan,January,2020,6,0
Kyrgyzstan,February,2020,1,0
Kyrgyzstan,March,2020,2,0
Kyrgyzstan,April,2020,3,0
Kyrgyzstan,May,2020,6,0
Kyrgyzstan,June,2020,4,0
Kyrgyzstan,July,2020,4,0
Kyrgyzstan,August,2020,3,0
Kyrgyzstan,September,2020,7,0
Kyrgyzstan,October,2020,10,1
Kyrgyzstan,November,2020,2,0
Kyrgyzstan,December,2020,1,0
Kyrgyzstan,January,2021,2,0
Kyrgyzstan,February,2021,2,0
Kyrgyzstan,March,2021,4,0
Kyrgyzstan,April,2021,23,31
Kyrgyzstan,May,2021,10,0
Kyrgyzstan,June,2021,3,0
Kyrgyzstan,July,2021,7,0
Kyrgyzstan,August,2021,6,1
Kyrgyzstan,September,2021,4,0
Kyrgyzstan,October,2021,5,0
Kyrgyzstan,November,2021,2,0
Kyrgyzstan,December,2021,8,0
Kyrgyzstan,January,2022,1,0
Kyrgyzstan,February,2022,2,0
Kyrgyzstan,March,2022,5,0
Kyrgyzstan,April,2022,5,1
Kyrgyzstan,May,2022,2,3
Kyrgyzstan,June,2022,6,0
Kyrgyzstan,July,2022,2,0
Kyrgyzstan,August,2022,7,0
Kyrgyzstan,September,2022,23,64
Kyrgyzstan,October,2022,3,0
Kyrgyzstan,November,2022,3,0
Kyrgyzstan,December,2022,3,0
Kyrgyzstan,January,2023,4,0
Kyrgyzstan,February,2023,3,0
Kyrgyzstan,March,2023,7,0
Kyrgyzstan,April,2023,4,0
Kyrgyzstan,May,2023,2,0
Kyrgyzstan,June,2023,5,0
Kyrgyzstan,July,2023,2,0
Kyrgyzstan,August,2023,4,0
Kyrgyzstan,September,2023,2,0
Kyrgyzstan,October,2023,8,1
Kyrgyzstan,November,2023,2,0
Kyrgyzstan,December,2023,4,1
Kyrgyzstan,January,2024,2,0
Kyrgyzstan,February,2024,0,0
Kyrgyzstan,March,2024,6,0
Kyrgyzstan,April,2024,4,0
Kyrgyzstan,May,2024,7,0
Kyrgyzstan,June,2024,3,0
Kyrgyzstan,July,2024,0,0
Kyrgyzstan,August,2024,2,1
Kyrgyzstan,September,2024,4,0
Kyrgyzstan,October,2024,3,0
Kyrgyzstan,November,2024,3,0
Kyrgyzstan,December,2024,2,0
Kyrgyzstan,January,2025,7,0
Kyrgyzstan,February,2025,1,0
Kyrgyzstan,March,2025,3,0
Kyrgyzstan,April,2025,9,2
Kyrgyzstan,May,2025,1,0
Kyrgyzstan,June,2025,3,0
Kyrgyzstan,July,2025,2,0
Kyrgyzstan,August,2025,4,1
Kyrgyzstan,September,2025,4,0
Kyrgyzstan,October,2025,2,1
Kyrgyzstan,November,2025,7,1
Kyrgyzstan,December,2025,4,0
Kyrgyzstan,January,2026,4,1
Kyrgyzstan,February,2026,1,0
Kyrgyzstan,March,2026,0,0
Kyrgyzstan,April,2026,1,0
Kyrgyzstan,May,2026,2,0
