Country,Month,Year,Events,Fatalities
Liberia,January,1997,1,0
Liberia,February,1997,0,0
Liberia,March,1997,0,0
Liberia,April,1997,0,0
Liberia,May,1997,0,0
Liberia,June,1997,7,0
Liberia,July,1997,1,0
Liberia,August,1997,0,0
Liberia,September,1997,0,0
Liberia,October,1997,0,0
Liberia,November,1997,1,0
Liberia,December,1997,1,2
Liberia,January,1998,0,0
Liberia,February,1998,0,0
Liberia,March,1998,1,0
Liberia,April,1998,1,1
Liberia,May,1998,1,2
Liberia,June,1998,2,0
Liberia,July,1998,7,85
Liberia,August,1998,1,2
Liberia,September,1998,3,11
Liberia,October,1998,0,0
Liberia,November,1998,0,0
Liberia,December,1998,1,1
Liberia,January,1999,0,0
Liberia,February,1999,0,0
Liberia,March,1999,1,0
Liberia,April,1999,6,40
Liberia,May,1999,0,0
Liberia,June,1999,0,0
Liberia,July,1999,0,0
Liberia,August,1999,30,489
Liberia,September,1999,0,0
Liberia,October,1999,0,0
Liberia,November,1999,0,0
Liberia,December,1999,0,0
Liberia,January,2000,0,0
Liberia,February,2000,7,0
Liberia,March,2000,0,0
Liberia,April,2000,0,0
Liberia,May,2000,0,0
Liberia,June,2000,0,0
Liberia,July,2000,17,42
Liberia,August,2000,14,0
Liberia,September,2000,18,0
Liberia,October,2000,14,0
Liberia,November,2000,5,0
Liberia,December,2000,5,1
Liberia,January,2001,5,0
Liberia,February,2001,16,0
Liberia,March,2001,8,0
Liberia,April,2001,47,1
Liberia,May,2001,16,1
Liberia,June,2001,9,2
Liberia,July,2001,7,23
Liberia,August,2001,3,0
Liberia,September,2001,2,0
Liberia,October,2001,1,0
Liberia,November,2001,15,0
Liberia,December,2001,37,28
Liberia,January,2002,4,0
Liberia,February,2002,13,0
Liberia,March,2002,4,15
Liberia,April,2002,15,12
Liberia,May,2002,32,9
Liberia,June,2002,10,0
Liberia,July,2002,20,0
Liberia,August,2002,12,0
Liberia,September,2002,12,0
Liberia,October,2002,7,0
Liberia,November,2002,3,0
Liberia,December,2002,6,0
Liberia,January,2003,14,0
Liberia,February,2003,17,0
Liberia,March,2003,27,5
Liberia,April,2003,21,0
Liberia,May,2003,23,56
Liberia,June,2003,28,263
Liberia,July,2003,27,0
Liberia,August,2003,38,0
Liberia,September,2003,4,0
Liberia,October,2003,17,0
Liberia,November,2003,10,0
Liberia,December,2003,3,0
Liberia,January,2004,2,0
Liberia,February,2004,1,0
Liberia,March,2004,0,0
Liberia,April,2004,0,0
Liberia,May,2004,3,2
Liberia,June,2004,3,1
Liberia,July,2004,0,0
Liberia,August,2004,3,0
Liberia,September,2004,0,0
Liberia,October,2004,0,0
Liberia,November,2004,4,16
Liberia,December,2004,1,0
