Country,Month,Year,Events,Fatalities
Mexico,January,2018,646,848
Mexico,February,2018,600,767
Mexico,March,2018,630,759
Mexico,April,2018,574,709
Mexico,May,2018,669,756
Mexico,June,2018,607,681
Mexico,July,2018,702,850
Mexico,August,2018,734,952
Mexico,September,2018,724,789
Mexico,October,2018,840,883
Mexico,November,2018,668,731
Mexico,December,2018,711,865
Mexico,January,2019,758,991
Mexico,February,2019,827,994
Mexico,March,2019,579,699
Mexico,April,2019,643,778
Mexico,May,2019,596,659
Mexico,June,2019,634,741
Mexico,July,2019,635,761
Mexico,August,2019,657,785
Mexico,September,2019,640,697
Mexico,October,2019,678,790
Mexico,November,2019,641,780
Mexico,December,2019,523,567
Mexico,January,2020,630,721
Mexico,February,2020,611,710
Mexico,March,2020,602,693
Mexico,April,2020,621,674
Mexico,May,2020,729,844
Mexico,June,2020,650,816
Mexico,July,2020,631,723
Mexico,August,2020,597,668
Mexico,September,2020,545,622
Mexico,October,2020,487,646
Mexico,November,2020,602,629
Mexico,December,2020,560,641
Mexico,January,2021,652,795
Mexico,February,2021,584,676
Mexico,March,2021,661,725
Mexico,April,2021,655,723
Mexico,May,2021,680,641
Mexico,June,2021,708,769
Mexico,July,2021,624,730
Mexico,August,2021,531,644
Mexico,September,2021,530,661
Mexico,October,2021,597,645
Mexico,November,2021,576,667
Mexico,December,2021,573,591
Mexico,January,2022,615,680
Mexico,February,2022,547,604
Mexico,March,2022,573,649
Mexico,April,2022,561,611
Mexico,May,2022,664,748
Mexico,June,2022,640,732
Mexico,July,2022,570,614
Mexico,August,2022,624,651
Mexico,September,2022,548,625
Mexico,October,2022,651,709
Mexico,November,2022,582,599
Mexico,December,2022,557,614
Mexico,January,2023,624,697
Mexico,February,2023,509,550
Mexico,March,2023,551,600
Mexico,April,2023,554,619
Mexico,May,2023,621,658
Mexico,June,2023,533,555
Mexico,July,2023,635,707
Mexico,August,2023,641,700
Mexico,September,2023,552,594
Mexico,October,2023,537,545
Mexico,November,2023,474,479
Mexico,December,2023,474,531
Mexico,January,2024,503,601
Mexico,February,2024,537,633
Mexico,March,2024,544,627
Mexico,April,2024,629,656
Mexico,May,2024,650,696
Mexico,June,2024,703,753
Mexico,July,2024,705,733
Mexico,August,2024,632,663
Mexico,September,2024,646,745
Mexico,October,2024,783,866
Mexico,November,2024,671,762
Mexico,December,2024,602,610
Mexico,January,2025,721,672
Mexico,February,2025,695,703
Mexico,March,2025,664,730
Mexico,April,2025,729,708
Mexico,May,2025,680,707
Mexico,June,2025,767,776
Mexico,July,2025,724,709
Mexico,August,2025,669,660
Mexico,September,2025,624,609
Mexico,October,2025,648,640
Mexico,November,2025,576,589
Mexico,December,2025,535,581
Mexico,January,2026,615,609
Mexico,February,2026,574,535
Mexico,March,2026,576,533
Mexico,April,2026,606,575
Mexico,May,2026,296,308
