Country,Month,Year,Events,Fatalities
Nepal,January,2010,11,6
Nepal,February,2010,17,7
Nepal,March,2010,18,6
Nepal,April,2010,26,4
Nepal,May,2010,38,3
Nepal,June,2010,12,3
Nepal,July,2010,14,5
Nepal,August,2010,2,0
Nepal,September,2010,2,0
Nepal,October,2010,9,2
Nepal,November,2010,7,2
Nepal,December,2010,10,2
Nepal,January,2011,11,2
Nepal,February,2011,4,1
Nepal,March,2011,14,0
Nepal,April,2011,18,5
Nepal,May,2011,3,1
Nepal,June,2011,4,0
Nepal,July,2011,6,2
Nepal,August,2011,8,0
Nepal,September,2011,12,3
Nepal,October,2011,1,0
Nepal,November,2011,6,0
Nepal,December,2011,10,0
Nepal,January,2012,8,1
Nepal,February,2012,6,3
Nepal,March,2012,7,2
Nepal,April,2012,8,5
Nepal,May,2012,10,1
Nepal,June,2012,10,0
Nepal,July,2012,9,1
Nepal,August,2012,6,2
Nepal,September,2012,6,0
Nepal,October,2012,2,0
Nepal,November,2012,2,0
Nepal,December,2012,10,1
Nepal,January,2013,10,1
Nepal,February,2013,10,0
Nepal,March,2013,21,2
Nepal,April,2013,10,0
Nepal,May,2013,5,0
Nepal,June,2013,5,0
Nepal,July,2013,3,0
Nepal,August,2013,6,0
Nepal,September,2013,4,0
Nepal,October,2013,52,0
Nepal,November,2013,98,1
Nepal,December,2013,4,0
Nepal,January,2014,5,0
Nepal,February,2014,4,1
Nepal,March,2014,2,0
Nepal,April,2014,4,1
Nepal,May,2014,2,0
Nepal,June,2014,4,0
Nepal,July,2014,8,3
Nepal,August,2014,2,0
Nepal,September,2014,2,0
Nepal,October,2014,1,0
Nepal,November,2014,0,0
Nepal,December,2014,2,0
Nepal,January,2015,13,2
Nepal,February,2015,2,0
Nepal,March,2015,5,0
Nepal,April,2015,2,0
Nepal,May,2015,0,0
Nepal,June,2015,0,0
Nepal,July,2015,4,0
Nepal,August,2015,16,3
Nepal,September,2015,20,8
Nepal,October,2015,4,0
Nepal,November,2015,27,1
Nepal,December,2015,16,0
Nepal,January,2016,8,4
Nepal,February,2016,11,2
Nepal,March,2016,2,0
Nepal,April,2016,1,0
Nepal,May,2016,2,0
Nepal,June,2016,7,0
Nepal,July,2016,4,0
Nepal,August,2016,0,0
Nepal,September,2016,2,0
Nepal,October,2016,0,0
Nepal,November,2016,1,0
Nepal,December,2016,8,2
Nepal,January,2017,3,0
Nepal,February,2017,13,0
Nepal,March,2017,16,2
Nepal,April,2017,10,0
Nepal,May,2017,24,3
Nepal,June,2017,24,1
Nepal,July,2017,4,0
Nepal,August,2017,6,0
Nepal,September,2017,14,3
Nepal,October,2017,3,2
Nepal,November,2017,85,1
Nepal,December,2017,28,0
Nepal,January,2018,29,2
Nepal,February,2018,36,0
Nepal,March,2018,32,1
Nepal,April,2018,41,0
Nepal,May,2018,28,0
Nepal,June,2018,15,0
Nepal,July,2018,16,2
Nepal,August,2018,31,4
Nepal,September,2018,15,2
Nepal,October,2018,23,2
Nepal,November,2018,29,4
Nepal,December,2018,24,1
Nepal,January,2019,18,5
Nepal,February,2019,26,1
Nepal,March,2019,36,2
Nepal,April,2019,36,1
Nepal,May,2019,59,18
Nepal,June,2019,57,3
Nepal,July,2019,59,4
Nepal,August,2019,57,3
Nepal,September,2019,59,2
Nepal,October,2019,33,2
Nepal,November,2019,35,1
Nepal,December,2019,31,5
Nepal,January,2020,31,1
Nepal,February,2020,31,2
Nepal,March,2020,39,1
Nepal,April,2020,77,5
Nepal,May,2020,65,7
Nepal,June,2020,42,1
Nepal,July,2020,35,5
Nepal,August,2020,59,3
Nepal,September,2020,32,1
Nepal,October,2020,22,6
Nepal,November,2020,12,1
Nepal,December,2020,17,2
Nepal,January,2021,21,2
Nepal,February,2021,8,0
Nepal,March,2021,15,1
Nepal,April,2021,21,2
Nepal,May,2021,33,1
Nepal,June,2021,24,0
Nepal,July,2021,15,0
Nepal,August,2021,13,0
Nepal,September,2021,22,0
Nepal,October,2021,11,0
Nepal,November,2021,18,0
Nepal,December,2021,9,0
Nepal,January,2022,6,0
Nepal,February,2022,4,0
Nepal,March,2022,9,1
Nepal,April,2022,18,1
Nepal,May,2022,221,4
Nepal,June,2022,13,0
Nepal,July,2022,14,0
Nepal,August,2022,8,0
Nepal,September,2022,13,1
Nepal,October,2022,14,2
Nepal,November,2022,79,3
Nepal,December,2022,14,1
Nepal,January,2023,9,0
Nepal,February,2023,12,0
Nepal,March,2023,10,0
Nepal,April,2023,16,1
Nepal,May,2023,14,0
Nepal,June,2023,21,0
Nepal,July,2023,23,0
Nepal,August,2023,19,0
Nepal,September,2023,21,0
Nepal,October,2023,7,0
Nepal,November,2023,15,1
Nepal,December,2023,12,1
Nepal,January,2024,12,1
Nepal,February,2024,18,0
Nepal,March,2024,14,0
Nepal,April,2024,11,0
Nepal,May,2024,18,0
Nepal,June,2024,13,0
Nepal,July,2024,15,1
Nepal,August,2024,9,2
Nepal,September,2024,4,0
Nepal,October,2024,14,1
Nepal,November,2024,11,0
Nepal,December,2024,8,0
Nepal,January,2025,5,0
Nepal,February,2025,12,1
Nepal,March,2025,13,0
Nepal,April,2025,11,0
Nepal,May,2025,11,0
Nepal,June,2025,14,0
Nepal,July,2025,18,1
Nepal,August,2025,20,1
Nepal,September,2025,25,10
Nepal,October,2025,10,1
Nepal,November,2025,3,0
Nepal,December,2025,5,0
Nepal,January,2026,7,1
Nepal,February,2026,18,1
Nepal,March,2026,20,2
Nepal,April,2026,15,1
Nepal,May,2026,5,0
