Country,Month,Year,Events,Fatalities
Pakistan,January,2010,180,715
Pakistan,February,2010,179,573
Pakistan,March,2010,286,1064
Pakistan,April,2010,247,964
Pakistan,May,2010,114,1046
Pakistan,June,2010,118,664
Pakistan,July,2010,98,901
Pakistan,August,2010,87,305
Pakistan,September,2010,122,638
Pakistan,October,2010,136,399
Pakistan,November,2010,87,306
Pakistan,December,2010,115,533
Pakistan,January,2011,100,304
Pakistan,February,2011,130,277
Pakistan,March,2011,168,488
Pakistan,April,2011,162,555
Pakistan,May,2011,76,506
Pakistan,June,2011,127,477
Pakistan,July,2011,88,377
Pakistan,August,2011,79,366
Pakistan,September,2011,52,284
Pakistan,October,2011,69,189
Pakistan,November,2011,59,282
Pakistan,December,2011,128,427
Pakistan,January,2012,170,639
Pakistan,February,2012,204,676
Pakistan,March,2012,208,931
Pakistan,April,2012,148,316
Pakistan,May,2012,199,443
Pakistan,June,2012,230,604
Pakistan,July,2012,177,539
Pakistan,August,2012,213,619
Pakistan,September,2012,100,288
Pakistan,October,2012,127,295
Pakistan,November,2012,218,409
Pakistan,December,2012,140,313
Pakistan,January,2013,213,651
Pakistan,February,2013,133,468
Pakistan,March,2013,139,395
Pakistan,April,2013,115,309
Pakistan,May,2013,216,508
Pakistan,June,2013,142,419
Pakistan,July,2013,128,382
Pakistan,August,2013,151,223
Pakistan,September,2013,155,566
Pakistan,October,2013,98,152
Pakistan,November,2013,122,219
Pakistan,December,2013,108,174
Pakistan,January,2014,121,348
Pakistan,February,2014,106,403
Pakistan,March,2014,95,195
Pakistan,April,2014,165,480
Pakistan,May,2014,147,294
Pakistan,June,2014,260,920
Pakistan,July,2014,77,305
Pakistan,August,2014,185,348
Pakistan,September,2014,156,513
Pakistan,October,2014,165,560
Pakistan,November,2014,119,440
Pakistan,December,2014,101,597
Pakistan,January,2015,133,458
Pakistan,February,2015,137,298
Pakistan,March,2015,132,595
Pakistan,April,2015,160,492
Pakistan,May,2015,263,677
Pakistan,June,2015,113,392
Pakistan,July,2015,83,201
Pakistan,August,2015,107,439
Pakistan,September,2015,95,253
Pakistan,October,2015,100,281
Pakistan,November,2015,116,162
Pakistan,December,2015,90,237
Pakistan,January,2016,82,229
Pakistan,February,2016,85,265
Pakistan,March,2016,87,297
Pakistan,April,2016,74,179
Pakistan,May,2016,86,134
Pakistan,June,2016,90,139
Pakistan,July,2016,80,101
Pakistan,August,2016,67,238
Pakistan,September,2016,81,134
Pakistan,October,2016,86,199
Pakistan,November,2016,94,220
Pakistan,December,2016,54,70
Pakistan,January,2017,70,79
Pakistan,February,2017,109,435
Pakistan,March,2017,100,163
Pakistan,April,2017,57,121
Pakistan,May,2017,85,128
Pakistan,June,2017,43,161
Pakistan,July,2017,69,158
Pakistan,August,2017,60,132
Pakistan,September,2017,50,76
Pakistan,October,2017,59,104
Pakistan,November,2017,46,75
Pakistan,December,2017,39,81
Pakistan,January,2018,62,86
Pakistan,February,2018,34,55
Pakistan,March,2018,47,59
Pakistan,April,2018,50,56
Pakistan,May,2018,68,79
Pakistan,June,2018,84,95
Pakistan,July,2018,164,301
Pakistan,August,2018,99,95
Pakistan,September,2018,81,97
Pakistan,October,2018,125,105
Pakistan,November,2018,77,101
Pakistan,December,2018,87,83
Pakistan,January,2019,107,95
Pakistan,February,2019,66,57
Pakistan,March,2019,101,98
Pakistan,April,2019,108,110
Pakistan,May,2019,123,182
Pakistan,June,2019,118,108
Pakistan,July,2019,110,102
Pakistan,August,2019,100,86
Pakistan,September,2019,92,82
Pakistan,October,2019,87,66
Pakistan,November,2019,78,72
Pakistan,December,2019,66,86
Pakistan,January,2020,37,69
Pakistan,February,2020,49,106
Pakistan,March,2020,40,78
Pakistan,April,2020,57,120
Pakistan,May,2020,53,54
Pakistan,June,2020,48,76
Pakistan,July,2020,74,112
Pakistan,August,2020,55,43
Pakistan,September,2020,57,64
Pakistan,October,2020,47,70
Pakistan,November,2020,60,58
Pakistan,December,2020,53,76
Pakistan,January,2021,52,88
Pakistan,February,2021,78,115
Pakistan,March,2021,84,103
Pakistan,April,2021,80,93
Pakistan,May,2021,94,144
Pakistan,June,2021,103,129
Pakistan,July,2021,76,108
Pakistan,August,2021,104,165
Pakistan,September,2021,84,148
Pakistan,October,2021,69,112
Pakistan,November,2021,72,81
Pakistan,December,2021,75,91
Pakistan,January,2022,123,144
Pakistan,February,2022,140,176
Pakistan,March,2022,118,220
Pakistan,April,2022,127,163
Pakistan,May,2022,128,82
Pakistan,June,2022,134,149
Pakistan,July,2022,175,169
Pakistan,August,2022,125,92
Pakistan,September,2022,140,136
Pakistan,October,2022,154,206
Pakistan,November,2022,109,133
Pakistan,December,2022,150,168
Pakistan,January,2023,141,205
Pakistan,February,2023,157,164
Pakistan,March,2023,138,137
Pakistan,April,2023,148,178
Pakistan,May,2023,145,231
Pakistan,June,2023,138,136
Pakistan,July,2023,182,221
Pakistan,August,2023,248,204
Pakistan,September,2023,204,264
Pakistan,October,2023,182,219
Pakistan,November,2023,180,210
Pakistan,December,2023,148,191
Pakistan,January,2024,209,228
Pakistan,February,2024,304,203
Pakistan,March,2024,139,155
Pakistan,April,2024,201,227
Pakistan,May,2024,213,202
Pakistan,June,2024,190,140
