Country,Month,Year,Events,Fatalities
Papua New Guinea,January,2021,11,16
Papua New Guinea,February,2021,6,9
Papua New Guinea,March,2021,17,26
Papua New Guinea,April,2021,14,50
Papua New Guinea,May,2021,4,11
Papua New Guinea,June,2021,10,34
Papua New Guinea,July,2021,9,16
Papua New Guinea,August,2021,9,15
Papua New Guinea,September,2021,6,5
Papua New Guinea,October,2021,4,3
Papua New Guinea,November,2021,7,15
Papua New Guinea,December,2021,12,41
Papua New Guinea,January,2022,7,15
Papua New Guinea,February,2022,5,1
Papua New Guinea,March,2022,8,6
Papua New Guinea,April,2022,16,15
Papua New Guinea,May,2022,15,26
Papua New Guinea,June,2022,17,12
Papua New Guinea,July,2022,34,46
Papua New Guinea,August,2022,23,26
Papua New Guinea,September,2022,16,22
Papua New Guinea,October,2022,14,36
Papua New Guinea,November,2022,9,18
Papua New Guinea,December,2022,8,31
Papua New Guinea,January,2023,9,21
Papua New Guinea,February,2023,16,3
Papua New Guinea,March,2023,8,6
Papua New Guinea,April,2023,17,32
Papua New Guinea,May,2023,10,27
Papua New Guinea,June,2023,20,23
Papua New Guinea,July,2023,31,33
Papua New Guinea,August,2023,24,84
Papua New Guinea,September,2023,11,9
Papua New Guinea,October,2023,18,19
Papua New Guinea,November,2023,36,31
Papua New Guinea,December,2023,20,61
Papua New Guinea,January,2024,31,34
Papua New Guinea,February,2024,11,55
Papua New Guinea,March,2024,15,4
Papua New Guinea,April,2024,21,47
Papua New Guinea,May,2024,13,21
Papua New Guinea,June,2024,8,6
Papua New Guinea,July,2024,14,37
Papua New Guinea,August,2024,12,4
Papua New Guinea,September,2024,26,47
Papua New Guinea,October,2024,19,19
Papua New Guinea,November,2024,21,39
Papua New Guinea,December,2024,13,12
Papua New Guinea,January,2025,19,11
Papua New Guinea,February,2025,11,5
Papua New Guinea,March,2025,12,11
Papua New Guinea,April,2025,13,8
Papua New Guinea,May,2025,12,18
Papua New Guinea,June,2025,5,3
Papua New Guinea,July,2025,15,8
Papua New Guinea,August,2025,22,27
Papua New Guinea,September,2025,21,16
Papua New Guinea,October,2025,14,11
Papua New Guinea,November,2025,21,15
Papua New Guinea,December,2025,15,7
Papua New Guinea,January,2026,16,11
Papua New Guinea,February,2026,15,23
Papua New Guinea,March,2026,15,14
Papua New Guinea,April,2026,12,14
Papua New Guinea,May,2026,2,3
