Country,Month,Year,Events,Fatalities
Paraguay,January,2018,4,3
Paraguay,February,2018,2,0
Paraguay,March,2018,1,0
Paraguay,April,2018,5,0
Paraguay,May,2018,0,0
Paraguay,June,2018,0,0
Paraguay,July,2018,0,0
Paraguay,August,2018,0,0
Paraguay,September,2018,1,0
Paraguay,October,2018,2,1
Paraguay,November,2018,1,0
Paraguay,December,2018,3,2
Paraguay,January,2019,0,0
Paraguay,February,2019,2,0
Paraguay,March,2019,6,2
Paraguay,April,2019,0,0
Paraguay,May,2019,4,7
Paraguay,June,2019,6,12
Paraguay,July,2019,4,1
Paraguay,August,2019,4,0
Paraguay,September,2019,2,0
Paraguay,October,2019,5,0
Paraguay,November,2019,1,0
Paraguay,December,2019,8,3
Paraguay,January,2020,3,2
Paraguay,February,2020,2,1
Paraguay,March,2020,1,0
Paraguay,April,2020,0,0
Paraguay,May,2020,4,0
Paraguay,June,2020,4,5
Paraguay,July,2020,3,0
Paraguay,August,2020,2,1
Paraguay,September,2020,5,2
Paraguay,October,2020,3,2
Paraguay,November,2020,3,5
Paraguay,December,2020,1,0
Paraguay,January,2021,0,0
Paraguay,February,2021,5,1
Paraguay,March,2021,3,0
Paraguay,April,2021,4,3
Paraguay,May,2021,1,1
Paraguay,June,2021,10,3
Paraguay,July,2021,3,3
Paraguay,August,2021,4,5
Paraguay,September,2021,7,5
Paraguay,October,2021,7,7
Paraguay,November,2021,4,6
Paraguay,December,2021,6,1
Paraguay,January,2022,4,2
Paraguay,February,2022,5,3
Paraguay,March,2022,6,1
Paraguay,April,2022,5,3
Paraguay,May,2022,1,1
Paraguay,June,2022,5,1
Paraguay,July,2022,3,1
Paraguay,August,2022,3,1
Paraguay,September,2022,3,2
Paraguay,October,2022,9,6
Paraguay,November,2022,16,5
Paraguay,December,2022,12,7
Paraguay,January,2023,8,3
Paraguay,February,2023,8,2
Paraguay,March,2023,2,0
Paraguay,April,2023,7,0
Paraguay,May,2023,2,0
Paraguay,June,2023,3,1
Paraguay,July,2023,0,0
Paraguay,August,2023,4,0
Paraguay,September,2023,0,0
Paraguay,October,2023,5,3
Paraguay,November,2023,0,0
Paraguay,December,2023,0,0
Paraguay,January,2024,0,0
Paraguay,February,2024,0,0
Paraguay,March,2024,0,0
Paraguay,April,2024,2,4
Paraguay,May,2024,1,0
Paraguay,June,2024,0,0
Paraguay,July,2024,3,0
Paraguay,August,2024,2,1
Paraguay,September,2024,2,0
Paraguay,October,2024,3,0
Paraguay,November,2024,0,0
Paraguay,December,2024,2,1
Paraguay,January,2025,0,0
Paraguay,February,2025,0,0
Paraguay,March,2025,1,0
Paraguay,April,2025,1,0
Paraguay,May,2025,1,0
Paraguay,June,2025,1,0
Paraguay,July,2025,0,0
Paraguay,August,2025,1,0
Paraguay,September,2025,0,0
Paraguay,October,2025,1,0
Paraguay,November,2025,0,0
Paraguay,December,2025,1,0
Paraguay,January,2026,0,0
Paraguay,February,2026,0,0
Paraguay,March,2026,0,0
Paraguay,April,2026,0,0
Paraguay,May,2026,1,0
