Country,Month,Year,Events,Fatalities
Peru,January,2018,2,0
Peru,February,2018,4,2
Peru,March,2018,1,0
Peru,April,2018,1,1
Peru,May,2018,3,0
Peru,June,2018,3,4
Peru,July,2018,3,0
Peru,August,2018,7,4
Peru,September,2018,6,4
Peru,October,2018,6,1
Peru,November,2018,2,0
Peru,December,2018,0,0
Peru,January,2019,5,1
Peru,February,2019,0,0
Peru,March,2019,2,1
Peru,April,2019,8,5
Peru,May,2019,8,1
Peru,June,2019,7,0
Peru,July,2019,8,2
Peru,August,2019,16,7
Peru,September,2019,14,2
Peru,October,2019,15,4
Peru,November,2019,9,6
Peru,December,2019,14,3
Peru,January,2020,10,0
Peru,February,2020,13,5
Peru,March,2020,16,2
Peru,April,2020,16,0
Peru,May,2020,6,0
Peru,June,2020,10,3
Peru,July,2020,8,0
Peru,August,2020,10,0
Peru,September,2020,22,1
Peru,October,2020,15,4
Peru,November,2020,21,0
Peru,December,2020,18,1
Peru,January,2021,11,3
Peru,February,2021,14,0
Peru,March,2021,15,0
Peru,April,2021,7,0
Peru,May,2021,20,18
Peru,June,2021,7,0
Peru,July,2021,7,0
Peru,August,2021,8,0
Peru,September,2021,13,1
Peru,October,2021,11,0
Peru,November,2021,5,2
Peru,December,2021,16,1
Peru,January,2022,7,0
Peru,February,2022,16,0
Peru,March,2022,7,0
Peru,April,2022,12,2
Peru,May,2022,21,3
Peru,June,2022,13,14
Peru,July,2022,7,0
Peru,August,2022,8,0
Peru,September,2022,15,0
Peru,October,2022,10,1
Peru,November,2022,10,1
Peru,December,2022,6,2
Peru,January,2023,9,6
Peru,February,2023,8,8
Peru,March,2023,5,0
Peru,April,2023,16,7
Peru,May,2023,11,11
Peru,June,2023,9,1
Peru,July,2023,10,0
Peru,August,2023,10,2
Peru,September,2023,19,5
Peru,October,2023,15,2
Peru,November,2023,15,3
Peru,December,2023,12,9
Peru,January,2024,11,4
Peru,February,2024,7,0
Peru,March,2024,22,4
Peru,April,2024,21,7
Peru,May,2024,21,3
Peru,June,2024,20,2
Peru,July,2024,27,4
Peru,August,2024,21,6
Peru,September,2024,18,2
Peru,October,2024,16,6
Peru,November,2024,26,7
Peru,December,2024,28,1
Peru,January,2025,30,7
Peru,February,2025,14,3
Peru,March,2025,20,4
Peru,April,2025,22,1
Peru,May,2025,26,4
Peru,June,2025,16,2
Peru,July,2025,32,7
Peru,August,2025,23,2
Peru,September,2025,21,2
Peru,October,2025,15,3
Peru,November,2025,25,4
Peru,December,2025,16,5
Peru,January,2026,13,3
Peru,February,2026,14,4
Peru,March,2026,12,9
Peru,April,2026,15,9
Peru,May,2026,4,0
