Country,Month,Year,Events,Fatalities
Philippines,January,2016,62,63
Philippines,February,2016,95,139
Philippines,March,2016,68,57
Philippines,April,2016,96,121
Philippines,May,2016,91,127
Philippines,June,2016,98,120
Philippines,July,2016,714,1055
Philippines,August,2016,523,794
Philippines,September,2016,455,671
Philippines,October,2016,339,464
Philippines,November,2016,337,569
Philippines,December,2016,222,350
Philippines,January,2017,242,329
Philippines,February,2017,169,189
Philippines,March,2017,209,306
Philippines,April,2017,207,312
Philippines,May,2017,303,512
Philippines,June,2017,272,588
Philippines,July,2017,266,516
Philippines,August,2017,354,627
Philippines,September,2017,227,411
Philippines,October,2017,147,325
Philippines,November,2017,104,114
Philippines,December,2017,109,127
Philippines,January,2018,112,124
Philippines,February,2018,107,114
Philippines,March,2018,146,153
Philippines,April,2018,128,144
Philippines,May,2018,183,238
Philippines,June,2018,179,208
Philippines,July,2018,164,219
Philippines,August,2018,217,251
Philippines,September,2018,134,157
Philippines,October,2018,158,206
Philippines,November,2018,146,168
Philippines,December,2018,137,136
Philippines,January,2019,114,152
Philippines,February,2019,104,126
Philippines,March,2019,123,163
Philippines,April,2019,126,153
Philippines,May,2019,146,147
Philippines,June,2019,108,132
Philippines,July,2019,129,155
Philippines,August,2019,185,187
Philippines,September,2019,159,157
Philippines,October,2019,123,142
Philippines,November,2019,106,106
Philippines,December,2019,94,110
Philippines,January,2020,135,156
Philippines,February,2020,139,142
Philippines,March,2020,100,100
Philippines,April,2020,107,130
Philippines,May,2020,130,154
Philippines,June,2020,112,133
Philippines,July,2020,117,127
Philippines,August,2020,92,122
Philippines,September,2020,93,109
Philippines,October,2020,81,94
Philippines,November,2020,83,87
Philippines,December,2020,123,148
Philippines,January,2021,135,163
Philippines,February,2021,109,119
Philippines,March,2021,101,135
Philippines,April,2021,94,101
Philippines,May,2021,108,136
Philippines,June,2021,90,110
Philippines,July,2021,79,76
Philippines,August,2021,72,89
Philippines,September,2021,59,85
Philippines,October,2021,49,56
Philippines,November,2021,41,41
Philippines,December,2021,64,71
Philippines,January,2022,65,67
Philippines,February,2022,61,85
Philippines,March,2022,69,75
Philippines,April,2022,70,85
Philippines,May,2022,114,81
Philippines,June,2022,88,95
Philippines,July,2022,66,70
Philippines,August,2022,67,78
Philippines,September,2022,55,48
Philippines,October,2022,74,84
Philippines,November,2022,85,114
Philippines,December,2022,38,45
Philippines,January,2023,67,64
Philippines,February,2023,59,79
Philippines,March,2023,75,88
Philippines,April,2023,86,88
Philippines,May,2023,67,71
Philippines,June,2023,59,71
Philippines,July,2023,50,42
Philippines,August,2023,58,54
Philippines,September,2023,78,73
Philippines,October,2023,69,56
Philippines,November,2023,67,58
Philippines,December,2023,57,114
Philippines,January,2024,54,59
Philippines,February,2024,56,58
Philippines,March,2024,66,59
Philippines,April,2024,55,69
Philippines,May,2024,63,56
Philippines,June,2024,50,46
Philippines,July,2024,48,52
Philippines,August,2024,59,51
Philippines,September,2024,45,42
Philippines,October,2024,38,62
Philippines,November,2024,45,49
Philippines,December,2024,45,49
Philippines,January,2025,41,38
Philippines,February,2025,43,38
Philippines,March,2025,52,49
Philippines,April,2025,55,52
Philippines,May,2025,75,53
Philippines,June,2025,50,52
Philippines,July,2025,35,46
Philippines,August,2025,44,53
Philippines,September,2025,34,28
Philippines,October,2025,31,36
Philippines,November,2025,37,48
Philippines,December,2025,33,41
Philippines,January,2026,45,50
Philippines,February,2026,23,22
Philippines,March,2026,40,38
Philippines,April,2026,40,68
Philippines,May,2026,11,7
