Country,Month,Year,Events,Fatalities
Poland,January,2020,1,0
Poland,February,2020,2,0
Poland,March,2020,0,0
Poland,April,2020,0,0
Poland,May,2020,0,0
Poland,June,2020,0,0
Poland,July,2020,0,0
Poland,August,2020,2,0
Poland,September,2020,0,0
Poland,October,2020,0,0
Poland,November,2020,0,0
Poland,December,2020,1,0
Poland,January,2021,1,0
Poland,February,2021,1,0
Poland,March,2021,1,0
Poland,April,2021,0,0
Poland,May,2021,1,0
Poland,June,2021,2,0
Poland,July,2021,2,0
Poland,August,2021,2,1
Poland,September,2021,0,0
Poland,October,2021,1,0
Poland,November,2021,34,0
Poland,December,2021,39,0
Poland,January,2022,19,0
Poland,February,2022,15,0
Poland,March,2022,23,0
Poland,April,2022,8,0
Poland,May,2022,11,0
Poland,June,2022,2,0
Poland,July,2022,2,0
Poland,August,2022,0,0
Poland,September,2022,1,0
Poland,October,2022,0,0
Poland,November,2022,0,0
Poland,December,2022,0,0
Poland,January,2023,0,0
Poland,February,2023,0,0
Poland,March,2023,2,0
Poland,April,2023,0,0
Poland,May,2023,4,0
Poland,June,2023,4,0
Poland,July,2023,4,0
Poland,August,2023,6,0
Poland,September,2023,11,0
Poland,October,2023,11,0
Poland,November,2023,5,0
Poland,December,2023,3,1
Poland,January,2024,0,0
Poland,February,2024,1,0
Poland,March,2024,7,0
Poland,April,2024,4,0
Poland,May,2024,10,1
Poland,June,2024,7,0
Poland,July,2024,2,0
Poland,August,2024,3,0
Poland,September,2024,9,0
Poland,October,2024,1,0
Poland,November,2024,0,0
Poland,December,2024,1,0
Poland,January,2025,1,0
Poland,February,2025,0,0
Poland,March,2025,3,0
Poland,April,2025,6,0
Poland,May,2025,5,0
Poland,June,2025,9,0
Poland,July,2025,16,0
Poland,August,2025,11,0
Poland,September,2025,22,0
Poland,October,2025,1,0
Poland,November,2025,1,0
Poland,December,2025,2,0
Poland,January,2026,0,0
Poland,February,2026,2,0
Poland,March,2026,0,0
Poland,April,2026,1,0
Poland,May,2026,0,0
