Country,Month,Year,Events,Fatalities
Puerto Rico,January,2018,24,23
Puerto Rico,February,2018,12,13
Puerto Rico,March,2018,10,7
Puerto Rico,April,2018,10,11
Puerto Rico,May,2018,9,11
Puerto Rico,June,2018,11,10
Puerto Rico,July,2018,9,6
Puerto Rico,August,2018,12,10
Puerto Rico,September,2018,6,6
Puerto Rico,October,2018,4,3
Puerto Rico,November,2018,14,9
Puerto Rico,December,2018,17,16
Puerto Rico,January,2019,51,42
Puerto Rico,February,2019,5,5
Puerto Rico,March,2019,11,9
Puerto Rico,April,2019,9,7
Puerto Rico,May,2019,10,8
Puerto Rico,June,2019,9,11
Puerto Rico,July,2019,7,9
Puerto Rico,August,2019,17,18
Puerto Rico,September,2019,11,14
Puerto Rico,October,2019,10,17
Puerto Rico,November,2019,9,5
Puerto Rico,December,2019,9,5
Puerto Rico,January,2020,12,16
Puerto Rico,February,2020,9,4
Puerto Rico,March,2020,12,10
Puerto Rico,April,2020,9,8
Puerto Rico,May,2020,18,15
Puerto Rico,June,2020,8,6
Puerto Rico,July,2020,4,2
Puerto Rico,August,2020,10,8
Puerto Rico,September,2020,13,11
Puerto Rico,October,2020,21,22
Puerto Rico,November,2020,17,8
Puerto Rico,December,2020,8,8
Puerto Rico,January,2021,20,19
Puerto Rico,February,2021,21,9
Puerto Rico,March,2021,18,17
Puerto Rico,April,2021,15,12
Puerto Rico,May,2021,5,3
Puerto Rico,June,2021,14,13
Puerto Rico,July,2021,14,16
Puerto Rico,August,2021,15,13
Puerto Rico,September,2021,19,14
Puerto Rico,October,2021,24,23
Puerto Rico,November,2021,23,23
Puerto Rico,December,2021,23,18
Puerto Rico,January,2022,16,15
Puerto Rico,February,2022,24,18
Puerto Rico,March,2022,17,17
Puerto Rico,April,2022,18,15
Puerto Rico,May,2022,25,28
Puerto Rico,June,2022,18,10
Puerto Rico,July,2022,24,26
Puerto Rico,August,2022,16,8
Puerto Rico,September,2022,17,15
Puerto Rico,October,2022,29,20
Puerto Rico,November,2022,25,24
Puerto Rico,December,2022,16,16
Puerto Rico,January,2023,29,27
Puerto Rico,February,2023,21,25
Puerto Rico,March,2023,15,11
Puerto Rico,April,2023,12,11
Puerto Rico,May,2023,26,21
Puerto Rico,June,2023,17,18
Puerto Rico,July,2023,24,22
Puerto Rico,August,2023,13,10
Puerto Rico,September,2023,15,15
Puerto Rico,October,2023,17,11
Puerto Rico,November,2023,18,14
Puerto Rico,December,2023,20,13
Puerto Rico,January,2024,25,26
Puerto Rico,February,2024,32,28
Puerto Rico,March,2024,18,19
Puerto Rico,April,2024,15,13
Puerto Rico,May,2024,23,20
Puerto Rico,June,2024,18,12
Puerto Rico,July,2024,22,15
Puerto Rico,August,2024,21,19
Puerto Rico,September,2024,13,9
Puerto Rico,October,2024,17,11
Puerto Rico,November,2024,22,17
Puerto Rico,December,2024,21,17
Puerto Rico,January,2025,19,15
Puerto Rico,February,2025,14,12
Puerto Rico,March,2025,18,16
Puerto Rico,April,2025,13,10
Puerto Rico,May,2025,19,15
Puerto Rico,June,2025,25,24
Puerto Rico,July,2025,18,12
Puerto Rico,August,2025,15,9
Puerto Rico,September,2025,9,6
Puerto Rico,October,2025,19,24
Puerto Rico,November,2025,15,13
Puerto Rico,December,2025,17,13
Puerto Rico,January,2026,14,13
Puerto Rico,February,2026,22,18
Puerto Rico,March,2026,13,12
Puerto Rico,April,2026,9,12
Puerto Rico,May,2026,3,7
