Country,Month,Year,Events,Fatalities
Russia,January,2018,22,4
Russia,February,2018,21,14
Russia,March,2018,32,14
Russia,April,2018,23,19
Russia,May,2018,33,16
Russia,June,2018,14,8
Russia,July,2018,13,6
Russia,August,2018,23,6
Russia,September,2018,28,13
Russia,October,2018,21,6
Russia,November,2018,21,9
Russia,December,2018,12,6
Russia,January,2019,14,11
Russia,February,2019,8,5
Russia,March,2019,9,3
Russia,April,2019,6,5
Russia,May,2019,3,3
Russia,June,2019,3,5
Russia,July,2019,8,4
Russia,August,2019,6,1
Russia,September,2019,3,3
Russia,October,2019,2,0
Russia,November,2019,2,0
Russia,December,2019,6,6
Russia,January,2020,1,0
Russia,February,2020,8,0
Russia,March,2020,4,6
Russia,April,2020,8,4
Russia,May,2020,3,8
Russia,June,2020,3,0
Russia,July,2020,9,6
Russia,August,2020,13,8
Russia,September,2020,5,1
Russia,October,2020,13,15
Russia,November,2020,2,0
Russia,December,2020,6,7
Russia,January,2021,11,6
Russia,February,2021,11,1
Russia,March,2021,10,2
Russia,April,2021,13,1
Russia,May,2021,9,1
Russia,June,2021,10,0
Russia,July,2021,19,4
Russia,August,2021,18,1
Russia,September,2021,19,2
Russia,October,2021,18,1
Russia,November,2021,17,2
Russia,December,2021,6,3
Russia,January,2022,12,1
Russia,February,2022,14,0
Russia,March,2022,20,0
Russia,April,2022,32,7
Russia,May,2022,37,9
Russia,June,2022,18,1
Russia,July,2022,49,9
Russia,August,2022,37,4
Russia,September,2022,45,19
Russia,October,2022,69,22
Russia,November,2022,67,16
Russia,December,2022,49,9
Russia,January,2023,47,8
Russia,February,2023,75,30
Russia,March,2023,80,15
Russia,April,2023,84,16
Russia,May,2023,257,28
Russia,June,2023,321,42
Russia,July,2023,333,4
Russia,August,2023,333,25
Russia,September,2023,507,12
Russia,October,2023,378,10
Russia,November,2023,269,4
Russia,December,2023,379,33
Russia,January,2024,448,78
Russia,February,2024,376,23
Russia,March,2024,732,898
Russia,April,2024,577,45
Russia,May,2024,1138,55
Russia,June,2024,1265,57
Russia,July,2024,1423,36
Russia,August,2024,1588,673
Russia,September,2024,1402,864
Russia,October,2024,1598,886
Russia,November,2024,1312,791
Russia,December,2024,1251,399
Russia,January,2025,1600,344
Russia,February,2025,1641,341
Russia,March,2025,1499,400
Russia,April,2025,1355,313
Russia,May,2025,1332,93
Russia,June,2025,1283,38
Russia,July,2025,1491,68
Russia,August,2025,1595,56
Russia,September,2025,1493,69
Russia,October,2025,1414,40
Russia,November,2025,1062,34
Russia,December,2025,972,49
Russia,January,2026,1056,37
Russia,February,2026,1385,40
Russia,March,2026,1716,56
Russia,April,2026,1217,77
Russia,May,2026,560,31
