Country,Month,Year,Events,Fatalities
Saudi Arabia,January,2015,2,7
Saudi Arabia,February,2015,0,0
Saudi Arabia,March,2015,2,1
Saudi Arabia,April,2015,1,2
Saudi Arabia,May,2015,29,106
Saudi Arabia,June,2015,54,109
Saudi Arabia,July,2015,34,24
Saudi Arabia,August,2015,53,167
Saudi Arabia,September,2015,48,129
Saudi Arabia,October,2015,62,83
Saudi Arabia,November,2015,73,108
Saudi Arabia,December,2015,71,142
Saudi Arabia,January,2016,90,113
Saudi Arabia,February,2016,69,75
Saudi Arabia,March,2016,8,8
Saudi Arabia,April,2016,8,11
Saudi Arabia,May,2016,9,7
Saudi Arabia,June,2016,9,5
Saudi Arabia,July,2016,40,80
Saudi Arabia,August,2016,127,253
Saudi Arabia,September,2016,86,152
Saudi Arabia,October,2016,100,259
Saudi Arabia,November,2016,65,141
Saudi Arabia,December,2016,62,111
Saudi Arabia,January,2017,66,84
Saudi Arabia,February,2017,62,55
Saudi Arabia,March,2017,40,115
Saudi Arabia,April,2017,79,97
Saudi Arabia,May,2017,63,136
Saudi Arabia,June,2017,43,73
Saudi Arabia,July,2017,53,211
Saudi Arabia,August,2017,47,79
Saudi Arabia,September,2017,37,108
Saudi Arabia,October,2017,75,151
Saudi Arabia,November,2017,58,104
Saudi Arabia,December,2017,112,217
Saudi Arabia,January,2018,102,135
Saudi Arabia,February,2018,98,195
Saudi Arabia,March,2018,87,118
Saudi Arabia,April,2018,80,124
Saudi Arabia,May,2018,87,120
Saudi Arabia,June,2018,70,135
Saudi Arabia,July,2018,45,111
Saudi Arabia,August,2018,53,59
Saudi Arabia,September,2018,41,74
Saudi Arabia,October,2018,44,129
Saudi Arabia,November,2018,46,213
Saudi Arabia,December,2018,27,101
Saudi Arabia,January,2019,28,104
Saudi Arabia,February,2019,34,79
Saudi Arabia,March,2019,34,238
Saudi Arabia,April,2019,21,75
Saudi Arabia,May,2019,30,107
Saudi Arabia,June,2019,37,213
Saudi Arabia,July,2019,16,58
Saudi Arabia,August,2019,24,76
Saudi Arabia,September,2019,12,42
Saudi Arabia,October,2019,0,0
Saudi Arabia,November,2019,4,6
Saudi Arabia,December,2019,3,8
Saudi Arabia,January,2020,9,20
Saudi Arabia,February,2020,2,10
Saudi Arabia,March,2020,4,0
Saudi Arabia,April,2020,3,11
Saudi Arabia,May,2020,5,0
Saudi Arabia,June,2020,5,0
Saudi Arabia,July,2020,2,0
Saudi Arabia,August,2020,2,0
Saudi Arabia,September,2020,6,1
Saudi Arabia,October,2020,5,0
Saudi Arabia,November,2020,3,0
Saudi Arabia,December,2020,5,9
Saudi Arabia,January,2021,2,0
Saudi Arabia,February,2021,6,0
Saudi Arabia,March,2021,23,0
Saudi Arabia,April,2021,12,0
Saudi Arabia,May,2021,2,0
Saudi Arabia,June,2021,6,0
Saudi Arabia,July,2021,1,0
Saudi Arabia,August,2021,1,0
Saudi Arabia,September,2021,2,1
Saudi Arabia,October,2021,4,17
Saudi Arabia,November,2021,8,0
Saudi Arabia,December,2021,14,2
Saudi Arabia,January,2022,5,0
Saudi Arabia,February,2022,2,0
Saudi Arabia,March,2022,25,0
Saudi Arabia,April,2022,1,0
Saudi Arabia,May,2022,0,0
Saudi Arabia,June,2022,2,5
Saudi Arabia,July,2022,0,0
Saudi Arabia,August,2022,2,1
Saudi Arabia,September,2022,1,0
Saudi Arabia,October,2022,2,0
Saudi Arabia,November,2022,0,0
Saudi Arabia,December,2022,0,0
Saudi Arabia,January,2023,1,185
Saudi Arabia,February,2023,1,0
Saudi Arabia,March,2023,0,0
Saudi Arabia,April,2023,0,0
Saudi Arabia,May,2023,0,0
Saudi Arabia,June,2023,1,2
Saudi Arabia,July,2023,0,0
Saudi Arabia,August,2023,1,0
Saudi Arabia,September,2023,2,6
Saudi Arabia,October,2023,0,0
Saudi Arabia,November,2023,1,0
Saudi Arabia,December,2023,0,0
Saudi Arabia,January,2024,1,5
Saudi Arabia,February,2024,0,0
Saudi Arabia,March,2024,0,0
Saudi Arabia,April,2024,0,0
Saudi Arabia,May,2024,0,0
Saudi Arabia,June,2024,0,0
Saudi Arabia,July,2024,0,0
Saudi Arabia,August,2024,0,0
Saudi Arabia,September,2024,0,0
Saudi Arabia,October,2024,0,0
Saudi Arabia,November,2024,0,0
Saudi Arabia,December,2024,1,0
Saudi Arabia,January,2025,0,0
Saudi Arabia,February,2025,0,0
Saudi Arabia,March,2025,1,0
Saudi Arabia,April,2025,0,0
Saudi Arabia,May,2025,2,0
Saudi Arabia,June,2025,0,0
Saudi Arabia,July,2025,1,1
Saudi Arabia,August,2025,0,0
Saudi Arabia,September,2025,1,0
Saudi Arabia,October,2025,0,0
Saudi Arabia,November,2025,0,0
Saudi Arabia,December,2025,0,0
Saudi Arabia,January,2026,0,0
Saudi Arabia,February,2026,1,0
Saudi Arabia,March,2026,23,4
Saudi Arabia,April,2026,4,1
Saudi Arabia,May,2026,0,0
