Country,Month,Year,Events,Fatalities
Sri Lanka,January,2010,53,17
Sri Lanka,February,2010,8,2
Sri Lanka,March,2010,34,0
Sri Lanka,April,2010,22,1
Sri Lanka,May,2010,2,0
Sri Lanka,June,2010,4,3
Sri Lanka,July,2010,5,1
Sri Lanka,August,2010,2,1
Sri Lanka,September,2010,0,0
Sri Lanka,October,2010,3,1
Sri Lanka,November,2010,2,0
Sri Lanka,December,2010,4,2
Sri Lanka,January,2011,7,3
Sri Lanka,February,2011,6,2
Sri Lanka,March,2011,22,4
Sri Lanka,April,2011,3,1
Sri Lanka,May,2011,4,0
Sri Lanka,June,2011,4,0
Sri Lanka,July,2011,6,1
Sri Lanka,August,2011,7,2
Sri Lanka,September,2011,5,3
Sri Lanka,October,2011,8,6
Sri Lanka,November,2011,3,0
Sri Lanka,December,2011,4,1
Sri Lanka,January,2012,5,1
Sri Lanka,February,2012,6,1
Sri Lanka,March,2012,8,2
Sri Lanka,April,2012,2,0
Sri Lanka,May,2012,3,1
Sri Lanka,June,2012,6,3
Sri Lanka,July,2012,5,1
Sri Lanka,August,2012,9,0
Sri Lanka,September,2012,4,0
Sri Lanka,October,2012,7,0
Sri Lanka,November,2012,6,27
Sri Lanka,December,2012,2,0
Sri Lanka,January,2013,5,3
Sri Lanka,February,2013,12,3
Sri Lanka,March,2013,12,2
Sri Lanka,April,2013,3,0
Sri Lanka,May,2013,10,0
Sri Lanka,June,2013,10,2
Sri Lanka,July,2013,4,0
Sri Lanka,August,2013,16,0
Sri Lanka,September,2013,28,2
Sri Lanka,October,2013,8,0
Sri Lanka,November,2013,2,1
Sri Lanka,December,2013,4,1
Sri Lanka,January,2014,1,0
Sri Lanka,February,2014,3,0
Sri Lanka,March,2014,5,1
Sri Lanka,April,2014,3,3
Sri Lanka,May,2014,3,1
Sri Lanka,June,2014,2,1
Sri Lanka,July,2014,1,0
Sri Lanka,August,2014,0,0
Sri Lanka,September,2014,11,0
Sri Lanka,October,2014,3,0
Sri Lanka,November,2014,5,0
Sri Lanka,December,2014,11,0
Sri Lanka,January,2015,32,3
Sri Lanka,February,2015,2,0
Sri Lanka,March,2015,2,0
Sri Lanka,April,2015,0,0
Sri Lanka,May,2015,1,0
Sri Lanka,June,2015,2,2
Sri Lanka,July,2015,6,1
Sri Lanka,August,2015,8,1
Sri Lanka,September,2015,0,0
Sri Lanka,October,2015,1,0
Sri Lanka,November,2015,1,2
Sri Lanka,December,2015,1,0
Sri Lanka,January,2016,4,1
Sri Lanka,February,2016,1,1
Sri Lanka,March,2016,0,0
Sri Lanka,April,2016,3,0
Sri Lanka,May,2016,0,0
Sri Lanka,June,2016,1,0
Sri Lanka,July,2016,1,0
Sri Lanka,August,2016,0,0
Sri Lanka,September,2016,1,0
Sri Lanka,October,2016,1,2
Sri Lanka,November,2016,0,0
Sri Lanka,December,2016,2,0
Sri Lanka,January,2017,2,0
Sri Lanka,February,2017,2,0
Sri Lanka,March,2017,2,0
Sri Lanka,April,2017,1,0
Sri Lanka,May,2017,12,0
Sri Lanka,June,2017,4,0
Sri Lanka,July,2017,2,2
Sri Lanka,August,2017,0,0
Sri Lanka,September,2017,2,0
Sri Lanka,October,2017,0,0
Sri Lanka,November,2017,3,0
Sri Lanka,December,2017,1,0
Sri Lanka,January,2018,5,1
Sri Lanka,February,2018,4,1
Sri Lanka,March,2018,20,3
Sri Lanka,April,2018,2,0
Sri Lanka,May,2018,1,1
Sri Lanka,June,2018,6,2
