Country,Month,Year,Events,Fatalities
Thailand,January,2010,60,35
Thailand,February,2010,61,36
Thailand,March,2010,81,31
Thailand,April,2010,88,50
Thailand,May,2010,70,78
Thailand,June,2010,75,15
Thailand,July,2010,55,33
Thailand,August,2010,53,37
Thailand,September,2010,79,38
Thailand,October,2010,80,43
Thailand,November,2010,30,19
Thailand,December,2010,53,28
Thailand,January,2011,58,41
Thailand,February,2011,61,41
Thailand,March,2011,55,34
Thailand,April,2011,49,23
Thailand,May,2011,63,44
Thailand,June,2011,46,27
Thailand,July,2011,65,21
Thailand,August,2011,68,42
Thailand,September,2011,37,34
Thailand,October,2011,74,35
Thailand,November,2011,58,21
Thailand,December,2011,63,26
Thailand,January,2012,42,30
Thailand,February,2012,41,30
Thailand,March,2012,58,52
Thailand,April,2012,46,21
Thailand,May,2012,30,21
Thailand,June,2012,37,23
Thailand,July,2012,53,38
Thailand,August,2012,86,18
Thailand,September,2012,56,29
Thailand,October,2012,61,37
Thailand,November,2012,45,35
Thailand,December,2012,32,18
Thailand,January,2013,52,26
Thailand,February,2013,60,50
Thailand,March,2013,44,28
Thailand,April,2013,68,44
Thailand,May,2013,53,55
Thailand,June,2013,62,29
Thailand,July,2013,53,31
Thailand,August,2013,84,37
Thailand,September,2013,34,33
Thailand,October,2013,59,34
Thailand,November,2013,53,30
Thailand,December,2013,68,33
Thailand,January,2014,101,44
Thailand,February,2014,116,61
Thailand,March,2014,80,55
Thailand,April,2014,57,47
Thailand,May,2014,90,23
Thailand,June,2014,61,29
Thailand,July,2014,58,42
Thailand,August,2014,46,22
Thailand,September,2014,36,23
Thailand,October,2014,32,13
Thailand,November,2014,34,34
Thailand,December,2014,40,18
Thailand,January,2015,32,20
Thailand,February,2015,35,6
Thailand,March,2015,26,16
Thailand,April,2015,43,25
Thailand,May,2015,44,26
Thailand,June,2015,24,14
Thailand,July,2015,58,40
Thailand,August,2015,34,42
Thailand,September,2015,30,16
Thailand,October,2015,77,23
Thailand,November,2015,27,7
Thailand,December,2015,36,10
Thailand,January,2016,35,16
Thailand,February,2016,54,23
Thailand,March,2016,66,28
Thailand,April,2016,61,30
Thailand,May,2016,29,10
Thailand,June,2016,50,16
Thailand,July,2016,34,21
Thailand,August,2016,79,18
Thailand,September,2016,29,19
Thailand,October,2016,31,27
Thailand,November,2016,54,22
Thailand,December,2016,21,20
Thailand,January,2017,13,11
Thailand,February,2017,19,8
Thailand,March,2017,25,25
Thailand,April,2017,84,8
Thailand,May,2017,31,21
Thailand,June,2017,24,27
Thailand,July,2017,29,16
Thailand,August,2017,27,12
Thailand,September,2017,14,10
Thailand,October,2017,21,9
Thailand,November,2017,12,5
Thailand,December,2017,17,10
Thailand,January,2018,10,6
Thailand,February,2018,34,4
Thailand,March,2018,11,4
Thailand,April,2018,21,9
Thailand,May,2018,42,7
Thailand,June,2018,19,14
Thailand,July,2018,12,4
Thailand,August,2018,22,15
Thailand,September,2018,14,14
Thailand,October,2018,13,6
Thailand,November,2018,16,19
Thailand,December,2018,37,15
Thailand,January,2019,28,22
Thailand,February,2019,32,20
Thailand,March,2019,36,12
Thailand,April,2019,24,15
Thailand,May,2019,37,18
Thailand,June,2019,23,13
Thailand,July,2019,23,19
Thailand,August,2019,21,7
Thailand,September,2019,12,6
Thailand,October,2019,17,7
Thailand,November,2019,13,24
Thailand,December,2019,22,11
Thailand,January,2020,17,15
Thailand,February,2020,15,21
Thailand,March,2020,16,15
Thailand,April,2020,6,7
Thailand,May,2020,5,5
Thailand,June,2020,8,4
Thailand,July,2020,11,4
Thailand,August,2020,7,9
Thailand,September,2020,7,4
Thailand,October,2020,12,5
Thailand,November,2020,16,5
Thailand,December,2020,12,7
Thailand,January,2021,10,2
Thailand,February,2021,21,6
Thailand,March,2021,16,9
Thailand,April,2021,16,6
Thailand,May,2021,12,5
Thailand,June,2021,6,6
Thailand,July,2021,11,6
Thailand,August,2021,24,8
Thailand,September,2021,9,5
Thailand,October,2021,12,6
Thailand,November,2021,12,0
Thailand,December,2021,21,5
Thailand,January,2022,15,5
Thailand,February,2022,8,4
Thailand,March,2022,7,3
Thailand,April,2022,3,3
Thailand,May,2022,1,0
Thailand,June,2022,6,0
Thailand,July,2022,8,8
Thailand,August,2022,31,6
Thailand,September,2022,5,3
Thailand,October,2022,8,2
Thailand,November,2022,10,6
Thailand,December,2022,8,3
Thailand,January,2023,7,4
Thailand,February,2023,9,3
Thailand,March,2023,7,3
Thailand,April,2023,20,4
Thailand,May,2023,7,4
Thailand,June,2023,11,5
Thailand,July,2023,5,4
Thailand,August,2023,15,11
Thailand,September,2023,17,1
Thailand,October,2023,26,1
Thailand,November,2023,8,2
Thailand,December,2023,5,15
Thailand,January,2024,8,3
Thailand,February,2024,9,5
Thailand,March,2024,10,5
Thailand,April,2024,16,7
Thailand,May,2024,8,6
Thailand,June,2024,7,5
Thailand,July,2024,9,3
Thailand,August,2024,7,5
Thailand,September,2024,5,0
Thailand,October,2024,13,2
Thailand,November,2024,10,3
Thailand,December,2024,11,6
Thailand,January,2025,9,7
Thailand,February,2025,13,3
Thailand,March,2025,16,7
Thailand,April,2025,10,7
Thailand,May,2025,13,11
Thailand,June,2025,11,5
Thailand,July,2025,40,41
Thailand,August,2025,12,1
Thailand,September,2025,11,4
Thailand,October,2025,14,6
Thailand,November,2025,6,2
Thailand,December,2025,135,29
Thailand,January,2026,15,1
Thailand,February,2026,14,0
Thailand,March,2026,18,6
Thailand,April,2026,10,5
Thailand,May,2026,6,3
