Country,Month,Year,Events,Fatalities
Trinidad and Tobago,January,2018,29,22
Trinidad and Tobago,February,2018,23,20
Trinidad and Tobago,March,2018,22,20
Trinidad and Tobago,April,2018,18,14
Trinidad and Tobago,May,2018,36,37
Trinidad and Tobago,June,2018,29,23
Trinidad and Tobago,July,2018,24,23
Trinidad and Tobago,August,2018,22,21
Trinidad and Tobago,September,2018,23,20
Trinidad and Tobago,October,2018,17,13
Trinidad and Tobago,November,2018,21,17
Trinidad and Tobago,December,2018,22,13
Trinidad and Tobago,January,2019,30,26
Trinidad and Tobago,February,2019,16,11
Trinidad and Tobago,March,2019,18,11
Trinidad and Tobago,April,2019,18,15
Trinidad and Tobago,May,2019,13,16
Trinidad and Tobago,June,2019,20,9
Trinidad and Tobago,July,2019,30,32
Trinidad and Tobago,August,2019,21,22
Trinidad and Tobago,September,2019,18,13
Trinidad and Tobago,October,2019,4,3
Trinidad and Tobago,November,2019,21,13
Trinidad and Tobago,December,2019,13,10
Trinidad and Tobago,January,2020,21,26
Trinidad and Tobago,February,2020,11,10
Trinidad and Tobago,March,2020,15,10
Trinidad and Tobago,April,2020,26,22
Trinidad and Tobago,May,2020,13,15
Trinidad and Tobago,June,2020,28,25
Trinidad and Tobago,July,2020,6,2
Trinidad and Tobago,August,2020,9,5
Trinidad and Tobago,September,2020,11,7
Trinidad and Tobago,October,2020,16,13
Trinidad and Tobago,November,2020,16,9
Trinidad and Tobago,December,2020,16,16
Trinidad and Tobago,January,2021,15,11
Trinidad and Tobago,February,2021,16,7
Trinidad and Tobago,March,2021,21,15
Trinidad and Tobago,April,2021,15,10
Trinidad and Tobago,May,2021,26,14
Trinidad and Tobago,June,2021,20,10
Trinidad and Tobago,July,2021,21,20
Trinidad and Tobago,August,2021,23,17
Trinidad and Tobago,September,2021,28,26
Trinidad and Tobago,October,2021,21,19
Trinidad and Tobago,November,2021,27,27
Trinidad and Tobago,December,2021,11,10
Trinidad and Tobago,January,2022,24,22
Trinidad and Tobago,February,2022,19,19
Trinidad and Tobago,March,2022,24,11
Trinidad and Tobago,April,2022,18,20
Trinidad and Tobago,May,2022,29,17
Trinidad and Tobago,June,2022,26,21
Trinidad and Tobago,July,2022,28,30
Trinidad and Tobago,August,2022,48,35
Trinidad and Tobago,September,2022,32,30
Trinidad and Tobago,October,2022,40,34
Trinidad and Tobago,November,2022,21,18
Trinidad and Tobago,December,2022,33,28
Trinidad and Tobago,January,2023,32,35
Trinidad and Tobago,February,2023,25,27
Trinidad and Tobago,March,2023,24,17
Trinidad and Tobago,April,2023,34,31
Trinidad and Tobago,May,2023,46,32
Trinidad and Tobago,June,2023,33,26
Trinidad and Tobago,July,2023,40,26
Trinidad and Tobago,August,2023,47,35
Trinidad and Tobago,September,2023,34,27
Trinidad and Tobago,October,2023,30,27
Trinidad and Tobago,November,2023,31,24
Trinidad and Tobago,December,2023,31,26
Trinidad and Tobago,January,2024,35,23
Trinidad and Tobago,February,2024,29,29
Trinidad and Tobago,March,2024,22,23
Trinidad and Tobago,April,2024,28,23
Trinidad and Tobago,May,2024,37,36
Trinidad and Tobago,June,2024,28,16
Trinidad and Tobago,July,2024,41,37
Trinidad and Tobago,August,2024,45,35
Trinidad and Tobago,September,2024,31,36
Trinidad and Tobago,October,2024,39,20
Trinidad and Tobago,November,2024,29,24
Trinidad and Tobago,December,2024,36,28
Trinidad and Tobago,January,2025,22,14
Trinidad and Tobago,February,2025,18,11
Trinidad and Tobago,March,2025,30,22
Trinidad and Tobago,April,2025,24,17
Trinidad and Tobago,May,2025,25,14
Trinidad and Tobago,June,2025,20,10
Trinidad and Tobago,July,2025,27,20
Trinidad and Tobago,August,2025,14,11
Trinidad and Tobago,September,2025,17,14
Trinidad and Tobago,October,2025,25,21
Trinidad and Tobago,November,2025,21,13
Trinidad and Tobago,December,2025,22,15
Trinidad and Tobago,January,2026,27,18
Trinidad and Tobago,February,2026,23,18
Trinidad and Tobago,March,2026,22,16
Trinidad and Tobago,April,2026,19,20
Trinidad and Tobago,May,2026,10,12
