Country,Month,Year,Events,Fatalities
Turkey,January,2016,132,540
Turkey,February,2016,119,424
Turkey,March,2016,147,527
Turkey,April,2016,228,438
Turkey,May,2016,188,418
Turkey,June,2016,198,279
Turkey,July,2016,189,544
Turkey,August,2016,219,294
Turkey,September,2016,150,287
Turkey,October,2016,142,316
Turkey,November,2016,91,213
Turkey,December,2016,52,199
Turkey,January,2017,55,113
Turkey,February,2017,43,81
Turkey,March,2017,88,209
Turkey,April,2017,93,295
Turkey,May,2017,102,328
Turkey,June,2017,93,321
Turkey,July,2017,106,406
Turkey,August,2017,89,317
Turkey,September,2017,91,226
Turkey,October,2017,86,162
Turkey,November,2017,61,155
Turkey,December,2017,25,44
Turkey,January,2018,38,23
Turkey,February,2018,48,45
Turkey,March,2018,57,123
Turkey,April,2018,63,114
Turkey,May,2018,82,58
Turkey,June,2018,164,178
Turkey,July,2018,128,180
Turkey,August,2018,110,132
Turkey,September,2018,97,53
Turkey,October,2018,87,43
Turkey,November,2018,62,27
Turkey,December,2018,48,7
Turkey,January,2019,42,8
Turkey,February,2019,28,0
Turkey,March,2019,90,13
Turkey,April,2019,54,29
Turkey,May,2019,96,71
Turkey,June,2019,121,107
Turkey,July,2019,132,101
Turkey,August,2019,90,59
Turkey,September,2019,87,57
Turkey,October,2019,108,80
Turkey,November,2019,48,20
Turkey,December,2019,50,14
Turkey,January,2020,36,4
Turkey,February,2020,45,2
Turkey,March,2020,60,11
Turkey,April,2020,57,17
Turkey,May,2020,79,50
Turkey,June,2020,111,56
Turkey,July,2020,94,56
Turkey,August,2020,73,26
Turkey,September,2020,69,84
Turkey,October,2020,81,38
Turkey,November,2020,25,13
Turkey,December,2020,48,2
Turkey,January,2021,37,10
Turkey,February,2021,17,1
Turkey,March,2021,21,14
Turkey,April,2021,24,21
Turkey,May,2021,53,23
Turkey,June,2021,43,28
Turkey,July,2021,41,21
Turkey,August,2021,44,31
Turkey,September,2021,36,19
Turkey,October,2021,26,17
Turkey,November,2021,22,10
Turkey,December,2021,18,18
Turkey,January,2022,17,2
Turkey,February,2022,13,3
Turkey,March,2022,16,2
Turkey,April,2022,32,17
Turkey,May,2022,33,21
Turkey,June,2022,45,32
Turkey,July,2022,47,26
Turkey,August,2022,48,26
Turkey,September,2022,33,22
Turkey,October,2022,32,14
Turkey,November,2022,28,22
Turkey,December,2022,22,12
Turkey,January,2023,22,23
Turkey,February,2023,31,7
Turkey,March,2023,18,21
Turkey,April,2023,27,8
Turkey,May,2023,103,20
Turkey,June,2023,24,12
Turkey,July,2023,34,12
Turkey,August,2023,30,16
Turkey,September,2023,21,6
Turkey,October,2023,28,10
Turkey,November,2023,14,2
Turkey,December,2023,16,7
Turkey,January,2024,13,2
Turkey,February,2024,11,3
Turkey,March,2024,57,8
Turkey,April,2024,30,2
Turkey,May,2024,19,3
Turkey,June,2024,21,7
Turkey,July,2024,25,10
Turkey,August,2024,22,6
Turkey,September,2024,16,7
Turkey,October,2024,27,7
Turkey,November,2024,9,0
Turkey,December,2024,8,0
Turkey,January,2025,4,0
Turkey,February,2025,5,0
Turkey,March,2025,4,0
Turkey,April,2025,4,1
Turkey,May,2025,5,0
Turkey,June,2025,2,0
Turkey,July,2025,5,0
Turkey,August,2025,3,0
Turkey,September,2025,4,3
Turkey,October,2025,8,2
Turkey,November,2025,2,0
Turkey,December,2025,2,9
Turkey,January,2026,5,1
Turkey,February,2026,1,0
Turkey,March,2026,0,0
Turkey,April,2026,3,1
Turkey,May,2026,2,0
