Country,Month,Year,Events,Fatalities
Uganda,January,1997,5,16
Uganda,February,1997,5,27
Uganda,March,1997,3,11
Uganda,April,1997,5,188
Uganda,May,1997,2,152
Uganda,June,1997,12,245
Uganda,July,1997,24,130
Uganda,August,1997,8,28
Uganda,September,1997,13,78
Uganda,October,1997,5,42
Uganda,November,1997,3,8
Uganda,December,1997,4,7
Uganda,January,1998,9,21
Uganda,February,1998,8,14
Uganda,March,1998,4,14
Uganda,April,1998,46,186
Uganda,May,1998,29,264
Uganda,June,1998,27,183
Uganda,July,1998,23,130
Uganda,August,1998,23,115
Uganda,September,1998,24,72
Uganda,October,1998,14,15
Uganda,November,1998,43,72
Uganda,December,1998,28,75
Uganda,January,1999,29,97
Uganda,February,1999,25,112
Uganda,March,1999,18,96
Uganda,April,1999,28,106
Uganda,May,1999,22,89
Uganda,June,1999,3,3
Uganda,July,1999,16,219
Uganda,August,1999,6,28
Uganda,September,1999,25,287
Uganda,October,1999,3,2
Uganda,November,1999,10,37
Uganda,December,1999,48,211
Uganda,January,2000,54,209
Uganda,February,2000,15,109
Uganda,March,2000,9,73
Uganda,April,2000,26,132
Uganda,May,2000,13,87
Uganda,June,2000,20,175
Uganda,July,2000,22,218
Uganda,August,2000,17,48
Uganda,September,2000,19,48
Uganda,October,2000,9,22
Uganda,November,2000,23,31
Uganda,December,2000,6,90
Uganda,January,2001,6,27
Uganda,February,2001,4,0
Uganda,March,2001,30,23
Uganda,April,2001,12,15
Uganda,May,2001,15,34
Uganda,June,2001,11,11
Uganda,July,2001,7,11
Uganda,August,2001,8,0
Uganda,September,2001,4,6
Uganda,October,2001,4,0
Uganda,November,2001,7,2
Uganda,December,2001,1,0
Uganda,January,2002,6,9
Uganda,February,2002,7,20
Uganda,March,2002,11,30
Uganda,April,2002,7,21
Uganda,May,2002,18,34
Uganda,June,2002,30,44
Uganda,July,2002,60,383
Uganda,August,2002,54,192
Uganda,September,2002,80,277
Uganda,October,2002,54,270
Uganda,November,2002,55,371
Uganda,December,2002,73,207
Uganda,January,2003,46,163
Uganda,February,2003,44,188
Uganda,March,2003,46,84
Uganda,April,2003,43,127
Uganda,May,2003,60,163
Uganda,June,2003,101,457
Uganda,July,2003,43,135
Uganda,August,2003,63,356
Uganda,September,2003,43,130
Uganda,October,2003,58,237
Uganda,November,2003,76,659
Uganda,December,2003,28,140
Uganda,January,2004,43,146
Uganda,February,2004,41,521
Uganda,March,2004,37,81
Uganda,April,2004,63,214
Uganda,May,2004,30,72
Uganda,June,2004,29,165
Uganda,July,2004,9,25
Uganda,August,2004,16,62
Uganda,September,2004,11,37
Uganda,October,2004,20,52
Uganda,November,2004,15,27
Uganda,December,2004,11,13
Uganda,January,2005,22,65
Uganda,February,2005,20,77
Uganda,March,2005,36,253
Uganda,April,2005,36,131
Uganda,May,2005,20,62
Uganda,June,2005,17,77
Uganda,July,2005,18,87
Uganda,August,2005,14,90
Uganda,September,2005,18,72
Uganda,October,2005,21,96
Uganda,November,2005,7,6
