Country,Month,Year,Events,Fatalities
United Kingdom,January,2020,8,0
United Kingdom,February,2020,11,1
United Kingdom,March,2020,9,0
United Kingdom,April,2020,2,0
United Kingdom,May,2020,8,1
United Kingdom,June,2020,10,3
United Kingdom,July,2020,12,0
United Kingdom,August,2020,11,0
United Kingdom,September,2020,1,0
United Kingdom,October,2020,10,0
United Kingdom,November,2020,1,0
United Kingdom,December,2020,3,0
United Kingdom,January,2021,3,0
United Kingdom,February,2021,5,1
United Kingdom,March,2021,6,0
United Kingdom,April,2021,17,0
United Kingdom,May,2021,10,1
United Kingdom,June,2021,6,0
United Kingdom,July,2021,8,0
United Kingdom,August,2021,9,1
United Kingdom,September,2021,3,0
United Kingdom,October,2021,2,1
United Kingdom,November,2021,9,1
United Kingdom,December,2021,2,0
United Kingdom,January,2022,0,0
United Kingdom,February,2022,0,0
United Kingdom,March,2022,5,0
United Kingdom,April,2022,8,0
United Kingdom,May,2022,0,0
United Kingdom,June,2022,3,0
United Kingdom,July,2022,6,0
United Kingdom,August,2022,1,0
United Kingdom,September,2022,5,0
United Kingdom,October,2022,1,0
United Kingdom,November,2022,3,0
United Kingdom,December,2022,0,0
United Kingdom,January,2023,1,0
United Kingdom,February,2023,2,1
United Kingdom,March,2023,2,0
United Kingdom,April,2023,2,0
United Kingdom,May,2023,2,0
United Kingdom,June,2023,2,0
United Kingdom,July,2023,3,0
United Kingdom,August,2023,1,0
United Kingdom,September,2023,3,0
United Kingdom,October,2023,2,0
United Kingdom,November,2023,0,0
United Kingdom,December,2023,1,0
United Kingdom,January,2024,0,0
United Kingdom,February,2024,2,0
United Kingdom,March,2024,1,0
United Kingdom,April,2024,0,0
United Kingdom,May,2024,3,0
United Kingdom,June,2024,3,0
United Kingdom,July,2024,3,0
United Kingdom,August,2024,8,0
United Kingdom,September,2024,1,0
United Kingdom,October,2024,1,0
United Kingdom,November,2024,0,0
United Kingdom,December,2024,2,0
United Kingdom,January,2025,0,0
United Kingdom,February,2025,3,0
United Kingdom,March,2025,0,0
United Kingdom,April,2025,0,0
United Kingdom,May,2025,2,0
United Kingdom,June,2025,4,0
United Kingdom,July,2025,1,0
United Kingdom,August,2025,1,0
United Kingdom,September,2025,0,0
United Kingdom,October,2025,2,3
United Kingdom,November,2025,1,0
United Kingdom,December,2025,2,0
United Kingdom,January,2026,2,0
United Kingdom,February,2026,0,0
United Kingdom,March,2026,1,0
United Kingdom,April,2026,3,0
United Kingdom,May,2026,5,0
