name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
BAYARBOUGOU,school,Burkina Faso,BFA,HOTOSM/OSM,10.971733,-5.492083,,Bayarabougou,community
FOKOGNOUMA DIASSA,school,Burkina Faso,BFA,HOTOSM/OSM,11.26482,-5.27005,,Fokognoumadiassa,public
Ecole de Dorokouma,school,Burkina Faso,BFA,HOTOSM/OSM,12.53041,-4.412035,,Dorokouma,community
KONA ECOM,school,Burkina Faso,BFA,HOTOSM/OSM,12.05015,-4.746717,,Kona,public
institut de formation colbert,school,Burkina Faso,BFA,HOTOSM/OSM,12.31728,-1.525117,yes,ouagadougou,
Collège Privé RAMODG-WENDE,school,Burkina Faso,BFA,HOTOSM/OSM,12.329418,-1.52494,yes,Ouagadougou,
Institut Supérieur Privé de Management,university,Burkina Faso,BFA,HOTOSM/OSM,12.357004,-1.492439,yes,,private
École Kouna-Toumou,school,Burkina Faso,BFA,HOTOSM/OSM,13.474588,-3.976277,,Kouna Toumou,community
WARA MAFOUNE,school,Burkina Faso,BFA,HOTOSM/OSM,12.725133,-4.31354,,Wara,community
KOYA,school,Burkina Faso,BFA,HOTOSM/OSM,13.042103,-4.303521,,Koya,community
École Sinikuy,school,Burkina Faso,BFA,HOTOSM/OSM,13.199505,-4.266254,,Sinikuy Tierakuy,community
KOMIAN,school,Burkina Faso,BFA,HOTOSM/OSM,13.078446,-4.321271,,Komian,community
École primaire de Viré-Songdin,school,Burkina Faso,BFA,HOTOSM/OSM,13.41573,-2.554702,school,,
Juvenat filles st camille,school,Burkina Faso,BFA,HOTOSM/OSM,12.376638,-1.474951,,,community
ISIG,university,Burkina Faso,BFA,HOTOSM/OSM,12.360223,-1.498398,,,
Ecole Mennè A,school,Burkina Faso,BFA,HOTOSM/OSM,11.364437,0.114042,,,public
Le Petit Monde,school,Burkina Faso,BFA,HOTOSM/OSM,12.358894,-1.500527,,,private
Lycée de la jeunesse,school,Burkina Faso,BFA,HOTOSM/OSM,12.382428,-1.476388,,,
Lycée Novus,college,Burkina Faso,BFA,HOTOSM/OSM,12.367849,-1.47021,,,private
Detachement Université ouaga II,university,Burkina Faso,BFA,HOTOSM/OSM,12.363072,-1.480181,,,public
Groupe Scolaire Sainte-Collete - annexe professionnelle,school,Burkina Faso,BFA,HOTOSM/OSM,12.368406,-1.463046,,,private
Cours privé Marie Curie,school,Burkina Faso,BFA,HOTOSM/OSM,12.369727,-1.46258,,,private
English Language Center,college,Burkina Faso,BFA,HOTOSM/OSM,12.368868,-1.497819,,,
ESSUPJ,university,Burkina Faso,BFA,HOTOSM/OSM,12.382979,-1.477018,,,
Lycée technique Jean-paul II,school,Burkina Faso,BFA,HOTOSM/OSM,12.362105,-1.482988,yes,,
Garderie centre d'acceuil,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,12.360979,-1.482687,,,private
Centre d'Apprentissage et de Perfectionnement En Anglais,college,Burkina Faso,BFA,HOTOSM/OSM,12.365032,-1.478848,,,public
Lycee National de Bobo,school,Burkina Faso,BFA,HOTOSM/OSM,11.180019,-4.339292,,,public
Lycée privé La Solution,school,Burkina Faso,BFA,HOTOSM/OSM,11.101949,-2.103041,,,private
,,Burkina Faso,BFA,HOTOSM/OSM,11.105859,-2.098571,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,11.110724,-2.086756,school,,
CEG de Viré-Songdin,school,Burkina Faso,BFA,HOTOSM/OSM,13.406796,-2.569723,,,private
Collège de l'Avenir,college,Burkina Faso,BFA,HOTOSM/OSM,11.169959,-4.276196,,,private
Lycée Wendpuire de Saaba,school,Burkina Faso,BFA,HOTOSM/OSM,12.381279,-1.422587,,,public
Lycée Promotion,college,Burkina Faso,BFA,HOTOSM/OSM,11.168426,-4.270893,yes,,
,,Burkina Faso,BFA,HOTOSM/OSM,11.749832,1.788157,school,,
Accart-Ville Sud,school,Burkina Faso,BFA,HOTOSM/OSM,11.181944,-4.311502,,,
Institut National des Sciences de la Santé,university,Burkina Faso,BFA,OSM,11.18205,-4.36221,,,
Alwata Diawara,school,Burkina Faso,BFA,HOTOSM/OSM,13.068853,-3.070669,,,public
EcolePrimaire Publique de Dimolo,school,Burkina Faso,BFA,HOTOSM/OSM,10.540874,-3.404428,,,public
,,Burkina Faso,BFA,HOTOSM/OSM,13.467947,-2.586983,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,13.450791,-2.665636,school,,
Lycée Mixe d'accard-Ville,school,Burkina Faso,BFA,OSM,11.18662,-4.31571,,,
,school,Burkina Faso,BFA,HOTOSM/OSM,11.187106,-4.31501,,,
Ecole de Kédié,,Burkina Faso,BFA,HOTOSM/OSM,11.484512,-2.625508,school,Kédié,
LYCEE PRIVEE CHEICK ANTA DIOP,school,Burkina Faso,BFA,HOTOSM/OSM,11.188922,-4.315221,,,private
Musso Dankan,school,Burkina Faso,BFA,HOTOSM/OSM,11.152426,-3.059485,,,private
Lycee Privee Islamique de Bobo,school,Burkina Faso,BFA,HOTOSM/OSM,11.174242,-4.304578,,,private
Batiment 1: salles de classes,,Burkina Faso,BFA,HOTOSM/OSM,11.177792,-4.356216,school,,
"Lycée Privé ""ELKANA""",college,Burkina Faso,BFA,HOTOSM/OSM,11.177488,-4.297137,,,private
Ecole Primaire,school,Burkina Faso,BFA,HOTOSM/OSM,10.801143,-4.860521,,Kolokolo,
Institut des Sciences Techniques et de Management,college,Burkina Faso,BFA,HOTOSM/OSM,12.37643,-1.493462,,,private
2iE,university,Burkina Faso,BFA,OSM,12.37913,-1.50355,,,
Primary School Catholic Saint Paul,school,Burkina Faso,BFA,HOTOSM/OSM,13.067791,-1.081814,,Kaya,
Charis,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,12.373815,-1.488201,,,private
École primaire publique A - Batiment 2,school,Burkina Faso,BFA,HOTOSM/OSM,12.191552,-2.601448,yes,,
juvenat garçon st camille,school,Burkina Faso,BFA,HOTOSM/OSM,12.375277,-1.490224,,,community
Université Saint Thomas d’Aquin (USTA),university,Burkina Faso,BFA,HOTOSM/OSM,12.384025,-1.418425,,Ouagadougou,
Institut des Sciences et Techniques de l’Information et de la Communication,college,Burkina Faso,BFA,HOTOSM/OSM,12.369767,-1.514197,,,public
Joyeux bambims,school,Burkina Faso,BFA,HOTOSM/OSM,12.37394,-1.533896,,,private
complexe cours du soir namalgué,school,Burkina Faso,BFA,HOTOSM/OSM,12.337137,-1.533352,,,private
Collège des Jeunes Filles de Loumbila,school,Burkina Faso,BFA,HOTOSM/OSM,12.489503,-1.403587,,,community
Jokkolabs Ouagadougou,college,Burkina Faso,BFA,HOTOSM/OSM,12.353762,-1.522504,,,private
Ecole Primaire Publique de Gonfrèra,school,Burkina Faso,BFA,HOTOSM/OSM,10.517362,-3.299142,,,public
Ecole Primaire Publique de Djégonao,school,Burkina Faso,BFA,HOTOSM/OSM,10.535307,-3.365899,,,public
Jardin d'enfants,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,11.076066,-5.299762,school,,
École primaire Tarwende,school,Burkina Faso,BFA,HOTOSM/OSM,12.336617,-1.540146,,,private
,school,Burkina Faso,BFA,HOTOSM/OSM,12.318349,-1.519203,,,
Ecole La Savane,school,Burkina Faso,BFA,HOTOSM/OSM,12.331121,-1.546293,,,community
Lycée privé Millenium plus,school,Burkina Faso,BFA,HOTOSM/OSM,12.330523,-1.549028,,,private
,school,Burkina Faso,BFA,HOTOSM/OSM,12.334734,-1.534227,,,public
Institut d'Application et de Vulgarisation en Sciences,college,Burkina Faso,BFA,HOTOSM/OSM,12.334765,-1.538247,,,private
