name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
BAYARBOUGOU,school,Burkina Faso,BFA,HOTOSM/OSM,10.971733,-5.492083,,Bayarabougou,community
FOKOGNOUMA DIASSA,school,Burkina Faso,BFA,HOTOSM/OSM,11.26482,-5.27005,,Fokognoumadiassa,public
Ecole de Dorokouma,school,Burkina Faso,BFA,HOTOSM/OSM,12.53041,-4.412035,,Dorokouma,community
KONA ECOM,school,Burkina Faso,BFA,HOTOSM/OSM,12.05015,-4.746717,,Kona,public
institut de formation colbert,school,Burkina Faso,BFA,HOTOSM/OSM,12.31728,-1.525117,yes,ouagadougou,
"École maternelle primaire ""THEA""",school,Burkina Faso,BFA,HOTOSM/OSM,12.329777,-1.525389,yes,Ouagadougou,
Collège Privé RAMODG-WENDE,school,Burkina Faso,BFA,HOTOSM/OSM,12.329418,-1.52494,yes,Ouagadougou,
Institut Supérieur Privé de Management,university,Burkina Faso,BFA,HOTOSM/OSM,12.357004,-1.492439,yes,,private
École Kouna-Toumou,school,Burkina Faso,BFA,HOTOSM/OSM,13.474588,-3.976277,,Kouna Toumou,community
WARA MAFOUNE,school,Burkina Faso,BFA,HOTOSM/OSM,12.725133,-4.31354,,Wara,community
KOYA,school,Burkina Faso,BFA,HOTOSM/OSM,13.042103,-4.303521,,Koya,community
École Sinikuy,school,Burkina Faso,BFA,HOTOSM/OSM,13.199505,-4.266254,,Sinikuy Tierakuy,community
KOMIAN,school,Burkina Faso,BFA,HOTOSM/OSM,13.078446,-4.321271,,Komian,community
École primaire de Viré-Songdin,school,Burkina Faso,BFA,HOTOSM/OSM,13.41573,-2.554702,school,,
Juvenat filles st camille,school,Burkina Faso,BFA,HOTOSM/OSM,12.376638,-1.474951,,,community
Université Aube Nouvelle,university,Burkina Faso,BFA,HOTOSM/OSM,12.36053,-1.498142,,,private
Ecole Mennè A,school,Burkina Faso,BFA,HOTOSM/OSM,11.364437,0.114042,,,public
CEEP Le Petit Monde,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,12.359614,-1.50002,,,private
Le Petit Monde,school,Burkina Faso,BFA,HOTOSM/OSM,12.358894,-1.500527,,,private
Lycee de la jeunesse,college,Burkina Faso,BFA,HOTOSM/OSM,12.382832,-1.476206,,,private
Lycée Novus,college,Burkina Faso,BFA,HOTOSM/OSM,12.367849,-1.47021,,,private
Detachement Université ouaga II,university,Burkina Faso,BFA,HOTOSM/OSM,12.363072,-1.480181,,,public
Groupe Scolaire Sainte-Collete - annexe professionnelle,school,Burkina Faso,BFA,HOTOSM/OSM,12.368406,-1.463046,,,private
Cours privé Marie Curie,school,Burkina Faso,BFA,HOTOSM/OSM,12.369727,-1.46258,,,private
ISIG INTERNATIONAL Annexe,university,Burkina Faso,BFA,HOTOSM/OSM,12.369224,-1.497944,yes,,
Ephata International,college,Burkina Faso,BFA,HOTOSM/OSM,12.383686,-1.477285,,,private
Lycée technique Jean-paul II,school,Burkina Faso,BFA,HOTOSM/OSM,12.362105,-1.482988,yes,,
Garderie centre d'acceuil,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,12.360979,-1.482687,,,private
institut Panafricaine de Formation En Aeronautique,college,Burkina Faso,BFA,HOTOSM/OSM,12.363317,-1.480002,,,private
Centre d'Apprentissage et de Perfectionnement En Anglais,college,Burkina Faso,BFA,HOTOSM/OSM,12.365032,-1.478848,,,public
Lycee National de Bobo,school,Burkina Faso,BFA,HOTOSM/OSM,11.180019,-4.339292,,,public
Lycée privé La Solution,school,Burkina Faso,BFA,HOTOSM/OSM,11.101949,-2.103041,,,private
Lycée Municipal de Léo,school,Burkina Faso,BFA,HOTOSM/OSM,11.106255,-2.098692,,,public
Lycée Privé Saint Jacques de Léo,school,Burkina Faso,BFA,HOTOSM/OSM,11.111001,-2.086706,,,private
CEG de Viré-Songdin,school,Burkina Faso,BFA,HOTOSM/OSM,13.406796,-2.569723,,,private
Collège de l'Avenir,college,Burkina Faso,BFA,HOTOSM/OSM,11.169959,-4.276196,,,private
Lycée Wendpuire de Saaba,school,Burkina Faso,BFA,HOTOSM/OSM,12.381279,-1.422587,,,public
Lycée Promotion,college,Burkina Faso,BFA,HOTOSM/OSM,11.168426,-4.270893,yes,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,11.750389,1.78865,,,public
École primaire Accart-Ville Sud,school,Burkina Faso,BFA,HOTOSM/OSM,11.182342,-4.311492,,,public
Institut National des Sciences de la Santé,university,Burkina Faso,BFA,HOTOSM/OSM,11.182066,-4.362218,yes,,
Alwata Diawara,school,Burkina Faso,BFA,HOTOSM/OSM,13.068853,-3.070669,,,public
EcolePrimaire Publique de Dimolo,school,Burkina Faso,BFA,HOTOSM/OSM,10.540874,-3.404428,,,public
Ecole primaire de Nango Yarcé,school,Burkina Faso,BFA,HOTOSM/OSM,13.468587,-2.586827,school,,
Ecole primaire de Guessoum,school,Burkina Faso,BFA,HOTOSM/OSM,13.451003,-2.665655,,,public
Lycée Mixe d'accard-Ville,school,Burkina Faso,BFA,HOTOSM/OSM,11.187387,-4.315391,yes,,
LYCEE MIXE D'ACCARD-VILLE,school,Burkina Faso,BFA,HOTOSM/OSM,11.18765,-4.315478,,,public
Ecole de Kédié,,Burkina Faso,BFA,HOTOSM/OSM,11.484512,-2.625508,school,Kédié,
LYCEE PRIVEE CHEICK ANTA DIOP,school,Burkina Faso,BFA,HOTOSM/OSM,11.188922,-4.315221,,,private
Musso Dankan,school,Burkina Faso,BFA,HOTOSM/OSM,11.152426,-3.059485,,,private
Lycee Privee Islamique de Bobo,school,Burkina Faso,BFA,HOTOSM/OSM,11.174242,-4.304578,,,private
Complexe Sclolaire Privé Yahve Schama,school,Burkina Faso,BFA,HOTOSM/OSM,11.177933,-4.356263,,,private
Lycée Mixe d'accard-Ville,school,Burkina Faso,BFA,HOTOSM/OSM,11.186749,-4.315545,yes,,
"Lycée Privé ""ELKANA""",college,Burkina Faso,BFA,HOTOSM/OSM,11.177488,-4.297137,,,private
Ecole Primaire,school,Burkina Faso,BFA,HOTOSM/OSM,10.801143,-4.860521,,Kolokolo,
Institut des Sciences Techniques et de Management,college,Burkina Faso,BFA,HOTOSM/OSM,12.37643,-1.493462,,,private
Institut International d'Ingénierie de l'Eau et de l'Environnement,college,Burkina Faso,BFA,HOTOSM/OSM,12.379233,-1.503213,,,private
Primary School Catholic Saint Paul,school,Burkina Faso,BFA,HOTOSM/OSM,13.067791,-1.081814,,Kaya,
Charis,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,12.373815,-1.488201,,,private
École primaire publique A - Batiment 1,school,Burkina Faso,BFA,HOTOSM/OSM,12.191894,-2.601504,yes,,
juvenat garçon st camille,school,Burkina Faso,BFA,HOTOSM/OSM,12.375277,-1.490224,,,community
École primaire publique A - Batiment 2,school,Burkina Faso,BFA,HOTOSM/OSM,12.191552,-2.601448,yes,,
Université Saint Thomas d’Aquin (USTA),university,Burkina Faso,BFA,HOTOSM/OSM,12.384025,-1.418425,,Ouagadougou,
Ecole Nationale Des Postes (ENAPOSTE),school,Burkina Faso,BFA,HOTOSM/OSM,12.370328,-1.51426,yes,,
Joyeux bambims,school,Burkina Faso,BFA,HOTOSM/OSM,12.37394,-1.533896,,,private
complexe cours du soir namalgué,school,Burkina Faso,BFA,HOTOSM/OSM,12.337137,-1.533352,,,private
Collège des Jeunes Filles de Loumbila,school,Burkina Faso,BFA,HOTOSM/OSM,12.489503,-1.403587,,,community
Steve Biko,school,Burkina Faso,BFA,HOTOSM/OSM,12.337424,-1.533495,,,public
