ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank,source,iso3
BFA,671180,Women with no education,82.9,1,BF,Burkina Faso,1993,BF1993DHS,ED_EDUC_W_NED,231203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,1993,DHS,6354,6354,,,,HDX,BFA
BFA,671187,Women with primary education,10.5,1,BF,Burkina Faso,1993,BF1993DHS,ED_EDUC_W_PRI,231203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,1993,DHS,6354,6354,,,,HDX,BFA
BFA,671205,Women with secondary or higher education,6.6,1,BF,Burkina Faso,1993,BF1993DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,1993,DHS,6354,6354,,,,HDX,BFA
BFA,274489,Men with no education,70.3,1,BF,Burkina Faso,1993,BF1993DHS,ED_EDUC_M_NED,231204140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMNED,,1993,DHS,1254,1362,,,,HDX,BFA
BFA,274479,Men with primary education,17.4,1,BF,Burkina Faso,1993,BF1993DHS,ED_EDUC_M_PRI,231204220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMPRI,,1993,DHS,1254,1362,,,,HDX,BFA
BFA,274493,Men with secondary or higher education,12.3,1,BF,Burkina Faso,1993,BF1993DHS,ED_EDUC_M_SEH,231204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,1993,DHS,1254,1362,,,,HDX,BFA
BFA,594919,Women with no education,85.8,1,BF,Burkina Faso,1999,BF1999DHS,ED_EDUC_W_NED,231203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,1998-99,DHS,6445,6445,,,,HDX,BFA
BFA,594894,Women with primary education,8.4,1,BF,Burkina Faso,1999,BF1999DHS,ED_EDUC_W_PRI,231203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,1998-99,DHS,6445,6445,,,,HDX,BFA
BFA,594895,Women with secondary or higher education,5.8,1,BF,Burkina Faso,1999,BF1999DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,1998-99,DHS,6445,6445,,,,HDX,BFA
BFA,53314,Men with no education,71.4,1,BF,Burkina Faso,1999,BF1999DHS,ED_EDUC_M_NED,231204140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMNED,,1998-99,DHS,2354,2366,,,,HDX,BFA
BFA,53309,Men with primary education,15.1,1,BF,Burkina Faso,1999,BF1999DHS,ED_EDUC_M_PRI,231204220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMPRI,,1998-99,DHS,2354,2366,,,,HDX,BFA
BFA,53318,Men with secondary or higher education,13.5,1,BF,Burkina Faso,1999,BF1999DHS,ED_EDUC_M_SEH,231204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,1998-99,DHS,2354,2366,,,,HDX,BFA
BFA,335617,Women with no education,80.3,1,BF,Burkina Faso,2003,BF2003DHS,ED_EDUC_W_NED,231203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,2003,DHS,12477,12477,,,,HDX,BFA
BFA,335614,Women with primary education,11.0,1,BF,Burkina Faso,2003,BF2003DHS,ED_EDUC_W_PRI,231203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,2003,DHS,12477,12477,,,,HDX,BFA
BFA,335615,Women with secondary or higher education,8.7,1,BF,Burkina Faso,2003,BF2003DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,2003,DHS,12477,12477,,,,HDX,BFA
BFA,633595,Men with no education,62.7,1,BF,Burkina Faso,2003,BF2003DHS,ED_EDUC_M_NED,231204140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMNED,,2003,DHS,3209,3189,,,,HDX,BFA
BFA,633594,Men with primary education,18.9,1,BF,Burkina Faso,2003,BF2003DHS,ED_EDUC_M_PRI,231204220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMPRI,,2003,DHS,3209,3189,,,,HDX,BFA
BFA,633598,Men with secondary or higher education,18.4,1,BF,Burkina Faso,2003,BF2003DHS,ED_EDUC_M_SEH,231204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,2003,DHS,3209,3189,,,,HDX,BFA
BFA,348564,Women who are literate,15.9,1,BF,Burkina Faso,2003,BF2003DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2003,DHS,12477,12477,,,,HDX,BFA
BFA,483857,Men who are literate,33.3,1,BF,Burkina Faso,2003,BF2003DHS,ED_LITR_M_LIT,231234200,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMLIT,,2003,DHS,3209,3189,,,,HDX,BFA
BFA,782466,Women with no education,73.9,1,BF,Burkina Faso,2010,BF2010DHS,ED_EDUC_W_NED,231203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,2010,DHS,17087,17087,,,,HDX,BFA
BFA,782472,Women with primary education,13.6,1,BF,Burkina Faso,2010,BF2010DHS,ED_EDUC_W_PRI,231203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,2010,DHS,17087,17087,,,,HDX,BFA
BFA,782473,Women with secondary or higher education,12.4,1,BF,Burkina Faso,2010,BF2010DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,2010,DHS,17087,17087,,,,HDX,BFA
BFA,782480,Men with no education,59.3,1,BF,Burkina Faso,2010,BF2010DHS,ED_EDUC_M_NED,231204140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMNED,,2010,DHS,6500,6500,,,,HDX,BFA
BFA,782485,Men with primary education,20.4,1,BF,Burkina Faso,2010,BF2010DHS,ED_EDUC_M_PRI,231204220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMPRI,,2010,DHS,6500,6500,,,,HDX,BFA
BFA,782483,Men with secondary or higher education,20.3,1,BF,Burkina Faso,2010,BF2010DHS,ED_EDUC_M_SEH,231204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,2010,DHS,6500,6500,,,,HDX,BFA
BFA,783266,Women who are literate,22.5,1,BF,Burkina Faso,2010,BF2010DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2010,DHS,17087,17087,,,,HDX,BFA
BFA,782488,Men who are literate,37.6,1,BF,Burkina Faso,2010,BF2010DHS,ED_LITR_M_LIT,231234200,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMLIT,,2010,DHS,6500,6500,,,,HDX,BFA
BFA,389571,Women with no education,66.8,1,BF,Burkina Faso,2014,BF2014MIS,ED_EDUC_W_NED,231203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,2014,MIS,8111,8111,,,,HDX,BFA
BFA,389568,Women with primary education,14.9,1,BF,Burkina Faso,2014,BF2014MIS,ED_EDUC_W_PRI,231203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,2014,MIS,8111,8111,,,,HDX,BFA
BFA,389569,Women with secondary or higher education,18.2,1,BF,Burkina Faso,2014,BF2014MIS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,2014,MIS,8111,8111,,,,HDX,BFA
BFA,288496,Women who are literate,29.7,1,BF,Burkina Faso,2014,BF2014MIS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2014,MIS,8111,8111,,,,HDX,BFA
BFA,647784,Women with no education,64.6,1,BF,Burkina Faso,2017,BF2017MIS,ED_EDUC_W_NED,231203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,2017-18,MIS,7628,7628,,,,HDX,BFA
BFA,647782,Women with primary education,14.3,1,BF,Burkina Faso,2017,BF2017MIS,ED_EDUC_W_PRI,231203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,2017-18,MIS,7628,7628,,,,HDX,BFA
BFA,647783,Women with secondary or higher education,21.1,1,BF,Burkina Faso,2017,BF2017MIS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,2017-18,MIS,7628,7628,,,,HDX,BFA
BFA,491025,Women who are literate,30.8,1,BF,Burkina Faso,2017,BF2017MIS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2017-18,MIS,7628,7628,,,,HDX,BFA
BFA,695644,Women with no education,58.3,1,BF,Burkina Faso,2021,BF2021DHS,ED_EDUC_W_NED,231203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,2021,DHS,17659,17659,,,,HDX,BFA
BFA,695653,Women with primary education,14.2,1,BF,Burkina Faso,2021,BF2021DHS,ED_EDUC_W_PRI,231203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,2021,DHS,17659,17659,,,,HDX,BFA
BFA,695602,Women with secondary or higher education,27.5,1,BF,Burkina Faso,2021,BF2021DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,2021,DHS,17659,17659,,,,HDX,BFA
BFA,475482,Men with no education,45.2,1,BF,Burkina Faso,2021,BF2021DHS,ED_EDUC_M_NED,231204140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMNED,,2021,DHS,6888,6891,,,,HDX,BFA
BFA,475487,Men with primary education,19.3,1,BF,Burkina Faso,2021,BF2021DHS,ED_EDUC_M_PRI,231204220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMPRI,,2021,DHS,6888,6891,,,,HDX,BFA
BFA,475486,Men with secondary or higher education,35.5,1,BF,Burkina Faso,2021,BF2021DHS,ED_EDUC_M_SEH,231204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,2021,DHS,6888,6891,,,,HDX,BFA
BFA,714163,Women who are literate,38.6,1,BF,Burkina Faso,2021,BF2021DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2021,DHS,17659,17659,,,,HDX,BFA
BFA,768697,Men who are literate,52.0,1,BF,Burkina Faso,2021,BF2021DHS,ED_LITR_M_LIT,231234200,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMLIT,,2021,DHS,6888,6891,,,,HDX,BFA
