INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,INDICATOR_NAME
GER.1,ALB,2002,110.3389205932617,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2003,107.598258972168,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2004,104.131721496582,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2005,107.0161437988281,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2006,105.477783203125,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2007,103.4884414672852,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2008,100.3830032348633,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2009,100.9237365722656,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2010,99.8618342722087,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2011,101.5802736628907,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2012,102.0673608915586,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2013,101.474954848321,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2014,105.7705818138585,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2015,105.6886529916064,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2016,105.3247774010769,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2017,105.4149709083235,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2018,104.5680153246388,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2019,102.5895411514802,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2020,100.0209700498347,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2021,97.10750382848391,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2022,96.37122993047566,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2023,93.71381201377376,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,ALB,2024,111.5116500854492,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1.F,ALB,2002,108.2828598022461,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2003,106.0926513671875,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2004,103.1750030517578,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2005,105.8575668334961,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2006,104.8575668334961,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2007,103.241828918457,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2008,100.3205490112305,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2009,100.3347473144531,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2010,99.55120624959264,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2011,101.1902288444985,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2012,101.5685498979974,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2013,100.5522255224697,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2014,105.6312163518569,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2015,104.8301931368496,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2016,104.6045897919673,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2017,103.9444325387321,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2018,102.3766504517026,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2019,99.5995531062879,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2020,97.267965482157,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2021,94.19693882621876,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2022,93.09467746200436,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2023,90.16676471340512,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,ALB,2024,111.4282379150391,,,"Gross enrolment ratio, primary, female (%)"
GER.1.GPIA,ALB,2002,0.9642900228500366,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2003,0.973039984703064,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2004,0.98225998878479,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2005,0.9791600108146667,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2006,0.9886699914932252,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2007,0.9954100251197816,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2008,0.9988099932670592,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2009,0.988860011100769,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2010,0.9940677490271252,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2011,0.9926966357538332,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2012,0.9907390990839018,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2013,0.9827953460001324,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2014,0.9974989609430912,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2015,0.9846422137740743,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,ALB,2016,0.9870397094348914,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
