INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,INDICATOR_NAME
GER.1,CAF,2001,68.3127670288086,,NAT_EST,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2002,60.43114852905273,,NAT_EST,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2003,59.68717956542969,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2004,51.28705978393555,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2005,57.08509063720703,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2006,56.70103073120117,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2007,65.55345916748047,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2008,75.85034942626953,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2009,77.42991638183594,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2010,81.2789535522461,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2011,81.35040283203125,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2012,81.93150329589844,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CAF,2016,96.81259918212892,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1.F,CAF,2001,56.19211959838867,,NAT_EST,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CAF,2002,49.14464950561523,,NAT_EST,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CAF,2003,49.26137924194336,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CAF,2004,41.46757125854492,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CAF,2005,47.1820182800293,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CAF,2006,46.84925079345703,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CAF,2007,54.61135101318359,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CAF,2008,63.63327026367188,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CAF,2009,65.18106842041016,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CAF,2010,68.63011932373047,,,"Gross enrolment ratio, primary, female (%)"
