INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,INDICATOR_NAME
GER.1,CHE,2000,104.1527862548828,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2001,103.6061706542969,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2002,104.0014801025391,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2003,104.1575317382813,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2004,104.1528701782227,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2005,103.9190979003906,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2006,104.1238174438477,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2007,103.9565505981445,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2008,104.0876617431641,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2009,103.6348495483398,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2010,103.3929061889648,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2011,102.482177734375,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2012,102.1306381225586,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2013,102.4377593994141,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2014,102.470817565918,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2015,102.1559295654297,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2016,101.9025268554688,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2017,101.8333282470703,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2018,101.8372421264648,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2019,101.5930480957031,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2020,101.7317123413086,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2021,101.4782409667969,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2022,101.3630676269531,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CHE,2023,102.282958984375,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1.F,CHE,2000,104.3417587280273,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2001,103.8600387573242,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2002,103.7664489746094,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2003,103.9532928466797,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2004,103.8484115600586,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2005,103.6652603149414,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2006,103.9391174316406,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2007,103.781982421875,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2008,103.9404830932617,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2009,103.5548477172852,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2010,103.3223571777344,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2011,101.9560089111328,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2012,101.6624526977539,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2013,102.1667785644531,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2014,102.3254470825195,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2015,101.9360809326172,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2016,101.6634674072266,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2017,101.6433410644531,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2018,101.6656036376953,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2019,101.5096588134766,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2020,101.5680923461914,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2021,101.3668899536133,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2022,101.3117980957031,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CHE,2023,102.2742691040039,,,"Gross enrolment ratio, primary, female (%)"
GER.1.GPIA,CHE,2000,1.003520011901855,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2001,1.00475001335144,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2002,0.9955999851226808,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2003,0.99617999792099,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2004,0.9943199753761292,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2005,0.9952499866485596,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2006,0.9965500235557556,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2007,0.9967399835586548,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2008,0.9972599744796752,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2009,0.9984999895095824,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2010,0.9986799955368042,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2011,0.9900500178337096,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2012,0.991100013256073,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2013,0.9948599934577942,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2014,0.9972400069236756,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2015,0.9958099722862244,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2016,0.9954400062561036,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2017,0.996370017528534,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2018,0.996720016002655,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2019,0.9983999729156494,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2020,0.9968799948692322,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2021,0.9978700280189514,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2022,0.999019980430603,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CHE,2023,0.9998300075531006,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.M,CHE,2000,103.9746170043945,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2001,103.3671264648438,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2002,104.2248382568359,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2003,104.3516387939453,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2004,104.4416732788086,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2005,104.1598587036133,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2006,104.2986297607422,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2007,104.12158203125,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2008,104.2265472412109,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2009,103.7102127075195,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2010,103.4592895507813,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2011,102.9806671142578,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2012,102.5752029418945,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2013,102.6945266723633,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2014,102.6088180541992,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2015,102.3645477294922,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2016,102.1289367675781,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2017,102.0132598876953,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2018,101.9998397827148,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2019,101.6719665527344,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2020,101.8863983154297,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2021,101.5835876464844,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2022,101.4115295410156,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CHE,2023,102.2911834716797,,,"Gross enrolment ratio, primary, male (%)"
GER.1T2,CHE,2000,106.3358764648438,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2001,105.8263778686523,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2002,106.0545883178711,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2003,106.351692199707,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2004,106.3633728027344,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2005,106.4370880126953,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2006,106.7516098022461,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2007,106.7653198242188,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2008,106.940788269043,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2009,106.6836929321289,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2010,106.4037322998047,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2011,105.6685028076172,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2012,105.3149795532227,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2013,103.6827392578125,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2014,103.3860473632813,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2015,103.873908996582,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2016,103.7108306884766,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2017,103.1629791259766,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2018,102.85302734375,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2019,102.4363708496094,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2020,102.3129501342773,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2021,101.9175262451172,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2022,101.8582229614258,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CHE,2023,103.0317611694336,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2.F,CHE,2000,107.0585021972656,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2001,106.5634994506836,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2002,106.348876953125,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2003,106.6897888183594,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2004,106.6158294677734,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2005,106.755241394043,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2006,107.1983032226563,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2007,107.2190933227539,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2008,107.4398422241211,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2009,107.2272567749023,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2010,106.9122695922852,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2011,105.6427230834961,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2012,105.3499526977539,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2013,103.5493087768555,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2014,103.2379302978516,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2015,103.6805877685547,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2016,103.4379501342773,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2017,102.8760833740234,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2018,102.7223205566406,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2019,102.4138717651367,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2020,102.2968215942383,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2021,101.7984771728516,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2022,101.8099136352539,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CHE,2023,102.9465866088867,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.GPIA,CHE,2000,1.013110041618347,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2001,1.013450026512146,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2002,1.005399942398071,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2003,1.006180047988892,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2004,1.004609942436218,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2005,1.005800008773804,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2006,1.008110046386719,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2007,1.008239984512329,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2008,1.009039998054504,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2009,1.009850025177002,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2010,1.009230017662048,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2011,0.9995200037956238,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2012,1.00065004825592,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2013,0.9975000023841858,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2014,0.9972100257873536,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2015,0.9963799715042114,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2016,0.9948899745941162,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2017,0.9945899844169616,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2018,0.9975299835205078,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2019,0.9995700120925904,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2020,0.9996899962425232,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2021,0.997730016708374,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2022,0.9990800023078918,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CHE,2023,0.998390018939972,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.M,CHE,2000,105.6545486450195,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2001,105.1305313110352,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2002,105.774772644043,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2003,106.030647277832,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2004,106.1239471435547,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2005,106.1357574462891,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2006,106.3288116455078,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2007,106.3359832763672,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2008,106.4690322875977,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2009,106.171272277832,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2010,105.9250335693359,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2011,105.6929702758789,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2012,105.2817687988281,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2013,103.8093414306641,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2014,103.5265579223633,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2015,104.0570068359375,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2016,103.9694366455078,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2017,103.4352264404297,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2018,102.9770812988281,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2019,102.4576797485352,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2020,102.3282012939453,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2021,102.0300674438477,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2022,101.9038925170898,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CHE,2023,103.1123733520508,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T3,CHE,2000,99.07089996337892,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2001,98.92066192626952,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2002,98.45433807373048,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2003,98.36045074462892,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2004,98.22833251953124,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2005,98.37471771240234,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2006,98.59555816650392,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2007,98.9887237548828,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2008,99.25518798828124,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2009,99.23172760009766,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2010,99.53807830810548,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2011,99.48519897460938,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2012,100.0054092407227,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2013,101.7523422241211,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2015,103.1258697509766,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2016,103.0975189208984,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2017,102.9500122070313,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2018,103.0978698730469,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2019,102.911247253418,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2020,103.0423278808594,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2021,102.6020812988281,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2022,102.4363632202148,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CHE,2023,102.6453704833984,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3.F,CHE,2000,97.52017974853516,,,"Gross enrolment ratio, primary and secondary, female (%)"
GER.1T3.F,CHE,2001,97.62478637695312,,,"Gross enrolment ratio, primary and secondary, female (%)"
GER.1T3.F,CHE,2002,96.71022033691406,,,"Gross enrolment ratio, primary and secondary, female (%)"
GER.1T3.F,CHE,2003,96.73309326171876,,,"Gross enrolment ratio, primary and secondary, female (%)"
GER.1T3.F,CHE,2004,96.45343780517578,,,"Gross enrolment ratio, primary and secondary, female (%)"
