INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,INDICATOR_NAME
GER.1,CUW,2013,175.8215764129425,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CUW,2020,113.3508771929825,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,CUW,2023,109.1681448977687,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1.F,CUW,2013,172.6361279170268,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CUW,2020,111.451349882225,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,CUW,2023,107.0303495966193,,,"Gross enrolment ratio, primary, female (%)"
GER.1.GPIA,CUW,2013,0.9651675253153312,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CUW,2020,0.9680185920209208,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,CUW,2023,0.9625912016490592,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.M,CUW,2013,178.8664904163913,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CUW,2020,115.1334807005611,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,CUW,2023,111.1898274296095,,,"Gross enrolment ratio, primary, male (%)"
GER.1T2,CUW,2013,156.3475221570341,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CUW,2020,114.10759762309,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,CUW,2023,137.8604321643641,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2.F,CUW,2013,155.6128367057611,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CUW,2020,112.9760225669958,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.F,CUW,2023,136.4247115525048,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.GPIA,CUW,2013,0.9909285370682056,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CUW,2020,0.980775259908722,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.GPIA,CUW,2023,0.9799711440636536,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.M,CUW,2013,157.0373956190246,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CUW,2020,115.1905305783408,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T2.M,CUW,2023,139.2129884424876,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T3,CUW,2013,128.9700434852633,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CUW,2020,121.3978211210684,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,CUW,2023,116.1487130600572,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3.F,CUW,2013,129.5904887714663,,,"Gross enrolment ratio, primary and secondary, female (%)"
GER.1T3.F,CUW,2020,125.7753150415587,,,"Gross enrolment ratio, primary and secondary, female (%)"
GER.1T3.F,CUW,2023,117.700233281493,,,"Gross enrolment ratio, primary and secondary, female (%)"
GER.1T3.GPIA,CUW,2013,1.009345194662114,,,"Gross enrolment ratio, primary and secondary, adjusted gender parity index (GPIA)"
GER.1T3.GPIA,CUW,2020,1.068447519636502,,,"Gross enrolment ratio, primary and secondary, adjusted gender parity index (GPIA)"
GER.1T3.GPIA,CUW,2023,1.025865843788234,,,"Gross enrolment ratio, primary and secondary, adjusted gender parity index (GPIA)"
GER.1T3.M,CUW,2013,128.3794404275385,,,"Gross enrolment ratio, primary and secondary, male (%)"
GER.1T3.M,CUW,2020,117.1663066954644,,,"Gross enrolment ratio, primary and secondary, male (%)"
GER.1T3.M,CUW,2023,114.6558174335952,,,"Gross enrolment ratio, primary and secondary, male (%)"
GER.1T8,CUW,2013,110.2390171475152,,,"Gross enrolment ratio, primary to tertiary, both sexes (%)"
GER.1T8.F,CUW,2013,114.5687507414877,,,"Gross enrolment ratio, primary to tertiary, female (%)"
GER.1T8.GPIA,CUW,2013,1.074215472355206,,,"Gross enrolment ratio, primary to tertiary, adjusted gender parity index (GPIA)"
GER.1T8.M,CUW,2013,106.0659767880624,,,"Gross enrolment ratio, primary to tertiary, male (%)"
GER.2,CUW,2013,101.2664277180406,,,"Gross enrolment ratio, lower secondary, both sexes (%)"
GER.2,CUW,2020,115.265843179377,,,"Gross enrolment ratio, lower secondary, both sexes (%)"
GER.2,CUW,2023,228.1433607520564,,,"Gross enrolment ratio, lower secondary, both sexes (%)"
GER.2.F,CUW,2013,105.7244174265451,,,"Gross enrolment ratio, lower secondary, female (%)"
GER.2.F,CUW,2020,115.2514872904273,,,"Gross enrolment ratio, lower secondary, female (%)"
GER.2.F,CUW,2023,229.6770262035344,,,"Gross enrolment ratio, lower secondary, female (%)"
GER.2.GPIA,CUW,2013,1.079812420235365,,,"Gross enrolment ratio, lower secondary, adjusted gender parity index (GPIA)"
GER.2.GPIA,CUW,2020,0.999752665600514,,,"Gross enrolment ratio, lower secondary, adjusted gender parity index (GPIA)"
GER.2.GPIA,CUW,2023,1.012892891181561,,,"Gross enrolment ratio, lower secondary, adjusted gender parity index (GPIA)"
GER.2.M,CUW,2013,97.28629579375848,,,"Gross enrolment ratio, lower secondary, male (%)"
GER.2.M,CUW,2020,115.28,,,"Gross enrolment ratio, lower secondary, male (%)"
GER.2.M,CUW,2023,226.7158252977878,,,"Gross enrolment ratio, lower secondary, male (%)"
GER.2T3,CUW,2013,86.30663897222863,,,"Gross enrolment ratio, secondary, both sexes (%)"
GER.2T3,CUW,2020,129.4702569517775,,,"Gross enrolment ratio, secondary, both sexes (%)"
GER.2T3,CUW,2023,123.4297399941572,,,"Gross enrolment ratio, secondary, both sexes (%)"
GER.2T3.F,CUW,2013,90.23233760075864,,,"Gross enrolment ratio, secondary, female (%)"
GER.2T3.F,CUW,2020,139.7178130511464,,,"Gross enrolment ratio, secondary, female (%)"
GER.2T3.F,CUW,2023,128.6304604486423,,,"Gross enrolment ratio, secondary, female (%)"
GER.2T3.GPIA,CUW,2013,1.084763455656914,,,"Gross enrolment ratio, secondary, adjusted gender parity index (GPIA)"
GER.2T3.GPIA,CUW,2020,1.14638018360788,,,"Gross enrolment ratio, secondary, adjusted gender parity index (GPIA)"
GER.2T3.GPIA,CUW,2023,1.080044517690951,,,"Gross enrolment ratio, secondary, adjusted gender parity index (GPIA)"
GER.2T3.M,CUW,2013,82.58393285371703,,,"Gross enrolment ratio, secondary, male (%)"
GER.2T3.M,CUW,2020,119.2658939234282,,,"Gross enrolment ratio, secondary, male (%)"
GER.2T3.M,CUW,2023,118.3342972816657,,,"Gross enrolment ratio, secondary, male (%)"
GER.3,CUW,2013,79.20353982300885,,,"Gross enrolment ratio, upper secondary, both sexes (%)"
GER.3,CUW,2020,156.4862104187947,,,"Gross enrolment ratio, upper secondary, both sexes (%)"
GER.3,CUW,2023,71.50764748725419,,,"Gross enrolment ratio, upper secondary, both sexes (%)"
GER.3.F,CUW,2013,83.2069836894096,,,"Gross enrolment ratio, upper secondary, female (%)"
GER.3.F,CUW,2020,185.5983772819473,,,"Gross enrolment ratio, upper secondary, female (%)"
GER.3.F,CUW,2023,80.44173205463528,,,"Gross enrolment ratio, upper secondary, female (%)"
GER.3.GPIA,CUW,2013,1.0950637162049,,,"Gross enrolment ratio, upper secondary, adjusted gender parity index (GPI)"
GER.3.GPIA,CUW,2020,1.315970676201399,,,"Gross enrolment ratio, upper secondary, adjusted gender parity index (GPI)"
GER.3.GPIA,CUW,2023,1.222677035782778,,,"Gross enrolment ratio, upper secondary, adjusted gender parity index (GPI)"
GER.3.M,CUW,2013,75.2970186056938,,,"Gross enrolment ratio, upper secondary, male (%)"
GER.3.M,CUW,2020,126.9547325102881,,,"Gross enrolment ratio, upper secondary, male (%)"
GER.3.M,CUW,2023,62.52920560747663,,,"Gross enrolment ratio, upper secondary, male (%)"
GER.4,CUW,2013,53.34994868787568,,,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)"
GER.4,CUW,2020,0.0,NIL,,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)"
GER.4.F,CUW,2013,60.99853157121879,,,"Gross enrolment ratio, post-secondary non-tertiary, female (%)"
GER.4.F,CUW,2020,0.0,NIL,,"Gross enrolment ratio, post-secondary non-tertiary, female (%)"
GER.4.GPIA,CUW,2013,1.250375473993634,,,"Gross enrolment ratio, post-secondary non-tertiary, adjusted gender parity index (GPIA)"
GER.4.M,CUW,2013,45.72599531615925,,,"Gross enrolment ratio, post-secondary non-tertiary, male (%)"
GER.4.M,CUW,2020,0.0,NIL,,"Gross enrolment ratio, post-secondary non-tertiary, male (%)"
MOGER.5T8.40500,CUW,2012,0.5194600224494934,,UIS_EST,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,CUW,2013,0.0402400009334087,,,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,CUW,2014,0.7571799755096436,,,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,CUW,2015,1.050469994544983,,,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,CUW,2016,1.856420040130615,,,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,CUW,2017,1.89162003993988,,,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,CUW,2018,2.183510065078735,,,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,CUW,2019,2.332839965820313,,UIS_EST,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,CUW,2020,2.396389961242676,,,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,CUW,2021,1.521399974822998,,,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
