INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,INDICATOR_NAME
GER.1,EGY,2000,89.09842681884766,,UIS_EST,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2001,88.5933837890625,,UIS_EST,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2002,88.99304962158203,,UIS_EST,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2003,89.30094909667969,,UIS_EST,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2004,89.38018035888672,,UIS_EST,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2005,89.01116180419922,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2006,90.0128402709961,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2007,90.5241470336914,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2009,91.20964813232422,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2010,90.94775887842272,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2011,87.46973793696698,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2012,91.86016328148123,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2013,91.58196505968492,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2014,89.18740651894818,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2016,90.11304876129988,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2017,90.6515125272044,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2018,92.69090660895324,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2019,94.25008540391649,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2020,95.64330121642324,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2021,97.00105835042216,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2022,89.51008703402852,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2023,95.9217069393801,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,EGY,2024,96.70738630245224,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1.F,EGY,2000,86.29622650146484,,UIS_EST,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2001,86.31743621826172,,UIS_EST,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2002,87.11283111572266,,UIS_EST,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2003,87.80574798583984,,UIS_EST,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2004,88.28559112548828,,UIS_EST,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2005,86.88429260253906,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2006,87.90164947509766,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2007,88.67500305175781,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2009,89.52780151367188,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2010,89.28891912719689,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2011,84.94116172644401,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2012,90.59180964973164,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2013,90.44059158981791,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2014,87.80121129385682,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2016,89.04810824783416,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2017,89.77441478722713,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2018,92.35663821045094,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2019,94.0975460524878,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2020,95.55074747233908,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2021,96.9301041974624,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2022,89.67476018588164,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2023,95.91820083864694,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,EGY,2024,96.70074702977016,,,"Gross enrolment ratio, primary, female (%)"
GER.1.GPIA,EGY,2000,0.9407600164413452,,UIS_EST,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2001,0.9513800144195556,,UIS_EST,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2002,0.9598600268363952,,UIS_EST,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2003,0.9680399894714355,,UIS_EST,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2004,0.9765099883079528,,UIS_EST,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2005,0.9546300172805786,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2006,0.9553999900817872,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2007,0.9610199928283693,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2009,0.964680016040802,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2010,0.9650163203445554,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2011,0.9450390520560964,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,EGY,2012,0.973351041815832,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
