INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,INDICATOR_NAME
GER.1,GNB,2000,75.50029754638672,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,GNB,2001,89.76201629638672,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,GNB,2004,107.9775009155273,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,GNB,2005,114.7005386352539,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,GNB,2006,119.6559906005859,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,GNB,2010,113.4367828369141,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1.F,GNB,2000,61.12446975708008,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,GNB,2010,110.4380187988281,,,"Gross enrolment ratio, primary, female (%)"
GER.1.GPIA,GNB,2000,0.6809399724006653,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,GNB,2010,0.9488300085067748,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.M,GNB,2000,89.76531219482422,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,GNB,2010,116.3941421508789,,,"Gross enrolment ratio, primary, male (%)"
GER.1T2,GNB,2000,59.11354064941406,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2.F,GNB,2000,47.20616149902344,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.GPIA,GNB,2000,0.6655200123786926,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.M,GNB,2000,70.93087005615234,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T3,GNB,2000,51.33174896240234,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,GNB,2005,80.29824829101562,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,GNB,2006,84.17508697509766,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3.F,GNB,2000,40.82878875732422,,,"Gross enrolment ratio, primary and secondary, female (%)"
GER.1T3.GPIA,GNB,2000,0.6611400246620178,,,"Gross enrolment ratio, primary and secondary, adjusted gender parity index (GPIA)"
GER.1T3.M,GNB,2000,61.75534820556641,,,"Gross enrolment ratio, primary and secondary, male (%)"
GER.1T8,GNB,2005,59.41458129882813,,,"Gross enrolment ratio, primary to tertiary, both sexes (%)"
GER.1T8,GNB,2006,62.35702896118164,,,"Gross enrolment ratio, primary to tertiary, both sexes (%)"
GER.2,GNB,2000,22.40209007263184,,,"Gross enrolment ratio, lower secondary, both sexes (%)"
GER.2.F,GNB,2000,16.03231048583984,,,"Gross enrolment ratio, lower secondary, female (%)"
GER.2.GPIA,GNB,2000,0.5581200122833252,,,"Gross enrolment ratio, lower secondary, adjusted gender parity index (GPIA)"
GER.2.M,GNB,2000,28.72579002380371,,,"Gross enrolment ratio, lower secondary, male (%)"
GER.2T3,GNB,2000,17.92892074584961,,,"Gross enrolment ratio, secondary, both sexes (%)"
GER.2T3,GNB,2005,32.12730026245117,,,"Gross enrolment ratio, secondary, both sexes (%)"
GER.2T3,GNB,2006,34.39664077758789,,,"Gross enrolment ratio, secondary, both sexes (%)"
GER.2T3.F,GNB,2000,12.7837495803833,,,"Gross enrolment ratio, secondary, female (%)"
GER.2T3.GPIA,GNB,2000,0.5549399852752686,,,"Gross enrolment ratio, secondary, adjusted gender parity index (GPIA)"
GER.2T3.M,GNB,2000,23.03631019592285,,,"Gross enrolment ratio, secondary, male (%)"
GER.3,GNB,2000,10.72544002532959,,,"Gross enrolment ratio, upper secondary, both sexes (%)"
GER.3,GNB,2005,20.19277954101563,,,"Gross enrolment ratio, upper secondary, both sexes (%)"
GER.3.F,GNB,2000,7.551569938659668,,,"Gross enrolment ratio, upper secondary, female (%)"
GER.3.GPIA,GNB,2000,0.5442399978637695,,,"Gross enrolment ratio, upper secondary, adjusted gender parity index (GPI)"
GER.3.M,GNB,2000,13.8754301071167,,,"Gross enrolment ratio, upper secondary, male (%)"
MOGER.5T8.40500,GNB,2000,0.4381699860095978,,UIS_EST,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,GNB,2001,0.408270001411438,,UIS_EST,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
MOGER.5T8.40500,GNB,2002,0.3722400069236755,,UIS_EST,"Mobile outbound gross enrolment ratio, tertiary students studying in North America and Western Europe, both sexes (UIS estimate) (%)"
