INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,INDICATOR_NAME
GER.1,HKG,2001,100.9064178466797,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2002,101.9213104248047,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2003,102.7107009887695,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2004,100.3316421508789,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2005,100.7303009033203,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2006,101.0559463500977,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2007,100.7292785644531,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2008,102.4801635742188,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2009,104.3389892578125,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2010,105.429219600726,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2011,104.6027525805443,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2012,107.3405725567621,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2013,106.8846666666667,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2014,105.0456902138691,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2015,105.1315207081884,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2016,104.7410138248848,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2017,104.8079096045198,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2018,103.4309954751131,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2019,102.2026072786529,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2020,105.128762541806,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2021,106.0336884537864,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2022,103.0283129013427,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,HKG,2024,103.1529558961526,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1.F,HKG,2001,100.4792327880859,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2002,101.4494934082031,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2003,101.7976608276367,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2004,99.07061767578124,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2005,99.3718490600586,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2006,99.78325653076172,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2007,99.79708862304688,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2008,101.6105728149414,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2009,103.661376953125,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2010,104.6530740276035,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2011,103.8300907911803,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2012,106.6214188267394,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2013,106.1008287292818,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2014,103.9011356045424,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2015,103.9563233376793,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2016,103.6933333333333,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2017,104.378094059406,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2018,103.1351032448378,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2019,101.9575551782683,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2020,104.0589254766031,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2021,104.640522875817,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2022,101.5072115384615,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,HKG,2024,101.573264781491,,,"Gross enrolment ratio, primary, female (%)"
GER.1.GPIA,HKG,2001,0.9918500185012816,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2002,0.9910899996757508,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2003,0.9828699827194214,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2004,0.9757999777793884,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2005,0.974049985408783,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2006,0.9757900238037108,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2007,0.9822199940681458,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2008,0.9837300181388856,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2009,0.9875400066375732,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2010,0.9858806524731868,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2011,0.9858286161896596,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2012,0.9871365784454544,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2013,0.9859207651050492,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2014,0.9790542929569171,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2015,0.978521285533968,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2016,0.9808000450412409,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2017,0.992135381578192,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2018,0.9945197680352106,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2019,0.9954000650844692,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2020,0.9805223599527696,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2021,0.9748186835343746,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2022,0.971688063209425,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,HKG,2024,0.9705921290523998,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.M,HKG,2001,101.3050079345703,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2002,102.3617324829102,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2003,103.5714263916016,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2004,101.5274887084961,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2005,102.0195770263672,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2006,102.2587966918945,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2007,101.6031112670898,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2008,103.2910079956055,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2009,104.9689025878906,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2010,106.1518691588785,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2011,105.3226586102719,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2012,108.0108073744437,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2013,107.6159793814433,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2014,106.1239773442417,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2015,106.2381829343155,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2016,105.7232142857143,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2017,105.2054951345163,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2018,103.7034220532319,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2019,102.4287206266319,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2020,106.1260096930533,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2021,107.3435754189944,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2022,104.4648127128263,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,HKG,2024,104.6508226691042,,,"Gross enrolment ratio, primary, male (%)"
GER.1T2,HKG,2001,98.77279663085938,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,HKG,2002,99.7569580078125,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,HKG,2003,100.4071807861328,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,HKG,2004,100.1131973266602,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,HKG,2005,100.7052307128906,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,HKG,2006,101.8722229003906,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,HKG,2007,101.4925537109375,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,HKG,2008,102.5031661987305,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,HKG,2009,102.9476470947266,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,HKG,2010,103.3431475639678,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,HKG,2011,103.6960784313725,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
