INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,INDICATOR_NAME
GER.1,NLD,2000,107.3836822509766,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2001,106.7406768798828,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2002,106.9583206176758,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2003,108.0308380126953,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2004,108.2013702392578,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2005,107.9409866333008,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2006,107.8399124145508,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2007,107.6528930664063,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2008,107.3482894897461,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2009,107.019401550293,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2010,106.750358581543,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2011,107.0727767944336,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2012,107.0482406616211,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2015,106.0594177246094,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2016,105.6803665161133,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2017,105.039421081543,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2018,104.5611114501953,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2019,104.5789108276367,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2020,104.3388137817383,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2021,104.3784027099609,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2022,104.215446472168,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,NLD,2023,104.1565704345703,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1.F,NLD,2000,106.1767578125,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2001,105.5638885498047,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2002,105.7735290527344,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2003,106.7089996337891,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2004,106.6979293823242,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2005,106.5207824707031,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2006,106.5341415405273,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2007,106.4424819946289,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2008,106.2482528686523,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2009,106.0481719970703,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2010,106.1667098999023,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2011,106.5400009155273,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2012,106.4933395385742,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2015,105.6079864501953,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2016,105.2427520751953,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2017,104.6375198364258,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2018,104.1908187866211,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2019,104.2624435424805,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2020,104.048957824707,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2021,104.0795135498047,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2022,103.9095230102539,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,NLD,2023,103.9249420166016,,,"Gross enrolment ratio, primary, female (%)"
GER.1.GPIA,NLD,2000,0.9782500267028807,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2001,0.9786700010299684,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2002,0.9785799980163574,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2003,0.9763699769973756,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2004,0.973200023174286,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2005,0.9746000170707704,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2006,0.976610004901886,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2007,0.9782500267028807,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2008,0.9801599979400636,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2009,0.9824000000953674,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2010,0.9893699884414672,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2011,0.99031001329422,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2012,0.9899100065231324,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2015,0.9917200207710266,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2016,0.9919400215148926,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2017,0.992550015449524,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2018,0.9931100010871888,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2019,0.9941099882125854,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,NLD,2020,0.994599997997284,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
