INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,INDICATOR_NAME
GER.1,SLB,2000,80.15202331542969,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2002,90.86312103271484,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2005,98.35597229003906,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2006,104.057861328125,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2007,105.4838104248047,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2010,114.7609835333488,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2011,114.1643077563456,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2012,110.1280241989687,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2013,110.3103546214371,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2014,108.9831688034934,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2015,108.5373359830499,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2016,108.6722490643724,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2017,106.5735905446666,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2018,100.1891130954678,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2019,98.20672257771888,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2020,89.6007986762942,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2023,80.25447910158354,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SLB,2024,81.84457595961025,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1.F,SLB,2000,76.723388671875,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2002,87.43353271484375,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2005,95.73493194580078,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2006,102.2626876831055,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2007,103.8569564819336,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2010,113.7576075035087,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2011,112.6171489974415,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2012,108.8177756221733,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2013,109.524026166024,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2014,107.3320250161334,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2015,108.0183402804855,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2016,108.2294152786637,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2017,106.5198793326854,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2018,100.3488943533191,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2019,98.12611648115528,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2020,87.6790737006733,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2023,79.48553967568319,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SLB,2024,80.62704805067014,,,"Gross enrolment ratio, primary, female (%)"
GER.1.GPIA,SLB,2000,0.9207000136375428,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2002,0.92944997549057,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2005,0.9499499797821044,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2006,0.9674000144004822,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2007,0.9708600044250488,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2010,0.9833079956923902,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2011,0.9741047909344376,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2012,0.977165454113591,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2013,0.9862480431913176,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2014,0.971015855405993,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2015,0.9907792452802144,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2016,0.992149963667297,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2017,0.9990270414932172,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2018,1.003074511275488,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2019,0.9984154508653332,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2020,0.9593219761710112,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2023,0.981577284227338,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SLB,2024,0.9715345119540132,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.M,SLB,2000,83.33199310302734,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2002,94.0701904296875,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2005,100.7789916992188,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2006,105.7082672119141,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2007,106.9740905761719,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2010,115.6886835069483,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2011,115.6109178863706,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2012,111.3606453892544,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2013,111.0511974367263,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2014,110.5358109433308,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2015,109.0236203423251,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2016,109.0857423192497,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2017,106.6236196904872,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2018,100.0403705461471,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2019,98.28184889978289,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2020,91.39691978143884,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2023,80.97736261108703,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SLB,2024,82.989381291775,,,"Gross enrolment ratio, primary, male (%)"
GER.1T2,SLB,2000,65.4266586303711,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2002,77.9913330078125,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2005,83.03598022460938,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2006,89.01492309570312,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2007,90.77947998046876,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2010,101.5498356901577,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2011,101.4261882579911,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2012,98.37697307539194,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2013,98.04412078857422,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2014,97.58757781982422,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2015,97.7136688232422,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2016,98.18020629882812,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2017,95.88767222061765,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2,SLB,2018,90.822390048109,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
