INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER,INDICATOR_NAME
GER.1,SOM,2007,22.78541946411133,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1,SOM,2023,20.91555023193359,,,"Gross enrolment ratio, primary, both sexes (%)"
GER.1.F,SOM,2007,16.39558982849121,,,"Gross enrolment ratio, primary, female (%)"
GER.1.F,SOM,2023,18.97879028320313,,,"Gross enrolment ratio, primary, female (%)"
GER.1.GPIA,SOM,2007,0.5654900074005127,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.GPIA,SOM,2023,0.8324000239372253,,,"Gross enrolment ratio, primary, adjusted gender parity index (GPIA)"
GER.1.M,SOM,2007,28.99346923828125,,,"Gross enrolment ratio, primary, male (%)"
GER.1.M,SOM,2023,22.80011940002441,,,"Gross enrolment ratio, primary, male (%)"
GER.1T2,SOM,2007,19.2898998260498,,,"Gross enrolment ratio, primary and lower secondary, both sexes (%)"
GER.1T2.F,SOM,2007,13.76342964172363,,,"Gross enrolment ratio, primary and lower secondary, female (%)"
GER.1T2.GPIA,SOM,2007,0.558139979839325,,,"Gross enrolment ratio, primary and lower secondary, adjusted gender parity index (GPIA)"
GER.1T2.M,SOM,2007,24.6594295501709,,,"Gross enrolment ratio, primary and lower secondary, male (%)"
GER.1T3,SOM,2007,15.76290988922119,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3,SOM,2023,10.21691036224365,,,"Gross enrolment ratio, primary and secondary, both sexes (%)"
GER.1T3.F,SOM,2007,11.14095020294189,,,"Gross enrolment ratio, primary and secondary, female (%)"
GER.1T3.F,SOM,2023,9.09918975830078,,,"Gross enrolment ratio, primary and secondary, female (%)"
GER.1T3.GPIA,SOM,2007,0.5501300096511841,,,"Gross enrolment ratio, primary and secondary, adjusted gender parity index (GPIA)"
GER.1T3.GPIA,SOM,2023,0.8048800230026245,,,"Gross enrolment ratio, primary and secondary, adjusted gender parity index (GPIA)"
GER.1T3.M,SOM,2007,20.25160026550293,,,"Gross enrolment ratio, primary and secondary, male (%)"
GER.1T3.M,SOM,2023,11.30502033233643,,,"Gross enrolment ratio, primary and secondary, male (%)"
GER.2,SOM,2007,6.996709823608398,,,"Gross enrolment ratio, lower secondary, both sexes (%)"
GER.2.F,SOM,2007,4.507559776306152,,,"Gross enrolment ratio, lower secondary, female (%)"
GER.2.GPIA,SOM,2007,0.4787299931049347,,,"Gross enrolment ratio, lower secondary, adjusted gender parity index (GPIA)"
GER.2.M,SOM,2007,9.415590286254885,,,"Gross enrolment ratio, lower secondary, male (%)"
GER.2T3,SOM,2007,6.014689922332764,,,"Gross enrolment ratio, secondary, both sexes (%)"
GER.2T3,SOM,2023,3.34785008430481,,,"Gross enrolment ratio, secondary, both sexes (%)"
GER.2T3.F,SOM,2007,3.843260049819946,,,"Gross enrolment ratio, secondary, female (%)"
GER.2T3.F,SOM,2023,2.758470058441162,,,"Gross enrolment ratio, secondary, female (%)"
GER.2T3.GPIA,SOM,2007,0.4731700122356415,,,"Gross enrolment ratio, secondary, adjusted gender parity index (GPIA)"
GER.2T3.GPIA,SOM,2023,0.7033699750900269,,,"Gross enrolment ratio, secondary, adjusted gender parity index (GPIA)"
