iso3,indicator_code,indicator_name,year,value,source
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",1975,8.82999992370605,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",1991,13.5699996948242,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",1996,12.8500003814697,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",2003,21.8199996948242,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",2005,23.5200004577637,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",2006,22.4699993133545,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",2007,27.8799991607666,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",2014,34.5999984741211,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",2018,39.3499984741211,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",2019,29.6599998474121,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",2021,36.9700012207031,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",2022,40.9199981689453,WorldBank
BFA,SE.ADT.LITR.ZS,"Adult literacy rate, 15+",2023,41.5670909952631,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,1999,21.8901290893555,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2000,23.8220405578613,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2001,25.1767692565918,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2002,25.9655895233154,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2003,27.5287399291992,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2004,28.8950691223144,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2005,30.4755191802979,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2006,31.8527793884277,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2007,33.9733009338379,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2008,37.6760787963867,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2009,42.5357513427734,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2010,45.96010978957,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2012,55.8972269217297,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2013,60.8494277141905,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2014,59.5950909640897,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2015,60.3448419249273,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2016,60.1264533975278,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2017,61.5863350030506,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2018,62.608203204783,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2019,61.6091078457616,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2020,61.8698150998586,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2021,63.7436352801156,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2022,58.291190218396,WorldBank
BFA,SE.PRM.CMPT.ZS,Primary completion rate,2023,51.6947761170006,WorldBank
